stance_1,stance_2,polarity,timestamp,key,wave
I like the taste of meat,Those around me eat meat regularly,positive,2025-12-09T17:27:48.388Z,c0ac91fae56c6ec3,1
I think chicken and turkey are healthier,I choose chicken and turkey for health,negative,2025-12-09T17:28:05.342Z,c0ac91fae56c6ec3,1
I prefer beef for hamburgers and sloppy joes,I eat lean beef to reduce fat,negative,2025-12-09T17:28:07.300Z,c0ac91fae56c6ec3,1
I reduce beef or pork when dieting,I eat meat every day,negative,2025-12-09T17:28:09.648Z,c0ac91fae56c6ec3,1
Social contacts like the taste of meat,I like the taste of meat,negative,2025-12-09T17:28:11.864Z,c0ac91fae56c6ec3,1
I like the taste of meat,Those around me eat meat regularly,negative,2025-12-09T17:28:13.118Z,c0ac91fae56c6ec3,1
I eat meat whenever I choose to,"I am fond of chicken, turkey, and fish",positive,2025-12-09T17:10:25.009Z,8f96fa223f234180,1
I eat meat whenever I choose to,I eat more chicken and fish now,positive,2025-12-09T17:10:27.011Z,8f96fa223f234180,1
I eat more chicken and fish now,"I am fond of chicken, turkey, and fish",positive,2025-12-09T17:10:28.557Z,8f96fa223f234180,1
I want to improve cholesterol and blood work,I have tried to cut back on red meat,positive,2025-12-09T17:10:33.230Z,8f96fa223f234180,1
I want to improve cholesterol and blood work,I am concerned about my health,positive,2025-12-09T17:10:36.056Z,8f96fa223f234180,1
I am concerned about my health,I have tried to cut back on red meat,positive,2025-12-09T17:10:39.086Z,8f96fa223f234180,1
I have tried to cut back on processed meat,I am concerned about my health,positive,2025-12-09T17:10:41.194Z,8f96fa223f234180,1
I want to improve cholesterol and blood work,I have tried to cut back on processed meat,positive,2025-12-09T17:10:43.797Z,8f96fa223f234180,1
I do not control grocery shopping or meal planning,I have tried to cut back on red meat,negative,2025-12-09T17:11:10.129Z,8f96fa223f234180,1
I do not control grocery shopping or meal planning,I have tried to cut back on processed meat,negative,2025-12-09T17:11:17.479Z,8f96fa223f234180,1
I want to improve cholesterol and blood work,I do not control grocery shopping or meal planning,negative,2025-12-09T17:11:28.294Z,8f96fa223f234180,1
Eating meat is a habit for me,I have always eaten and cooked with meat,positive,2025-12-09T17:31:24.471Z,24e9f4a8dba444ba,1
I have always eaten and cooked with meat,My parents cooked with meat,positive,2025-12-09T17:31:29.214Z,24e9f4a8dba444ba,1
Eating meat is a habit for me,My parents cooked with meat,positive,2025-12-09T17:31:31.010Z,24e9f4a8dba444ba,1
Eating meat is a habit for me,Most friends and family eat meat,positive,2025-12-09T17:31:32.895Z,24e9f4a8dba444ba,1
I have always eaten and cooked with meat,Most friends and family eat meat,positive,2025-12-09T17:31:35.353Z,24e9f4a8dba444ba,1
My parents cooked with meat,Most friends and family eat meat,positive,2025-12-09T17:31:36.760Z,24e9f4a8dba444ba,1
I get bored with the same meals,I reduce meat when it is expensive,positive,2025-12-09T17:31:42.016Z,24e9f4a8dba444ba,1
I get bored with the same meals,I enjoy the challenge of vegetarian cooking,positive,2025-12-09T17:31:43.370Z,24e9f4a8dba444ba,1
I reduce meat when it is expensive,I enjoy the challenge of vegetarian cooking,positive,2025-12-09T17:31:44.679Z,24e9f4a8dba444ba,1
Eating meat feels natural to me,I have always eaten and cooked with meat,positive,2025-12-09T17:31:49.305Z,24e9f4a8dba444ba,1
Eating meat feels natural to me,Eating meat is a habit for me,positive,2025-12-09T17:31:50.631Z,24e9f4a8dba444ba,1
I eat meat 1-2 times a day,Eating meat is a habit for me,positive,2025-12-09T17:31:56.849Z,24e9f4a8dba444ba,1
I eat meat 1-2 times a day,My parents cooked with meat,positive,2025-12-09T17:31:58.628Z,24e9f4a8dba444ba,1
I eat meat 1-2 times a day,I have always eaten and cooked with meat,positive,2025-12-09T17:32:01.176Z,24e9f4a8dba444ba,1
I eat meat 1-2 times a day,Eating meat feels natural to me,positive,2025-12-09T17:32:02.734Z,24e9f4a8dba444ba,1
I reduce meat when it is expensive,Eating meat feels natural to me,negative,2025-12-09T17:32:19.797Z,24e9f4a8dba444ba,1
I reduce meat when it is expensive,I have always eaten and cooked with meat,negative,2025-12-09T17:32:22.335Z,24e9f4a8dba444ba,1
I reduce meat when it is expensive,My parents cooked with meat,negative,2025-12-09T17:32:26.747Z,24e9f4a8dba444ba,1
I reduce meat when it is expensive,Eating meat is a habit for me,negative,2025-12-09T17:32:38.262Z,24e9f4a8dba444ba,1
I get bored with the same meals,Eating meat is a habit for me,negative,2025-12-09T17:32:49.273Z,24e9f4a8dba444ba,1
I get bored with the same meals,I have always eaten and cooked with meat,negative,2025-12-09T17:32:50.982Z,24e9f4a8dba444ba,1
I get bored with the same meals,Eating meat feels natural to me,negative,2025-12-09T17:32:52.308Z,24e9f4a8dba444ba,1
I enjoy the challenge of vegetarian cooking,Eating meat feels natural to me,negative,2025-12-09T17:32:54.652Z,24e9f4a8dba444ba,1
I enjoy the challenge of vegetarian cooking,I have always eaten and cooked with meat,negative,2025-12-09T17:32:56.409Z,24e9f4a8dba444ba,1
I enjoy the challenge of vegetarian cooking,My parents cooked with meat,negative,2025-12-09T17:32:57.999Z,24e9f4a8dba444ba,1
I reduce meat when it is expensive,I eat meat 1-2 times a day,negative,2025-12-09T17:33:37.660Z,24e9f4a8dba444ba,1
Chicken and pork are less expensive than beef,I buy more meat when it is on sale,positive,2025-12-09T17:09:57.316Z,5d5930b9486b3aef,1
I eat mostly chicken,I prefer chicken and fish,positive,2025-12-09T17:10:01.043Z,5d5930b9486b3aef,1
I eat mostly chicken,I find chicken easier to digest than beef,positive,2025-12-09T17:10:03.556Z,5d5930b9486b3aef,1
I prefer chicken and fish,I find steak hard to chew,positive,2025-12-09T17:10:09.940Z,5d5930b9486b3aef,1
I prefer chicken and fish,I buy more meat when it is on sale,negative,2025-12-09T17:10:30.202Z,5d5930b9486b3aef,1
I find chicken easier to digest than beef,I eat mostly chicken,negative,2025-12-09T17:10:33.968Z,5d5930b9486b3aef,1
I find chicken easier to digest than beef,I find steak hard to chew,negative,2025-12-09T17:10:35.806Z,5d5930b9486b3aef,1
Chicken and pork are less expensive than beef,I buy more meat when it is on sale,negative,2025-12-09T17:10:45.337Z,5d5930b9486b3aef,1
I sometimes choose to cut back on meat,I eat meat when I feel like it,positive,2025-12-09T17:33:32.471Z,c64e457f6d99d425,1
Meat consumption is a personal preference,I eat meat when I feel like it,positive,2025-12-09T17:33:39.529Z,c64e457f6d99d425,1
I sometimes choose to cut back on meat,I eat meat when I feel like it,negative,2025-12-09T17:34:08.157Z,c64e457f6d99d425,1
I enjoy eating meat regularly,Meat tastes delicious to me,positive,2025-12-09T17:18:22.856Z,0ec83457dd9ad9bb,1
I crave meat,I enjoy eating meat regularly,positive,2025-12-09T17:18:25.619Z,0ec83457dd9ad9bb,1
My friends enjoy eating meat,I enjoy eating meat,positive,2025-12-09T17:19:19.151Z,cd254873c8c70b1f,1
I enjoy eating meat,I eat more meat at gatherings,positive,2025-12-09T17:19:29.316Z,cd254873c8c70b1f,1
My family are big meat eaters,I enjoy eating meat,positive,2025-12-09T17:19:31.880Z,cd254873c8c70b1f,1
I crave meat more during holidays,I enjoy eating meat,positive,2025-12-09T17:19:34.226Z,cd254873c8c70b1f,1
My brother reduces meat for health reasons,I crave meat more during holidays,negative,2025-12-09T17:20:10.363Z,cd254873c8c70b1f,1
My brother reduces meat for health reasons,I enjoy eating meat,negative,2025-12-09T17:20:13.962Z,cd254873c8c70b1f,1
My brother reduces meat for health reasons,My family are big meat eaters,negative,2025-12-09T17:20:16.180Z,cd254873c8c70b1f,1
I eat more meat at gatherings,My brother reduces meat for health reasons,negative,2025-12-09T17:20:21.685Z,cd254873c8c70b1f,1
I want to be healthier,I enjoy eating meat,negative,2025-12-09T17:20:24.662Z,cd254873c8c70b1f,1
I want to be healthier,My family are big meat eaters,negative,2025-12-09T17:20:27.047Z,cd254873c8c70b1f,1
I want to be healthier,I crave meat more during holidays,negative,2025-12-09T17:20:30.202Z,cd254873c8c70b1f,1
I want to be healthier,I eat more meat at gatherings,negative,2025-12-09T17:20:32.638Z,cd254873c8c70b1f,1
I believe meat is essential for health,I eat predominantly meat with each meal,positive,2025-12-09T17:12:51.030Z,673d057ee91b91d4,1
I believe meat is essential for health,I feel better when I eat more meat,positive,2025-12-09T17:12:53.326Z,673d057ee91b91d4,1
I eat predominantly meat with each meal,I feel better when I eat more meat,positive,2025-12-09T17:12:55.165Z,673d057ee91b91d4,1
Family habits from childhood influence my eating,My family serves meat at meals,positive,2025-12-09T17:12:57.727Z,673d057ee91b91d4,1
Family habits from childhood influence my eating,I eat predominantly meat with each meal,positive,2025-12-09T17:13:00.918Z,673d057ee91b91d4,1
I follow a low-carb diet,I eat predominantly meat with each meal,positive,2025-12-09T17:13:03.198Z,673d057ee91b91d4,1
I follow a low-carb diet,I believe meat is essential for health,positive,2025-12-09T17:13:05.446Z,673d057ee91b91d4,1
Family habits from childhood influence my eating,I follow a low-carb diet,negative,2025-12-09T17:13:37.206Z,673d057ee91b91d4,1
I eat a lot of chicken,Chicken is cheap and convenient,positive,2025-12-09T17:35:30.347Z,7cf1b08e24b10350,1
I love eating meat,I prefer real meat over substitutes,positive,2025-12-09T17:35:32.887Z,7cf1b08e24b10350,1
Chicken is cheap and convenient,Family eats more chicken for cost reasons,positive,2025-12-09T17:35:42.142Z,7cf1b08e24b10350,1
I enjoy cooking meat at home,I love eating meat,positive,2025-12-09T17:35:47.488Z,7cf1b08e24b10350,1
I avoid fast food bacon,I got food poisoning from fast food bacon,positive,2025-12-09T17:36:09.648Z,7cf1b08e24b10350,1
I love eating meat,I got food poisoning from fast food bacon,negative,2025-12-09T17:36:43.846Z,7cf1b08e24b10350,1
I love eating meat,Meat is expensive for me,negative,2025-12-09T17:36:56.742Z,7cf1b08e24b10350,1
I eat a lot of chicken,Meat is expensive for me,negative,2025-12-09T17:37:05.700Z,7cf1b08e24b10350,1
I like the taste of meat,I eat meat at most meals,positive,2025-12-09T17:11:58.963Z,bd14752573c3fbed,1
My family likes the taste of meat,My family eats similar meals as me,positive,2025-12-09T17:12:01.905Z,bd14752573c3fbed,1
My family eats similar meals as me,I like the taste of meat,positive,2025-12-09T17:12:04.788Z,bd14752573c3fbed,1
Eating meat is mostly out of habit,I eat meat at most meals,positive,2025-12-09T17:12:10.768Z,bd14752573c3fbed,1
I eat meat at most meals,I realize meat is not always healthy,negative,2025-12-09T17:12:40.327Z,bd14752573c3fbed,1
I realize meat can impact the environment,I eat meat at most meals,negative,2025-12-09T17:12:43.757Z,bd14752573c3fbed,1
I consciously eat more chicken,I believe grilled chicken is healthier,positive,2025-12-09T17:13:59.823Z,2a27143cb3ff288a,1
I eat less meat than I used to,I believe grilled chicken is healthier,positive,2025-12-09T17:14:18.074Z,2a27143cb3ff288a,1
My children eat more chicken and fish,I believe grilled chicken is healthier,positive,2025-12-09T17:14:27.757Z,2a27143cb3ff288a,1
My children eat more chicken and fish,I consciously eat more chicken,positive,2025-12-09T17:14:29.906Z,2a27143cb3ff288a,1
I eat less meat than I used to,I eat meat if I feel like it,positive,2025-12-09T17:14:46.957Z,2a27143cb3ff288a,1
I eat meat if I feel like it,I believe grilled chicken is healthier,negative,2025-12-09T17:14:58.673Z,2a27143cb3ff288a,1
My children eat more chicken and fish,I eat meat if I feel like it,negative,2025-12-09T17:15:02.124Z,2a27143cb3ff288a,1
I eat meat if I feel like it,I consciously eat more chicken,negative,2025-12-09T17:15:05.524Z,2a27143cb3ff288a,1
I eat less meat than I used to,I eat meat if I feel like it,negative,2025-12-09T17:15:13.040Z,2a27143cb3ff288a,1
My family likes to eat meat,I am picky about eating meat,positive,2025-12-09T17:12:27.642Z,99229f1b414f5809,1
I am sensitive to meat texture,I am picky about eating meat,positive,2025-12-09T17:12:29.296Z,99229f1b414f5809,1
I am picky about eating meat,My mood affects my meat eating,positive,2025-12-09T17:12:32.599Z,99229f1b414f5809,1
"I want a balanced, healthy diet",I believe meat provides necessary protein,positive,2025-12-09T17:12:34.190Z,99229f1b414f5809,1
I eat more lean meats to be healthy,I believe meat provides necessary protein,positive,2025-12-09T17:12:36.872Z,99229f1b414f5809,1
My family likes to eat meat,I prepare meat for my husband and son,positive,2025-12-09T17:12:42.374Z,99229f1b414f5809,1
My family likes to eat meat,"I want a balanced, healthy diet",positive,2025-12-09T17:12:43.852Z,99229f1b414f5809,1
My family likes to eat meat,I am picky about eating meat,negative,2025-12-09T17:13:03.503Z,99229f1b414f5809,1
My mood affects my meat eating,My family likes to eat meat,negative,2025-12-09T17:13:09.792Z,99229f1b414f5809,1
"I want a balanced, healthy diet",I prepare meat for my husband and son,negative,2025-12-09T17:13:15.660Z,99229f1b414f5809,1
I believe meat provides necessary protein,I am sensitive to meat texture,negative,2025-12-09T17:13:22.604Z,99229f1b414f5809,1
I eat beef four or five times weekly,I believe beef is high in protein,positive,2025-12-09T17:22:03.664Z,41f4d247212a91b7,1
I eat beef four or five times weekly,I believe beef is nutritious,positive,2025-12-09T17:22:08.381Z,41f4d247212a91b7,1
I believe beef is nutritious,I believe beef is high in protein,positive,2025-12-09T17:22:11.231Z,41f4d247212a91b7,1
I am not interested in eating less beef,I eat beef four or five times weekly,positive,2025-12-09T17:22:20.197Z,41f4d247212a91b7,1
I eat beef four or five times weekly,I always have a freezer full of beef,positive,2025-12-09T17:22:22.497Z,41f4d247212a91b7,1
I value convenience of having home-raised beef,I eat beef four or five times weekly,positive,2025-12-09T17:22:29.697Z,41f4d247212a91b7,1
My sister prefers chicken and fish for health,I eat chicken and fish with my sister,positive,2025-12-09T17:22:34.964Z,41f4d247212a91b7,1
Negative information on beef is viewed as political,I eat beef four or five times weekly,negative,2025-12-09T17:23:34.631Z,41f4d247212a91b7,1
Negative information on beef is viewed as political,I value convenience of having home-raised beef,negative,2025-12-09T17:23:47.081Z,41f4d247212a91b7,1
Negative information on beef is viewed as political,I always have a freezer full of beef,negative,2025-12-09T17:23:51.838Z,41f4d247212a91b7,1
Negative information on beef is viewed as political,I am not interested in eating less beef,negative,2025-12-09T17:24:00.229Z,41f4d247212a91b7,1
I eat beef four or five times weekly,My sister prefers chicken and fish for health,negative,2025-12-09T17:24:26.022Z,41f4d247212a91b7,1
I eat beef four or five times weekly,I eat chicken and fish with my sister,negative,2025-12-09T17:24:30.256Z,41f4d247212a91b7,1
I have food allergies,I am concerned about my health,positive,2025-12-09T17:45:51.663Z,5abe20da31c1510b,1
I am concerned about my health,Cooking less due to physical disability,positive,2025-12-09T17:45:55.835Z,5abe20da31c1510b,1
I am concerned about my health,I eat meat for vitamins like B12,positive,2025-12-09T17:46:01.023Z,5abe20da31c1510b,1
I am concerned about my health,I avoid eating the same meat daily,positive,2025-12-09T17:46:06.562Z,5abe20da31c1510b,1
I have food allergies,Financial concerns influence my friends' eating,negative,2025-12-09T17:46:20.322Z,5abe20da31c1510b,1
My friends value routine in eating habits,I vary meat based on what is on sale,negative,2025-12-09T17:46:30.286Z,5abe20da31c1510b,1
I want meat with high protein,I eat meat at every meal,positive,2025-12-09T17:36:40.967Z,e0b75643b94ce352,1
I sometimes eat smaller portions of meat,I am trying to lose weight,positive,2025-12-09T17:36:54.519Z,e0b75643b94ce352,1
I am trying to lose weight,I add more vegetables to meals,positive,2025-12-09T17:37:01.644Z,e0b75643b94ce352,1
It's hard to know what is healthiest,I cook meat by baking or grilling,positive,2025-12-09T17:37:15.281Z,e0b75643b94ce352,1
I eat meat when I crave it,Most people around me are omnivores,positive,2025-12-09T17:51:45.578Z,98326b74d660f5fd,1
I struggle morally with eating animals,I care about animals,positive,2025-12-09T17:51:55.045Z,98326b74d660f5fd,1
I struggle morally with eating animals,I eat meat when I crave it,negative,2025-12-09T17:52:15.596Z,98326b74d660f5fd,1
I eat meat when I crave it,I care about animals,negative,2025-12-09T17:52:24.179Z,98326b74d660f5fd,1
I struggle morally with eating animals,Most people around me are omnivores,negative,2025-12-09T17:52:44.711Z,98326b74d660f5fd,1
I do vegan activism,I am vegan,positive,2025-12-09T18:19:09.952Z,3e8a40a8a3361337,1
I am vegan,I am horrified by animal agriculture,positive,2025-12-09T18:19:11.735Z,3e8a40a8a3361337,1
I am vegan,Living among meat-eating loved ones feels isolating,negative,2025-12-09T18:19:22.753Z,3e8a40a8a3361337,1
I do vegan activism,Living among meat-eating loved ones feels isolating,negative,2025-12-09T18:19:26.918Z,3e8a40a8a3361337,1
I am horrified by animal agriculture,Living among meat-eating loved ones feels isolating,negative,2025-12-09T18:19:29.585Z,3e8a40a8a3361337,1
Meat prices have went up,I generally don't eat meat,positive,2025-12-09T17:09:11.691Z,5fee709bfe55faf2,1
Storage of meat is complicated,I generally don't eat meat,positive,2025-12-09T17:09:13.395Z,5fee709bfe55faf2,1
Cooking with meat is complicated,I generally don't eat meat,positive,2025-12-09T17:09:15.591Z,5fee709bfe55faf2,1
I have ethical concerns about meat production,I generally don't eat meat,positive,2025-12-09T17:09:24.355Z,5fee709bfe55faf2,1
I am skeptical about animal treatment,I have ethical concerns about meat production,positive,2025-12-09T17:09:26.899Z,5fee709bfe55faf2,1
I am skeptical about animal treatment,I generally don't eat meat,positive,2025-12-09T17:09:28.885Z,5fee709bfe55faf2,1
Storage of meat is complicated,Cooking with meat is complicated,positive,2025-12-09T17:09:31.663Z,5fee709bfe55faf2,1
Meat is part of family traditions,Family enjoys eating meat,positive,2025-12-09T17:09:44.109Z,5fee709bfe55faf2,1
I enjoy meat at family gatherings,Meat is part of family traditions,positive,2025-12-09T17:09:47.527Z,5fee709bfe55faf2,1
Family enjoys eating meat,I enjoy meat at family gatherings,positive,2025-12-09T17:09:50.095Z,5fee709bfe55faf2,1
I enjoy meat at family gatherings,I generally don't eat meat,negative,2025-12-09T17:09:55.247Z,5fee709bfe55faf2,1
Family enjoys eating meat,I generally don't eat meat,negative,2025-12-09T17:09:57.169Z,5fee709bfe55faf2,1
Meat is part of family traditions,I generally don't eat meat,negative,2025-12-09T17:09:59.425Z,5fee709bfe55faf2,1
I have ethical concerns about meat production,I enjoy meat at family gatherings,negative,2025-12-09T17:10:04.734Z,5fee709bfe55faf2,1
I am skeptical about animal treatment,I enjoy meat at family gatherings,negative,2025-12-09T17:10:07.527Z,5fee709bfe55faf2,1
I have ethical concerns about meat production,Meat is part of family traditions,negative,2025-12-09T17:10:09.713Z,5fee709bfe55faf2,1
Meat is part of family traditions,I am skeptical about animal treatment,negative,2025-12-09T17:10:12.033Z,5fee709bfe55faf2,1
I eat chicken three times a week,Meat feels healthy and satisfying,positive,2025-12-09T17:29:46.828Z,d91dfb759b5c056c,1
Eating meat feels normal and comfortable,Meat feels healthy and satisfying,positive,2025-12-09T17:29:51.516Z,d91dfb759b5c056c,1
I am open to trying new foods,My social group eats meat regularly,positive,2025-12-09T17:30:08.788Z,d91dfb759b5c056c,1
I am open to trying new foods,I enjoy the taste of meat,negative,2025-12-09T17:30:56.152Z,d91dfb759b5c056c,1
I have tried plant-based meat alternatives,Traditional family values include eating grilled meat,positive,2025-12-09T17:36:10.215Z,25c3702e02bdfd45,1
I want to get enough protein,I want to have energy for work,positive,2025-12-09T17:36:22.750Z,25c3702e02bdfd45,1
My family is motivated by health and age,I want to lose or maintain weight,positive,2025-12-09T17:36:25.417Z,25c3702e02bdfd45,1
I enjoy cooking and buying meat,I like eating different kinds of meat,positive,2025-12-09T17:36:28.643Z,25c3702e02bdfd45,1
I am concerned about my health,I want to lose or maintain weight,positive,2025-12-09T17:36:31.919Z,25c3702e02bdfd45,1
I want to lose or maintain weight,I enjoy cooking and buying meat,negative,2025-12-09T17:36:40.976Z,25c3702e02bdfd45,1
I like eating different kinds of meat,I want to get enough protein,negative,2025-12-09T17:36:43.766Z,25c3702e02bdfd45,1
I want to get enough protein,I have tried plant-based meat alternatives,negative,2025-12-09T17:37:06.562Z,25c3702e02bdfd45,1
I have age-related health concerns,I cut out red meat for cholesterol,positive,2025-12-09T17:32:16.483Z,b8eba67020022d75,1
I cut out red meat for cholesterol,I buy tofu as meat substitute,positive,2025-12-09T17:32:18.948Z,b8eba67020022d75,1
I have age-related health concerns,A doctor advised me about cholesterol,positive,2025-12-09T17:32:29.477Z,b8eba67020022d75,1
I have age-related health concerns,I want to reduce dietary fat,positive,2025-12-09T17:32:50.600Z,b8eba67020022d75,1
I buy tofu as meat substitute,I want solid protein substitutes for meat,positive,2025-12-09T17:33:12.852Z,b8eba67020022d75,1
I eat a lot of meat,I like the taste of meat,positive,2025-12-09T17:33:26.830Z,b8eba67020022d75,1
I buy tofu as meat substitute,I think tofu is cheaper than meat,positive,2025-12-09T17:33:58.884Z,b8eba67020022d75,1
I cut out red meat for cholesterol,I eat a lot of meat,negative,2025-12-09T17:34:31.313Z,b8eba67020022d75,1
A doctor advised me about cholesterol,I like the taste of meat,negative,2025-12-09T17:34:41.610Z,b8eba67020022d75,1
I like the taste of meat,I want solid protein substitutes for meat,negative,2025-12-09T17:34:55.012Z,b8eba67020022d75,1
I like the taste of meat,I want to reduce dietary fat,negative,2025-12-09T17:35:23.104Z,b8eba67020022d75,1
I eat a lot of meat,I have age-related health concerns,negative,2025-12-09T17:35:49.357Z,b8eba67020022d75,1
I like to eat meat,I grew up eating meat,positive,2025-12-09T17:21:50.177Z,53cf43f573cc8f32,1
Meat provides protein and energy,Most meals contain meat,positive,2025-12-09T17:21:58.137Z,53cf43f573cc8f32,1
I want meat growing to be sustainable,I have thought about reducing meat,positive,2025-12-09T17:22:07.913Z,53cf43f573cc8f32,1
Environmental concerns about eating meat,I want meat growing to be sustainable,positive,2025-12-09T17:22:11.545Z,53cf43f573cc8f32,1
Social circle likes the taste of meat,I like to eat meat,positive,2025-12-09T17:22:19.985Z,53cf43f573cc8f32,1
I like to eat meat,Friends and family eat meat,positive,2025-12-09T17:22:21.321Z,53cf43f573cc8f32,1
Social circle likes the taste of meat,Friends and family eat meat,positive,2025-12-09T17:22:23.369Z,53cf43f573cc8f32,1
Environmental concerns about eating meat,Most meals contain meat,negative,2025-12-09T17:22:41.097Z,53cf43f573cc8f32,1
I have thought about reducing meat,I grew up eating meat,negative,2025-12-09T17:22:50.809Z,53cf43f573cc8f32,1
I have thought about reducing meat,I like to eat meat,negative,2025-12-09T17:22:53.105Z,53cf43f573cc8f32,1
I want to improve my health,I limit how much meat I eat,positive,2025-12-09T17:31:56.669Z,e0b47f3f6a91ab2e,1
Wife reduces meat in solidarity with me,My family supports eating less meat,positive,2025-12-09T17:32:02.741Z,e0b47f3f6a91ab2e,1
I want to reduce environmental impact,Sister-in-law wants to help the environment,positive,2025-12-09T17:32:08.209Z,e0b47f3f6a91ab2e,1
I want to improve my health,Wife reduces meat in solidarity with me,positive,2025-12-09T17:32:15.277Z,e0b47f3f6a91ab2e,1
Doctor recommended reducing red meat,I want to improve my health,positive,2025-12-09T17:32:24.315Z,e0b47f3f6a91ab2e,1
Sister-in-law wants to help the environment,My family supports eating less meat,positive,2025-12-09T17:32:40.980Z,e0b47f3f6a91ab2e,1
