stance_1,stance_2,polarity,explicitness,strength,key,wave
I eat mostly chicken,I prefer chicken and fish,positive,explicit,100,5d5930b9486b3aef,1
I eat mostly chicken,I buy more meat when it is on sale,positive,implicit,55,5d5930b9486b3aef,1
I find chicken easier to digest than beef,I prefer chicken and fish,positive,explicit,95,5d5930b9486b3aef,1
I find chicken easier to digest than beef,I find steak hard to chew,positive,explicit,75,5d5930b9486b3aef,1
I find chicken easier to digest than beef,I buy more meat when it is on sale,positive,implicit,35,5d5930b9486b3aef,1
I find steak hard to chew,I prefer chicken and fish,positive,explicit,75,5d5930b9486b3aef,1
I prefer chicken and fish,I buy more meat when it is on sale,positive,implicit,40,5d5930b9486b3aef,1
I eat meat when I feel like it,I sometimes choose to cut back on meat,positive,explicit,80,c64e457f6d99d425,1
I eat meat when I feel like it,Meat consumption is a personal preference,positive,explicit,90,c64e457f6d99d425,1
I sometimes choose to cut back on meat,Meat consumption is a personal preference,positive,explicit,90,c64e457f6d99d425,1
I crave meat,I enjoy eating meat regularly,positive,explicit,90,0ec83457dd9ad9bb,1
I enjoy eating meat regularly,Meat tastes delicious to me,positive,explicit,90,0ec83457dd9ad9bb,1
I crave meat,Meat tastes delicious to me,positive,explicit,80,0ec83457dd9ad9bb,1
I enjoy eating meat regularly,Most people I know eat meat regularly,positive,implicit,40,0ec83457dd9ad9bb,1
I crave meat more during holidays,I eat more meat at gatherings,positive,explicit,90,cd254873c8c70b1f,1
I eat more meat at gatherings,I enjoy eating meat,positive,explicit,85,cd254873c8c70b1f,1
I eat more meat at gatherings,My family are big meat eaters,positive,explicit,80,cd254873c8c70b1f,1
I eat more meat at gatherings,My friends enjoy eating meat,positive,explicit,60,cd254873c8c70b1f,1
I enjoy eating meat,My friends enjoy eating meat,positive,explicit,85,cd254873c8c70b1f,1
I enjoy eating meat,My family are big meat eaters,positive,explicit,85,cd254873c8c70b1f,1
I enjoy eating meat,I want to be healthier,negative,explicit,65,cd254873c8c70b1f,1
I want to be healthier,My brother reduces meat for health reasons,positive,explicit,70,cd254873c8c70b1f,1
I want to be healthier,My family are big meat eaters,negative,explicit,40,cd254873c8c70b1f,1
I want to be healthier,My friends enjoy eating meat,negative,implicit,30,cd254873c8c70b1f,1
My brother reduces meat for health reasons,My family are big meat eaters,negative,explicit,70,cd254873c8c70b1f,1
My family are big meat eaters,My friends enjoy eating meat,positive,explicit,60,cd254873c8c70b1f,1
Family habits from childhood influence my eating,I eat predominantly meat with each meal,positive,explicit,90,673d057ee91b91d4,1
Family habits from childhood influence my eating,My family serves meat at meals,positive,explicit,95,673d057ee91b91d4,1
I believe meat is essential for health,I eat predominantly meat with each meal,positive,explicit,95,673d057ee91b91d4,1
I believe meat is essential for health,I feel better when I eat more meat,positive,explicit,90,673d057ee91b91d4,1
I believe meat is essential for health,I follow a low-carb diet,positive,implicit,50,673d057ee91b91d4,1
I eat predominantly meat with each meal,I feel better when I eat more meat,positive,explicit,100,673d057ee91b91d4,1
I eat predominantly meat with each meal,I follow a low-carb diet,positive,explicit,90,673d057ee91b91d4,1
I feel better when I eat more meat,I follow a low-carb diet,positive,explicit,85,673d057ee91b91d4,1
My family serves meat at meals,I eat predominantly meat with each meal,positive,explicit,70,673d057ee91b91d4,1
My family serves meat at meals,I follow a low-carb diet,positive,implicit,40,673d057ee91b91d4,1
Chicken is cheap and convenient,Family eats more chicken for cost reasons,positive,explicit,90,7cf1b08e24b10350,1
Chicken is cheap and convenient,I eat a lot of chicken,positive,explicit,85,7cf1b08e24b10350,1
Chicken is cheap and convenient,Meat is expensive for me,positive,implicit,80,7cf1b08e24b10350,1
Family eats more chicken for cost reasons,I eat a lot of chicken,positive,implicit,75,7cf1b08e24b10350,1
Family eats more chicken for cost reasons,Meat is expensive for me,positive,explicit,85,7cf1b08e24b10350,1
I enjoy cooking meat at home,I love eating meat,positive,explicit,95,7cf1b08e24b10350,1
I eat a lot of chicken,Meat is expensive for me,positive,implicit,75,7cf1b08e24b10350,1
I enjoy cooking meat at home,I prefer real meat over substitutes,positive,implicit,60,7cf1b08e24b10350,1
I got food poisoning from fast food bacon,I avoid fast food bacon,positive,explicit,100,7cf1b08e24b10350,1
I love eating meat,I prefer real meat over substitutes,positive,explicit,85,7cf1b08e24b10350,1
I enjoy cooking meat at home,I avoid fast food bacon,positive,explicit,70,7cf1b08e24b10350,1
I enjoy cooking meat at home,I got food poisoning from fast food bacon,positive,explicit,60,7cf1b08e24b10350,1
Eating meat is mostly out of habit,I eat meat at most meals,positive,explicit,70,bd14752573c3fbed,1
Eating meat is mostly out of habit,My family eats similar meals as me,positive,implicit,50,bd14752573c3fbed,1
Eating meat is mostly out of habit,My family likes the taste of meat,positive,explicit,55,bd14752573c3fbed,1
Eating meat is mostly out of habit,I like the taste of meat,positive,explicit,50,bd14752573c3fbed,1
I eat meat at most meals,I like the taste of meat,positive,explicit,80,bd14752573c3fbed,1
I eat meat at most meals,My family eats similar meals as me,positive,explicit,80,bd14752573c3fbed,1
I like the taste of meat,My family likes the taste of meat,positive,explicit,90,bd14752573c3fbed,1
I eat meat at most meals,My family likes the taste of meat,positive,implicit,40,bd14752573c3fbed,1
My family eats similar meals as me,My family likes the taste of meat,positive,explicit,75,bd14752573c3fbed,1
I like the taste of meat,I realize meat is not always healthy,negative,explicit,70,bd14752573c3fbed,1
I like the taste of meat,I realize meat can impact the environment,negative,explicit,60,bd14752573c3fbed,1
I realize meat can impact the environment,I realize meat is not always healthy,positive,implicit,50,bd14752573c3fbed,1
I consciously eat more chicken,I believe grilled chicken is healthier,positive,explicit,90,2a27143cb3ff288a,1
I consciously eat more chicken,I eat less meat than I used to,positive,explicit,75,2a27143cb3ff288a,1
I consciously eat more chicken,My children eat more chicken and fish,positive,implicit,40,2a27143cb3ff288a,1
I consciously eat more chicken,I plan meals with my wife,positive,explicit,60,2a27143cb3ff288a,1
I consciously eat more chicken,I eat meat if I feel like it,positive,implicit,25,2a27143cb3ff288a,1
I eat less meat than I used to,I believe grilled chicken is healthier,positive,explicit,55,2a27143cb3ff288a,1
I eat less meat than I used to,My children eat more chicken and fish,positive,implicit,35,2a27143cb3ff288a,1
I plan meals with my wife,I eat meat if I feel like it,positive,explicit,60,2a27143cb3ff288a,1
I eat meat if I feel like it,I eat less meat than I used to,positive,implicit,35,2a27143cb3ff288a,1
I plan meals with my wife,I eat less meat than I used to,positive,implicit,30,2a27143cb3ff288a,1
I plan meals with my wife,My children eat more chicken and fish,positive,implicit,25,2a27143cb3ff288a,1
I eat meat if I feel like it,I believe grilled chicken is healthier,negative,implicit,25,2a27143cb3ff288a,1
I believe grilled chicken is healthier,My children eat more chicken and fish,positive,implicit,35,2a27143cb3ff288a,1
I am picky about eating meat,I am sensitive to meat texture,positive,explicit,95,99229f1b414f5809,1
I am picky about eating meat,My mood affects my meat eating,positive,explicit,80,99229f1b414f5809,1
I am sensitive to meat texture,My mood affects my meat eating,positive,explicit,75,99229f1b414f5809,1
I believe meat provides necessary protein,I prepare meat for my husband and son,positive,explicit,83,99229f1b414f5809,1
I believe meat provides necessary protein,"I want a balanced, healthy diet",positive,explicit,80,99229f1b414f5809,1
I eat more lean meats to be healthy,"I want a balanced, healthy diet",positive,explicit,70,99229f1b414f5809,1
I eat more lean meats to be healthy,My family likes to eat meat,positive,implicit,30,99229f1b414f5809,1
I prepare meat for my husband and son,My family likes to eat meat,positive,explicit,95,99229f1b414f5809,1
"I want a balanced, healthy diet",My family likes to eat meat,positive,implicit,25,99229f1b414f5809,1
I always have a freezer full of beef,I eat beef four or five times weekly,positive,explicit,95,41f4d247212a91b7,1
I am not interested in eating less beef,Negative information on beef is viewed as political,positive,explicit,90,41f4d247212a91b7,1
I believe beef is high in protein,I believe beef is nutritious,positive,explicit,80,41f4d247212a91b7,1
I believe beef is high in protein,I eat beef four or five times weekly,positive,explicit,70,41f4d247212a91b7,1
I believe beef is nutritious,I eat beef four or five times weekly,positive,explicit,70,41f4d247212a91b7,1
I eat beef four or five times weekly,I value convenience of having home-raised beef,positive,explicit,90,41f4d247212a91b7,1
I always have a freezer full of beef,I value convenience of having home-raised beef,positive,explicit,85,41f4d247212a91b7,1
I am not interested in eating less beef,I eat beef four or five times weekly,positive,explicit,80,41f4d247212a91b7,1
I eat chicken and fish with my sister,My sister prefers chicken and fish for health,positive,explicit,90,41f4d247212a91b7,1
I believe beef is nutritious,My sister prefers chicken and fish for health,negative,explicit,70,41f4d247212a91b7,1
I eat chicken and fish with my sister,I eat beef four or five times weekly,negative,implicit,40,41f4d247212a91b7,1
I am not interested in eating less beef,My sister prefers chicken and fish for health,negative,implicit,60,41f4d247212a91b7,1
I value convenience of having home-raised beef,I am not interested in eating less beef,positive,implicit,60,41f4d247212a91b7,1
Cooking less due to physical disability,I avoid eating the same meat daily,negative,implicit,40,5abe20da31c1510b,1
Cooking less due to physical disability,I vary meat based on what is on sale,positive,implicit,30,5abe20da31c1510b,1
Cooking less due to physical disability,My friends value routine in eating habits,positive,implicit,25,5abe20da31c1510b,1
Cooking less due to physical disability,Financial concerns influence my friends' eating,positive,implicit,25,5abe20da31c1510b,1
Financial concerns influence my friends' eating,I vary meat based on what is on sale,positive,explicit,75,5abe20da31c1510b,1
Financial concerns influence my friends' eating,I avoid eating the same meat daily,positive,implicit,40,5abe20da31c1510b,1
I am concerned about my health,I avoid eating the same meat daily,positive,explicit,85,5abe20da31c1510b,1
I am concerned about my health,I eat meat for vitamins like B12,positive,explicit,80,5abe20da31c1510b,1
I am concerned about my health,I have food allergies,positive,explicit,65,5abe20da31c1510b,1
I am concerned about my health,I vary meat based on what is on sale,positive,implicit,25,5abe20da31c1510b,1
I am concerned about my health,My friends value routine in eating habits,negative,explicit,55,5abe20da31c1510b,1
I avoid eating the same meat daily,I vary meat based on what is on sale,positive,explicit,75,5abe20da31c1510b,1
I avoid eating the same meat daily,My friends value routine in eating habits,negative,explicit,70,5abe20da31c1510b,1
I avoid eating the same meat daily,I have food allergies,positive,explicit,55,5abe20da31c1510b,1
I eat meat for vitamins like B12,I am concerned about my health,positive,explicit,80,5abe20da31c1510b,1
I vary meat based on what is on sale,Financial concerns influence my friends' eating,positive,explicit,75,5abe20da31c1510b,1
I vary meat based on what is on sale,My friends value routine in eating habits,negative,explicit,60,5abe20da31c1510b,1
I add more vegetables to meals,I sometimes eat smaller portions of meat,positive,explicit,95,e0b75643b94ce352,1
I am trying to lose weight,I cook meat by baking or grilling,positive,explicit,90,e0b75643b94ce352,1
I am trying to lose weight,I sometimes eat smaller portions of meat,positive,explicit,70,e0b75643b94ce352,1
I am trying to lose weight,I want meat with high protein,positive,explicit,85,e0b75643b94ce352,1
I am trying to lose weight,I add more vegetables to meals,positive,explicit,70,e0b75643b94ce352,1
I am trying to lose weight,It's hard to know what is healthiest,positive,explicit,90,e0b75643b94ce352,1
I cook meat by baking or grilling,I want meat with high protein,positive,explicit,65,e0b75643b94ce352,1
I eat meat at every meal,I feel unwell without eating meat,positive,explicit,95,e0b75643b94ce352,1
I eat meat at every meal,My social gatherings always include meat,positive,explicit,85,e0b75643b94ce352,1
I eat meat at every meal,I sometimes eat smaller portions of meat,negative,explicit,60,e0b75643b94ce352,1
I eat meat at every meal,Some friends are vegetarians,negative,explicit,35,e0b75643b94ce352,1
I eat meat at every meal,I want meat with high protein,positive,explicit,80,e0b75643b94ce352,1
I feel unwell without eating meat,I sometimes eat smaller portions of meat,negative,explicit,70,e0b75643b94ce352,1
I sometimes eat smaller portions of meat,It's hard to know what is healthiest,positive,implicit,30,e0b75643b94ce352,1
I want meat with high protein,I feel unwell without eating meat,positive,implicit,60,e0b75643b94ce352,1
I want meat with high protein,It's hard to know what is healthiest,positive,implicit,30,e0b75643b94ce352,1
My social gatherings always include meat,Some friends are vegetarians,negative,explicit,40,e0b75643b94ce352,1
I care about animals,I struggle morally with eating animals,positive,explicit,90,98326b74d660f5fd,1
I care about animals,I eat meat when I crave it,negative,explicit,75,98326b74d660f5fd,1
I care about animals,Most people around me are omnivores,negative,implicit,30,98326b74d660f5fd,1
I eat meat when I crave it,I struggle morally with eating animals,negative,explicit,85,98326b74d660f5fd,1
I eat meat when I crave it,Most people around me are omnivores,positive,implicit,35,98326b74d660f5fd,1
I am horrified by animal agriculture,I am vegan,positive,explicit,100,3e8a40a8a3361337,1
I am vegan,I do vegan activism,positive,implicit,60,3e8a40a8a3361337,1
I am vegan,Living among meat-eating loved ones feels isolating,positive,explicit,90,3e8a40a8a3361337,1
I do vegan activism,Living among meat-eating loved ones feels isolating,positive,explicit,80,3e8a40a8a3361337,1
Cooking with meat is complicated,I generally don't eat meat,positive,explicit,80,5fee709bfe55faf2,1
Cooking with meat is complicated,Storage of meat is complicated,positive,explicit,75,5fee709bfe55faf2,1
Family enjoys eating meat,I enjoy meat at family gatherings,positive,explicit,70,5fee709bfe55faf2,1
Family enjoys eating meat,Meat is part of family traditions,positive,explicit,85,5fee709bfe55faf2,1
I generally don't eat meat,I enjoy meat at family gatherings,negative,explicit,60,5fee709bfe55faf2,1
I generally don't eat meat,I have ethical concerns about meat production,positive,explicit,75,5fee709bfe55faf2,1
I generally don't eat meat,Meat prices have went up,positive,explicit,80,5fee709bfe55faf2,1
I generally don't eat meat,Storage of meat is complicated,positive,explicit,70,5fee709bfe55faf2,1
I generally don't eat meat,Cooking with meat is complicated,positive,explicit,80,5fee709bfe55faf2,1
I have ethical concerns about meat production,I am skeptical about animal treatment,positive,explicit,90,5fee709bfe55faf2,1
I have ethical concerns about meat production,I enjoy meat at family gatherings,negative,implicit,50,5fee709bfe55faf2,1
I have ethical concerns about meat production,Meat is part of family traditions,negative,implicit,40,5fee709bfe55faf2,1
I am skeptical about animal treatment,I generally don't eat meat,positive,implicit,60,5fee709bfe55faf2,1
Meat is part of family traditions,I enjoy meat at family gatherings,positive,explicit,70,5fee709bfe55faf2,1
Meat prices have went up,Cooking with meat is complicated,positive,implicit,30,5fee709bfe55faf2,1
Meat prices have went up,Storage of meat is complicated,positive,implicit,30,5fee709bfe55faf2,1
Eating meat feels normal and comfortable,I enjoy the taste of meat,positive,explicit,85,d91dfb759b5c056c,1
Eating meat feels normal and comfortable,Meat fits my daily routine,positive,explicit,80,d91dfb759b5c056c,1
Eating meat feels normal and comfortable,My social group eats meat regularly,positive,explicit,78,d91dfb759b5c056c,1
Eating meat feels normal and comfortable,Meat feels healthy and satisfying,positive,explicit,65,d91dfb759b5c056c,1
Eating meat feels normal and comfortable,I am open to trying new foods,negative,implicit,30,d91dfb759b5c056c,1
I eat beef four times a week,Meat fits my daily routine,positive,explicit,85,d91dfb759b5c056c,1
I eat chicken three times a week,Meat fits my daily routine,positive,explicit,80,d91dfb759b5c056c,1
I enjoy the taste of meat,Meat feels healthy and satisfying,positive,explicit,70,d91dfb759b5c056c,1
I enjoy the taste of meat,Meat fits my daily routine,positive,explicit,60,d91dfb759b5c056c,1
I enjoy the taste of meat,My social group eats meat regularly,positive,implicit,50,d91dfb759b5c056c,1
I enjoy the taste of meat,I am open to trying new foods,negative,implicit,22,d91dfb759b5c056c,1
I eat beef four times a week,I enjoy the taste of meat,positive,explicit,70,d91dfb759b5c056c,1
I eat chicken three times a week,I enjoy the taste of meat,positive,explicit,60,d91dfb759b5c056c,1
I eat beef four times a week,I eat chicken three times a week,positive,implicit,40,d91dfb759b5c056c,1
I eat beef four times a week,My social group eats meat regularly,positive,explicit,55,d91dfb759b5c056c,1
I eat chicken three times a week,My social group eats meat regularly,positive,explicit,55,d91dfb759b5c056c,1
Meat fits my daily routine,My social group eats meat regularly,positive,implicit,45,d91dfb759b5c056c,1
Meat feels healthy and satisfying,Meat fits my daily routine,positive,implicit,52,d91dfb759b5c056c,1
I am concerned about my health,I want to lose or maintain weight,positive,explicit,90,25c3702e02bdfd45,1
I am concerned about my health,I have tried plant-based meat alternatives,positive,explicit,75,25c3702e02bdfd45,1
I am concerned about my health,I want to have energy for work,positive,implicit,50,25c3702e02bdfd45,1
I am concerned about my health,I want to get enough protein,positive,explicit,65,25c3702e02bdfd45,1
I am concerned about my health,My family is motivated by health and age,positive,explicit,80,25c3702e02bdfd45,1
I am concerned about my health,My family now eats more plant-based foods,positive,explicit,68,25c3702e02bdfd45,1
I am concerned about my health,Traditional family values include eating grilled meat,negative,implicit,50,25c3702e02bdfd45,1
I am concerned about my health,I like eating different kinds of meat,negative,explicit,55,25c3702e02bdfd45,1
I am concerned about my health,I enjoy cooking and buying meat,negative,implicit,40,25c3702e02bdfd45,1
I have tried plant-based meat alternatives,I want to lose or maintain weight,positive,explicit,92,25c3702e02bdfd45,1
I have tried plant-based meat alternatives,I want to get enough protein,positive,implicit,42,25c3702e02bdfd45,1
I have tried plant-based meat alternatives,My family now eats more plant-based foods,positive,explicit,87,25c3702e02bdfd45,1
I have tried plant-based meat alternatives,My family is motivated by health and age,positive,implicit,60,25c3702e02bdfd45,1
I have tried plant-based meat alternatives,Traditional family values include eating grilled meat,negative,implicit,55,25c3702e02bdfd45,1
I have tried plant-based meat alternatives,I like eating different kinds of meat,negative,implicit,30,25c3702e02bdfd45,1
I have tried plant-based meat alternatives,I enjoy cooking and buying meat,negative,implicit,25,25c3702e02bdfd45,1
I have tried plant-based meat alternatives,I want to have energy for work,positive,implicit,40,25c3702e02bdfd45,1
I like eating different kinds of meat,I enjoy cooking and buying meat,positive,explicit,85,25c3702e02bdfd45,1
I like eating different kinds of meat,Traditional family values include eating grilled meat,positive,explicit,80,25c3702e02bdfd45,1
I like eating different kinds of meat,My family now eats more plant-based foods,negative,implicit,30,25c3702e02bdfd45,1
I like eating different kinds of meat,My family is motivated by health and age,negative,implicit,25,25c3702e02bdfd45,1
I like eating different kinds of meat,I want to lose or maintain weight,negative,implicit,40,25c3702e02bdfd45,1
I like eating different kinds of meat,I want to get enough protein,positive,implicit,50,25c3702e02bdfd45,1
I want to have energy for work,I want to get enough protein,positive,explicit,85,25c3702e02bdfd45,1
I want to have energy for work,I want to lose or maintain weight,positive,implicit,42,25c3702e02bdfd45,1
I want to lose or maintain weight,My family is motivated by health and age,positive,explicit,78,25c3702e02bdfd45,1
I want to lose or maintain weight,My family now eats more plant-based foods,positive,explicit,75,25c3702e02bdfd45,1
I want to lose or maintain weight,Traditional family values include eating grilled meat,negative,implicit,50,25c3702e02bdfd45,1
I want to get enough protein,My family is motivated by health and age,positive,implicit,30,25c3702e02bdfd45,1
I want to get enough protein,My family now eats more plant-based foods,positive,implicit,28,25c3702e02bdfd45,1
My family is motivated by health and age,My family now eats more plant-based foods,positive,explicit,98,25c3702e02bdfd45,1
My family is motivated by health and age,Traditional family values include eating grilled meat,negative,explicit,80,25c3702e02bdfd45,1
My family now eats more plant-based foods,Traditional family values include eating grilled meat,negative,explicit,85,25c3702e02bdfd45,1
A doctor advised me about cholesterol,I cut out red meat for cholesterol,positive,explicit,95,b8eba67020022d75,1
I buy tofu as meat substitute,I want solid protein substitutes for meat,positive,explicit,90,b8eba67020022d75,1
I buy tofu as meat substitute,I think tofu is cheaper than meat,positive,explicit,80,b8eba67020022d75,1
I buy tofu as meat substitute,I want to reduce dietary fat,positive,explicit,75,b8eba67020022d75,1
I have age-related health concerns,I want to reduce dietary fat,positive,explicit,85,b8eba67020022d75,1
I have age-related health concerns,I want solid protein substitutes for meat,positive,implicit,70,b8eba67020022d75,1
I have age-related health concerns,I buy tofu as meat substitute,positive,implicit,60,b8eba67020022d75,1
I want to reduce dietary fat,I want solid protein substitutes for meat,positive,explicit,80,b8eba67020022d75,1
I like the taste of meat,I want to reduce dietary fat,negative,explicit,65,b8eba67020022d75,1
I like the taste of meat,I buy tofu as meat substitute,negative,explicit,65,b8eba67020022d75,1
I eat a lot of meat,I want to reduce dietary fat,negative,explicit,70,b8eba67020022d75,1
I eat a lot of meat,I like the taste of meat,positive,implicit,80,b8eba67020022d75,1
I cut out red meat for cholesterol,I want to reduce dietary fat,positive,explicit,80,b8eba67020022d75,1
