embed_model_outname,run_id,run_dir,umap_n_neighbors,umap_n_components,umap_min_dist,hdb_min_cluster_size,hdb_min_samples,n_total,n_topics,dbcv,n_outliers,n_topic0,outlier_rate,topic0_ratio,outlier_0_ratio,distortion,mean_assigned_prob
all-MiniLM-L6-v2,20260210_222432_3c9714b4,run_20260210_222432_3c9714b4,45,10,0.1,75,5,3458,15,0.37112373713302554,356,871,0.10294968189705032,0.2518796992481203,0.3548293811451706,0.24322261917089585,0.7326939905195011
all-MiniLM-L6-v2,20260210_222443_ca7012e3,run_20260210_222443_ca7012e3,15,2,0.1,25,5,3458,53,0.3696529044851396,513,187,0.14835164835164835,0.0540775014459225,0.20242914979757085,0.1849358820171429,0.6580950749080268
bert-base-nli-mean-tokens,20260210_222815_72be4522,run_20260210_222815_72be4522,15,2,0.1,75,5,3458,11,0.36412534057240165,451,936,0.1304222093695778,0.2706766917293233,0.4010989010989011,0.2038979229437064,0.7164863773033833
all-MiniLM-L6-v2,20260210_222508_fd1bdc76,run_20260210_222508_fd1bdc76,30,2,0.1,25,5,3458,46,0.36263577591574314,529,243,0.1529786003470214,0.07027183342972816,0.22325043377674958,0.18630900648866103,0.6186467647867646
qwen3-embedding-0.6b,20260210_221724_c7917687,run_20260210_221724_c7917687,15,2,0.1,25,5,3458,51,0.3602331309023286,603,236,0.17437825332562173,0.06824754193175246,0.2426257952573742,0.10726311300765404,0.7234284008232923
all-MiniLM-L6-v2,20260210_222517_e0058bf3,run_20260210_222517_e0058bf3,30,2,0.1,50,5,3458,23,0.3568057913014425,608,343,0.17582417582417584,0.09919028340080972,0.2750144592249855,0.22209975786114994,0.641281295432578
all-MiniLM-L6-v2,20260210_222315_9ebfbea0,run_20260210_222315_9ebfbea0,15,10,0.1,25,5,3458,50,0.3565581977259109,567,208,0.16396761133603238,0.06015037593984962,0.224117987275882,0.18674438814006022,0.655943274637752
bge-large-en-v1.5,20260210_222244_449f58eb,run_20260210_222244_449f58eb,45,2,0.1,50,5,3458,22,0.34889066116368644,498,304,0.14401388085598613,0.08791208791208792,0.23192596876807403,0.12342434394601229,0.68413885741894
bert-base-nli-mean-tokens,20260210_222858_5b774dc2,run_20260210_222858_5b774dc2,45,2,0.1,25,5,3458,44,0.348346236591519,735,199,0.2125506072874494,0.05754771544245228,0.2700983227299017,0.12542279942964657,0.6536322070059806
bert-base-nli-mean-tokens,20260210_222707_bb97a7d1,run_20260210_222707_bb97a7d1,30,10,0.1,75,5,3458,11,0.3475315450150155,642,735,0.18565644881434354,0.2125506072874494,0.39820705610179297,0.20006661222908984,0.7190674705695472
qwen3-embedding-0.6b,20260210_221821_bca1af6c,run_20260210_221821_bca1af6c,30,2,0.1,75,5,3458,16,0.3411569662433819,665,565,0.19230769230769232,0.16338924233661076,0.3556969346443031,0.13776754916802642,0.755139201397187
bge-large-en-v1.5,20260210_222207_fc06d2c1,run_20260210_222207_fc06d2c1,30,2,0.1,50,5,3458,25,0.34010442780203687,520,308,0.15037593984962405,0.08906882591093117,0.23944476576055523,0.12290882776187666,0.7196388668036228
qwen3-embedding-0.6b,20260210_221608_e342c2c8,run_20260210_221608_e342c2c8,30,10,0.1,25,5,3458,44,0.33788218638594997,492,239,0.14227877385772122,0.0691150954308849,0.21139386928860612,0.10810346030256512,0.636028418091291
qwen3-embedding-0.6b,20260210_221621_7e14f5f4,run_20260210_221621_7e14f5f4,30,10,0.1,50,5,3458,27,0.3375699244266906,444,239,0.12839791787160207,0.0691150954308849,0.197513013302487,0.12527355694106343,0.7097721396575787
bge-large-en-v1.5,20260210_221936_a5071445,run_20260210_221936_a5071445,15,10,0.1,50,5,3458,23,0.3115153160060128,540,317,0.15615962984384038,0.09167148640832852,0.2478311162521689,0.12595762276665817,0.6555119529749878
qwen3-embedding-0.6b,20260210_221545_b46b0b3d,run_20260210_221545_b46b0b3d,15,10,0.1,50,5,3458,23,0.310446655508581,675,236,0.19519953730480047,0.06824754193175246,0.2634470792365529,0.12988220274641152,0.6862555366253759
bert-base-nli-mean-tokens,20260210_222847_639c9282,run_20260210_222847_639c9282,30,2,0.1,75,5,3458,18,0.30857046044583086,661,323,0.19115095430884904,0.09340659340659341,0.28455754771544245,0.1701885318389568,0.7433059749850515
bert-base-nli-mean-tokens,20260210_222623_694db0dd,run_20260210_222623_694db0dd,15,10,0.1,50,5,3458,19,0.30847034095829823,597,645,0.17264314632735686,0.186524002313476,0.3591671486408329,0.17627655504592354,0.6912809586531866
qwen3-embedding-0.6b,20260210_221833_996e4291,run_20260210_221833_996e4291,45,2,0.1,25,5,3458,41,0.30455589933543614,424,251,0.12261422787738577,0.07258530942741469,0.19519953730480047,0.11235787904647596,0.6783737106957344
all-MiniLM-L6-v2,20260210_222536_d8c2dcf2,run_20260210_222536_d8c2dcf2,45,2,0.1,25,5,3458,47,0.2980051116673084,553,185,0.15991902834008098,0.05349913244650087,0.21341816078658185,0.1814299293978079,0.6125659571177996
all-MiniLM-L6-v2,20260210_222342_05eb7e70,run_20260210_222342_05eb7e70,30,10,0.1,25,5,3458,48,0.29485977947561404,521,251,0.15066512434933488,0.07258530942741469,0.22325043377674958,0.1812370332895918,0.6465487416175562
bge-large-en-v1.5,20260210_222219_e09c2d3f,run_20260210_222219_e09c2d3f,30,2,0.1,75,5,3458,13,0.29368914874093327,309,1290,0.089358010410642,0.373048004626952,0.462406015037594,0.1466631904107194,0.761247524050696
all-MiniLM-L6-v2,20260210_222451_884d6d4a,run_20260210_222451_884d6d4a,15,2,0.1,50,5,3458,23,0.2936553917048714,709,319,0.2050318102949682,0.09224985540775014,0.29728166570271836,0.23889466831253936,0.6924950246982363
all-MiniLM-L6-v2,20260210_222422_b842a63a,run_20260210_222422_b842a63a,45,10,0.1,50,5,3458,28,0.29343970197064767,596,243,0.17235396182764604,0.07027183342972816,0.2426257952573742,0.1999488317939387,0.7213461622177342
bert-base-nli-mean-tokens,20260210_222612_c4427094,run_20260210_222612_c4427094,15,10,0.1,25,5,3458,37,0.2931168782275272,623,467,0.18016194331983806,0.13504916136495085,0.3152111046847889,0.15230799702109482,0.6285026530009291
qwen3-embedding-0.6b,20260210_221557_576ab144,run_20260210_221557_576ab144,15,10,0.1,75,5,3458,16,0.2908100446921583,679,444,0.19635627530364372,0.12839791787160207,0.3247541931752458,0.1422897581146449,0.6314427835639661
qwen3-embedding-0.6b,20260210_221757_7e83541c,run_20260210_221757_7e83541c,30,2,0.1,25,5,3458,48,0.2891520267860726,368,504,0.1064198958935801,0.145748987854251,0.25216888374783114,0.10987680322915605,0.6601758108270692
bert-base-nli-mean-tokens,20260210_222718_9bc86f62,run_20260210_222718_9bc86f62,45,10,0.1,25,5,3458,42,0.28839302722885357,878,201,0.253903990746096,0.058126084441873914,0.31203007518796994,0.11891373148722242,0.6187767601078984
qwen3-embedding-0.6b,20260210_221809_60311038,run_20260210_221809_60311038,30,2,0.1,50,5,3458,25,0.28018921047417544,573,504,0.16570271833429728,0.145748987854251,0.3114517061885483,0.12656014108161992,0.7026207791872975
bert-base-nli-mean-tokens,20260210_222730_ec23d79d,run_20260210_222730_ec23d79d,45,10,0.1,50,5,3458,20,0.2789564198588664,724,466,0.20936957779063042,0.13475997686524002,0.3441295546558704,0.16649252650462196,0.6573498139301589
bert-base-nli-mean-tokens,20260210_222805_aae4efc3,run_20260210_222805_aae4efc3,15,2,0.1,50,5,3458,14,0.27291714319209565,531,936,0.15355696934644303,0.2706766917293233,0.4242336610757663,0.19180466397084756,0.7478283629233884
bge-large-en-v1.5,20260210_222000_76fe0ec5,run_20260210_222000_76fe0ec5,30,10,0.1,25,5,3458,43,0.2728763138826671,522,302,0.1509543088490457,0.08733371891266628,0.23828802776171198,0.1076618464465687,0.6278356421018113
all-MiniLM-L6-v2,20260210_222411_e1ceabac,run_20260210_222411_e1ceabac,45,10,0.1,25,5,3458,44,0.26916902531552367,579,243,0.16743782533256218,0.07027183342972816,0.23770965876229033,0.1781963562077224,0.6003767788515153
all-MiniLM-L6-v2,20260210_222500_b10e345c,run_20260210_222500_b10e345c,15,2,0.1,75,5,3458,11,0.2689218995338928,671,931,0.1940427993059572,0.2692307692307692,0.4632735685367264,0.2775636322831098,0.7020179754005981
all-MiniLM-L6-v2,20260210_222556_4067cf0e,run_20260210_222556_4067cf0e,45,2,0.1,75,5,3458,15,0.2662880678133499,466,1144,0.13475997686524002,0.3308270676691729,0.46558704453441296,0.24412457924336195,0.7759286427320764
bert-base-nli-mean-tokens,20260210_222909_2c7e6aba,run_20260210_222909_2c7e6aba,45,2,0.1,50,5,3458,19,0.2657050928808601,502,614,0.14517061885482938,0.1775592828224407,0.3227299016772701,0.1718307366047725,0.6900062486443853
bge-large-en-v1.5,20260210_222053_5db989bd,run_20260210_222053_5db989bd,45,10,0.1,50,5,3458,23,0.26545601244095723,375,293,0.10844418739155581,0.08473105841526894,0.19317524580682474,0.12129277955623483,0.6183037109360479
qwen3-embedding-0.6b,20260210_221646_60749f3b,run_20260210_221646_60749f3b,45,10,0.1,25,5,3458,41,0.260291212231657,446,240,0.12897628687102372,0.06940427993059572,0.19838056680161945,0.10845255982353393,0.5733033104365645
all-MiniLM-L6-v2,20260210_222324_6c852182,run_20260210_222324_6c852182,15,10,0.1,50,5,3458,22,0.25535732343701817,726,325,0.20994794679005205,0.09398496240601503,0.3039329091960671,0.2247281663207062,0.6356396035653868
bge-large-en-v1.5,20260210_221948_6c86d3c9,run_20260210_221948_6c86d3c9,15,10,0.1,75,5,3458,15,0.25463145775174206,781,317,0.2258530942741469,0.09167148640832852,0.3175245806824754,0.1356450116006483,0.6657045836339862
bge-large-en-v1.5,20260210_221924_e8323d9f,run_20260210_221924_e8323d9f,15,10,0.1,25,5,3458,45,0.2515078078505352,399,231,0.11538461538461539,0.06680161943319839,0.18218623481781376,0.10900920561303809,0.6172800724147451
bge-large-en-v1.5,20260210_222039_2d080cbe,run_20260210_222039_2d080cbe,45,10,0.1,25,5,3458,40,0.2506596672661264,495,293,0.14314632735685368,0.08473105841526894,0.2278773857721226,0.10693922122909617,0.5781790976915419
bge-large-en-v1.5,20260210_222106_979fc0bd,run_20260210_222106_979fc0bd,45,10,0.1,75,5,3458,20,0.23035455146237974,543,293,0.1570271833429728,0.08473105841526894,0.24175824175824176,0.12389565377047294,0.7315702084338135
qwen3-embedding-0.6b,20260210_221659_08f5397c,run_20260210_221659_08f5397c,45,10,0.1,50,5,3458,27,0.22367854810638324,498,240,0.14401388085598613,0.06940427993059572,0.21341816078658185,0.11827035175787436,0.6989957830844377
all-MiniLM-L6-v2,20260210_222333_f02f237e,run_20260210_222333_f02f237e,15,10,0.1,75,5,3458,11,0.22200123552900455,830,765,0.24002313475997686,0.22122614227877385,0.46124927703875074,0.26241473944877564,0.6180562113385222
bge-large-en-v1.5,20260210_222120_3444a003,run_20260210_222120_3444a003,15,2,0.1,25,5,3458,52,0.20582073975052181,569,225,0.164545980335454,0.06506651243493349,0.2296124927703875,0.10376182086082344,0.6684565201022186
bert-base-nli-mean-tokens,20260210_222633_1e0208b6,run_20260210_222633_1e0208b6,15,10,0.1,75,5,3458,12,0.1879950010245013,464,879,0.1341816078658184,0.2541931752458068,0.3883747831116252,0.2067328473190984,0.7248360172052533
bge-large-en-v1.5,20260210_222132_1bd2663a,run_20260210_222132_1bd2663a,15,2,0.1,50,5,3458,22,0.18546940669397435,666,354,0.19259687680740312,0.10237131289762869,0.2949681897050318,0.12525977352287163,0.6281555420257363
bge-large-en-v1.5,20260210_222231_88aad651,run_20260210_222231_88aad651,45,2,0.1,25,5,3458,42,0.1806142422965781,445,304,0.1286871023713129,0.08791208791208792,0.2165991902834008,0.10571211392484628,0.5959863177555382
bge-large-en-v1.5,20260210_222257_adbd2d24,run_20260210_222257_adbd2d24,45,2,0.1,75,5,3458,17,0.17284354280901515,407,383,0.1176980913823019,0.11075766338924234,0.22845575477154426,0.132797454037224,0.7033063482553494
all-MiniLM-L6-v2,20260210_222401_243d5e30,run_20260210_222401_243d5e30,30,10,0.1,75,5,3458,10,0.16936535477639245,560,1151,0.16194331983805668,0.33285135916714864,0.4947946790052053,0.26573762788679617,0.6819915523098212
bert-base-nli-mean-tokens,20260210_222742_7214be34,run_20260210_222742_7214be34,45,10,0.1,75,5,3458,9,0.1675967177140534,342,1680,0.0989010989010989,0.48582995951417,0.584731058415269,0.24027246557204807,0.6886025399811875
qwen3-embedding-0.6b,20260210_221712_d6dd6eec,run_20260210_221712_d6dd6eec,45,10,0.1,75,5,3458,20,0.15735026409068506,683,361,0.197513013302487,0.1043956043956044,0.3019086176980914,0.13030180067629427,0.7485590058294712
qwen3-embedding-0.6b,20260210_221736_9341fc36,run_20260210_221736_9341fc36,15,2,0.1,50,5,3458,8,0.1462759611629043,150,2702,0.04337767495662233,0.7813765182186235,0.8247541931752458,0.17332047314136464,0.9024505060275629
bge-large-en-v1.5,20260210_222026_ed92f16f,run_20260210_222026_ed92f16f,30,10,0.1,75,5,3458,17,0.1341119507114438,751,302,0.21717755928282245,0.08733371891266628,0.30451127819548873,0.13214006765680555,0.6896118973630825
bert-base-nli-mean-tokens,20260210_222921_a7ec1ab8,run_20260210_222921_a7ec1ab8,45,2,0.1,75,5,3458,13,0.13353162895489118,625,614,0.1807403123192597,0.1775592828224407,0.3582995951417004,0.19112084294181808,0.657986223255554
bge-large-en-v1.5,20260210_222143_cb811e23,run_20260210_222143_cb811e23,15,2,0.1,75,5,3458,15,0.1290101761128579,716,419,0.2070561017929439,0.12116830537883169,0.3282244071717756,0.13743678333114134,0.7091477384893158
bge-large-en-v1.5,20260210_222013_8bc9273d,run_20260210_222013_8bc9273d,30,10,0.1,50,5,3458,20,0.11300847875315997,615,302,0.17784846732215154,0.08733371891266628,0.2651821862348178,0.12841798950575037,0.6249849015218503
qwen3-embedding-0.6b,20260210_221746_ad4ca679,run_20260210_221746_ad4ca679,15,2,0.1,75,5,3458,6,0.08387403518579314,201,2702,0.058126084441873914,0.7813765182186235,0.8395026026604974,0.18005360223268269,0.89622702644059
