key,stance_1,stance_2,llm
242bdf6bc5bb0b94,I believe too much meat can harm health,I eat meat at least once daily,conflict
c0ac91fae56c6ec3,I choose chicken and turkey for health,I think chicken and turkey are healthier,support
c0ac91fae56c6ec3,I choose chicken and turkey for health,I reduce beef or pork when dieting,support
c0ac91fae56c6ec3,I choose chicken and turkey for health,I eat lean beef to reduce fat,support
c0ac91fae56c6ec3,I eat lean beef to reduce fat,I reduce beef or pork when dieting,support
c0ac91fae56c6ec3,I eat lean beef to reduce fat,I think chicken and turkey are healthier,support
c0ac91fae56c6ec3,I eat meat every day,I like the taste of meat,support
c0ac91fae56c6ec3,I like the taste of meat,I prefer beef for hamburgers and sloppy joes,support
c0ac91fae56c6ec3,I like the taste of meat,Social contacts like the taste of meat,support
c0ac91fae56c6ec3,I eat meat every day,Those around me eat meat regularly,support
c0ac91fae56c6ec3,I prefer beef for hamburgers and sloppy joes,I think chicken and turkey are healthier,conflict
c0ac91fae56c6ec3,I choose chicken and turkey for health,I prefer beef for hamburgers and sloppy joes,conflict
c0ac91fae56c6ec3,I choose chicken and turkey for health,I like the taste of meat,conflict
c0ac91fae56c6ec3,I prefer beef for hamburgers and sloppy joes,I reduce beef or pork when dieting,conflict
c0ac91fae56c6ec3,I eat lean beef to reduce fat,I prefer beef for hamburgers and sloppy joes,conflict
c0ac91fae56c6ec3,I reduce beef or pork when dieting,I think chicken and turkey are healthier,support
8f96fa223f234180,I am concerned about my health,I have tried to cut back on processed meat,support
8f96fa223f234180,I am concerned about my health,I have tried to cut back on red meat,support
8f96fa223f234180,I am concerned about my health,I want to improve cholesterol and blood work,support
8f96fa223f234180,I eat more chicken and fish now,I have tried to cut back on red meat,support
8f96fa223f234180,"I am fond of chicken, turkey, and fish",I eat more chicken and fish now,support
8f96fa223f234180,I do not control grocery shopping or meal planning,I have tried to cut back on red meat,conflict
8f96fa223f234180,I do not control grocery shopping or meal planning,I have tried to cut back on processed meat,conflict
8f96fa223f234180,I do not control grocery shopping or meal planning,I eat meat whenever I choose to,support
8f96fa223f234180,I eat meat whenever I choose to,I eat more chicken and fish now,support
8f96fa223f234180,I eat meat whenever I choose to,I have tried to cut back on processed meat,conflict
8f96fa223f234180,I eat meat whenever I choose to,I have tried to cut back on red meat,conflict
8f96fa223f234180,I have tried to cut back on processed meat,I have tried to cut back on red meat,support
8f96fa223f234180,I have tried to cut back on red meat,I want to improve cholesterol and blood work,support
8f96fa223f234180,I have tried to cut back on processed meat,I want to improve cholesterol and blood work,support
24e9f4a8dba444ba,Eating meat feels natural to me,Eating meat is a habit for me,support
24e9f4a8dba444ba,Eating meat is a habit for me,I have always eaten and cooked with meat,support
24e9f4a8dba444ba,I have always eaten and cooked with meat,My parents cooked with meat,support
24e9f4a8dba444ba,I eat a lot of chicken,I eat meat 1-2 times a day,support
24e9f4a8dba444ba,Eating meat is a habit for me,Most friends and family eat meat,support
24e9f4a8dba444ba,Most friends and family eat meat,My parents cooked with meat,support
24e9f4a8dba444ba,Eating meat is a habit for me,I eat meat 1-2 times a day,support
24e9f4a8dba444ba,Eating meat feels natural to me,I have always eaten and cooked with meat,support
24e9f4a8dba444ba,I enjoy the challenge of vegetarian cooking,I get bored with the same meals,support
24e9f4a8dba444ba,I get bored with the same meals,I have always eaten and cooked with meat,conflict
24e9f4a8dba444ba,I enjoy the challenge of vegetarian cooking,I have always eaten and cooked with meat,conflict
24e9f4a8dba444ba,I have always eaten and cooked with meat,I reduce meat when it is expensive,conflict
24e9f4a8dba444ba,I enjoy the challenge of vegetarian cooking,I reduce meat when it is expensive,support
24e9f4a8dba444ba,Eating meat feels natural to me,I get bored with the same meals,conflict
5d5930b9486b3aef,Chicken and pork are less expensive than beef,I buy more meat when it is on sale,support
5d5930b9486b3aef,Chicken and pork are less expensive than beef,I eat mostly chicken,support
5d5930b9486b3aef,Chicken and pork are less expensive than beef,I prefer chicken and fish,support
5d5930b9486b3aef,I eat mostly chicken,I find chicken easier to digest than beef,support
5d5930b9486b3aef,I eat mostly chicken,I find steak hard to chew,support
5d5930b9486b3aef,I eat mostly chicken,I prefer chicken and fish,support
5d5930b9486b3aef,I buy more meat when it is on sale,I eat mostly chicken,support
5d5930b9486b3aef,I find chicken easier to digest than beef,I prefer chicken and fish,support
5d5930b9486b3aef,I find chicken easier to digest than beef,I find steak hard to chew,support
5d5930b9486b3aef,I buy more meat when it is on sale,I find chicken easier to digest than beef,support
5d5930b9486b3aef,I find steak hard to chew,I prefer chicken and fish,support
5d5930b9486b3aef,I buy more meat when it is on sale,I prefer chicken and fish,support
c64e457f6d99d425,I eat meat when I feel like it,I sometimes choose to cut back on meat,support
c64e457f6d99d425,I eat meat when I feel like it,Meat consumption is a personal preference,support
c64e457f6d99d425,I sometimes choose to cut back on meat,Meat consumption is a personal preference,support
0ec83457dd9ad9bb,I crave meat,I enjoy eating meat regularly,support
0ec83457dd9ad9bb,I enjoy eating meat regularly,Meat tastes delicious to me,support
0ec83457dd9ad9bb,I crave meat,Meat tastes delicious to me,support
0ec83457dd9ad9bb,I enjoy eating meat regularly,Most people I know eat meat regularly,support
cd254873c8c70b1f,I crave meat more during holidays,I eat more meat at gatherings,support
cd254873c8c70b1f,I eat more meat at gatherings,I enjoy eating meat,support
cd254873c8c70b1f,I eat more meat at gatherings,My family are big meat eaters,support
cd254873c8c70b1f,I eat more meat at gatherings,My friends enjoy eating meat,support
cd254873c8c70b1f,I enjoy eating meat,My friends enjoy eating meat,support
cd254873c8c70b1f,I enjoy eating meat,My family are big meat eaters,support
cd254873c8c70b1f,I enjoy eating meat,I want to be healthier,conflict
cd254873c8c70b1f,I want to be healthier,My brother reduces meat for health reasons,support
cd254873c8c70b1f,I want to be healthier,My family are big meat eaters,conflict
cd254873c8c70b1f,I want to be healthier,My friends enjoy eating meat,conflict
cd254873c8c70b1f,My brother reduces meat for health reasons,My family are big meat eaters,conflict
cd254873c8c70b1f,My family are big meat eaters,My friends enjoy eating meat,support
673d057ee91b91d4,Family habits from childhood influence my eating,I eat predominantly meat with each meal,support
673d057ee91b91d4,Family habits from childhood influence my eating,My family serves meat at meals,support
673d057ee91b91d4,I believe meat is essential for health,I eat predominantly meat with each meal,support
673d057ee91b91d4,I believe meat is essential for health,I feel better when I eat more meat,support
673d057ee91b91d4,I believe meat is essential for health,I follow a low-carb diet,support
673d057ee91b91d4,I eat predominantly meat with each meal,I feel better when I eat more meat,support
673d057ee91b91d4,I eat predominantly meat with each meal,I follow a low-carb diet,support
673d057ee91b91d4,I feel better when I eat more meat,I follow a low-carb diet,support
673d057ee91b91d4,I eat predominantly meat with each meal,My family serves meat at meals,support
673d057ee91b91d4,I follow a low-carb diet,My family serves meat at meals,support
7cf1b08e24b10350,Chicken is cheap and convenient,Family eats more chicken for cost reasons,support
7cf1b08e24b10350,Chicken is cheap and convenient,I eat a lot of chicken,support
7cf1b08e24b10350,Chicken is cheap and convenient,Meat is expensive for me,support
7cf1b08e24b10350,Family eats more chicken for cost reasons,I eat a lot of chicken,support
7cf1b08e24b10350,Family eats more chicken for cost reasons,Meat is expensive for me,support
7cf1b08e24b10350,I enjoy cooking meat at home,I love eating meat,support
7cf1b08e24b10350,I eat a lot of chicken,Meat is expensive for me,support
7cf1b08e24b10350,I enjoy cooking meat at home,I prefer real meat over substitutes,support
7cf1b08e24b10350,I avoid fast food bacon,I got food poisoning from fast food bacon,support
7cf1b08e24b10350,I love eating meat,I prefer real meat over substitutes,support
7cf1b08e24b10350,I avoid fast food bacon,I enjoy cooking meat at home,support
7cf1b08e24b10350,I enjoy cooking meat at home,I got food poisoning from fast food bacon,support
bd14752573c3fbed,Eating meat is mostly out of habit,I eat meat at most meals,support
bd14752573c3fbed,Eating meat is mostly out of habit,My family eats similar meals as me,support
bd14752573c3fbed,Eating meat is mostly out of habit,My family likes the taste of meat,support
bd14752573c3fbed,Eating meat is mostly out of habit,I like the taste of meat,support
bd14752573c3fbed,I eat meat at most meals,I like the taste of meat,support
bd14752573c3fbed,I eat meat at most meals,My family eats similar meals as me,support
bd14752573c3fbed,I like the taste of meat,My family likes the taste of meat,support
bd14752573c3fbed,I eat meat at most meals,My family likes the taste of meat,support
bd14752573c3fbed,My family eats similar meals as me,My family likes the taste of meat,support
bd14752573c3fbed,I like the taste of meat,I realize meat is not always healthy,conflict
bd14752573c3fbed,I like the taste of meat,I realize meat can impact the environment,conflict
bd14752573c3fbed,I realize meat can impact the environment,I realize meat is not always healthy,support
2a27143cb3ff288a,I believe grilled chicken is healthier,I consciously eat more chicken,support
2a27143cb3ff288a,I consciously eat more chicken,I eat less meat than I used to,support
2a27143cb3ff288a,I consciously eat more chicken,My children eat more chicken and fish,support
2a27143cb3ff288a,I consciously eat more chicken,I plan meals with my wife,support
2a27143cb3ff288a,I consciously eat more chicken,I eat meat if I feel like it,support
2a27143cb3ff288a,I believe grilled chicken is healthier,I eat less meat than I used to,support
2a27143cb3ff288a,I eat less meat than I used to,My children eat more chicken and fish,support
2a27143cb3ff288a,I eat meat if I feel like it,I plan meals with my wife,support
2a27143cb3ff288a,I eat less meat than I used to,I eat meat if I feel like it,support
2a27143cb3ff288a,I eat less meat than I used to,I plan meals with my wife,support
2a27143cb3ff288a,I plan meals with my wife,My children eat more chicken and fish,support
2a27143cb3ff288a,I believe grilled chicken is healthier,I eat meat if I feel like it,conflict
2a27143cb3ff288a,I believe grilled chicken is healthier,My children eat more chicken and fish,support
99229f1b414f5809,I am picky about eating meat,I am sensitive to meat texture,support
99229f1b414f5809,I am picky about eating meat,My mood affects my meat eating,support
99229f1b414f5809,I am sensitive to meat texture,My mood affects my meat eating,support
99229f1b414f5809,I believe meat provides necessary protein,I prepare meat for my husband and son,support
99229f1b414f5809,I believe meat provides necessary protein,"I want a balanced, healthy diet",support
99229f1b414f5809,I eat more lean meats to be healthy,"I want a balanced, healthy diet",support
99229f1b414f5809,I eat more lean meats to be healthy,My family likes to eat meat,support
99229f1b414f5809,I prepare meat for my husband and son,My family likes to eat meat,support
99229f1b414f5809,"I want a balanced, healthy diet",My family likes to eat meat,support
41f4d247212a91b7,I always have a freezer full of beef,I eat beef four or five times weekly,support
41f4d247212a91b7,I am not interested in eating less beef,Negative information on beef is viewed as political,support
41f4d247212a91b7,I believe beef is high in protein,I believe beef is nutritious,support
41f4d247212a91b7,I believe beef is high in protein,I eat beef four or five times weekly,support
41f4d247212a91b7,I believe beef is nutritious,I eat beef four or five times weekly,support
41f4d247212a91b7,I eat beef four or five times weekly,I value convenience of having home-raised beef,support
41f4d247212a91b7,I always have a freezer full of beef,I value convenience of having home-raised beef,support
41f4d247212a91b7,I am not interested in eating less beef,I eat beef four or five times weekly,support
41f4d247212a91b7,I eat chicken and fish with my sister,My sister prefers chicken and fish for health,support
41f4d247212a91b7,I believe beef is nutritious,My sister prefers chicken and fish for health,conflict
41f4d247212a91b7,I eat beef four or five times weekly,I eat chicken and fish with my sister,conflict
41f4d247212a91b7,I am not interested in eating less beef,My sister prefers chicken and fish for health,conflict
41f4d247212a91b7,I am not interested in eating less beef,I value convenience of having home-raised beef,support
5abe20da31c1510b,Cooking less due to physical disability,I avoid eating the same meat daily,conflict
5abe20da31c1510b,Cooking less due to physical disability,I vary meat based on what is on sale,support
5abe20da31c1510b,Cooking less due to physical disability,My friends value routine in eating habits,support
5abe20da31c1510b,Cooking less due to physical disability,Financial concerns influence my friends' eating,support
5abe20da31c1510b,Financial concerns influence my friends' eating,I vary meat based on what is on sale,support
5abe20da31c1510b,Financial concerns influence my friends' eating,I avoid eating the same meat daily,support
5abe20da31c1510b,I am concerned about my health,I avoid eating the same meat daily,support
5abe20da31c1510b,I am concerned about my health,I eat meat for vitamins like B12,support
5abe20da31c1510b,I am concerned about my health,I have food allergies,support
5abe20da31c1510b,I am concerned about my health,I vary meat based on what is on sale,support
5abe20da31c1510b,I am concerned about my health,My friends value routine in eating habits,conflict
5abe20da31c1510b,I avoid eating the same meat daily,I vary meat based on what is on sale,support
5abe20da31c1510b,I avoid eating the same meat daily,My friends value routine in eating habits,conflict
5abe20da31c1510b,I avoid eating the same meat daily,I have food allergies,support
5abe20da31c1510b,I am concerned about my health,I eat meat for vitamins like B12,support
5abe20da31c1510b,Financial concerns influence my friends' eating,I vary meat based on what is on sale,support
5abe20da31c1510b,I vary meat based on what is on sale,My friends value routine in eating habits,conflict
e0b75643b94ce352,I add more vegetables to meals,I sometimes eat smaller portions of meat,support
e0b75643b94ce352,I am trying to lose weight,I cook meat by baking or grilling,support
e0b75643b94ce352,I am trying to lose weight,I sometimes eat smaller portions of meat,support
e0b75643b94ce352,I am trying to lose weight,I want meat with high protein,support
e0b75643b94ce352,I add more vegetables to meals,I am trying to lose weight,support
e0b75643b94ce352,I am trying to lose weight,It's hard to know what is healthiest,support
e0b75643b94ce352,I cook meat by baking or grilling,I want meat with high protein,support
e0b75643b94ce352,I eat meat at every meal,I feel unwell without eating meat,support
e0b75643b94ce352,I eat meat at every meal,My social gatherings always include meat,support
e0b75643b94ce352,I eat meat at every meal,I sometimes eat smaller portions of meat,conflict
e0b75643b94ce352,I eat meat at every meal,Some friends are vegetarians,conflict
e0b75643b94ce352,I eat meat at every meal,I want meat with high protein,support
e0b75643b94ce352,I feel unwell without eating meat,I sometimes eat smaller portions of meat,conflict
e0b75643b94ce352,I sometimes eat smaller portions of meat,It's hard to know what is healthiest,support
e0b75643b94ce352,I feel unwell without eating meat,I want meat with high protein,support
e0b75643b94ce352,I want meat with high protein,It's hard to know what is healthiest,support
e0b75643b94ce352,My social gatherings always include meat,Some friends are vegetarians,conflict
98326b74d660f5fd,I care about animals,I struggle morally with eating animals,support
98326b74d660f5fd,I care about animals,I eat meat when I crave it,conflict
98326b74d660f5fd,I care about animals,Most people around me are omnivores,conflict
98326b74d660f5fd,I eat meat when I crave it,I struggle morally with eating animals,conflict
98326b74d660f5fd,I eat meat when I crave it,Most people around me are omnivores,support
3e8a40a8a3361337,I am horrified by animal agriculture,I am vegan,support
3e8a40a8a3361337,I am vegan,I do vegan activism,support
3e8a40a8a3361337,I am vegan,Living among meat-eating loved ones feels isolating,support
3e8a40a8a3361337,I do vegan activism,Living among meat-eating loved ones feels isolating,support
5fee709bfe55faf2,Cooking with meat is complicated,I generally don't eat meat,support
5fee709bfe55faf2,Cooking with meat is complicated,Storage of meat is complicated,support
5fee709bfe55faf2,Family enjoys eating meat,I enjoy meat at family gatherings,support
5fee709bfe55faf2,Family enjoys eating meat,Meat is part of family traditions,support
5fee709bfe55faf2,I enjoy meat at family gatherings,I generally don't eat meat,conflict
5fee709bfe55faf2,I generally don't eat meat,I have ethical concerns about meat production,support
5fee709bfe55faf2,I generally don't eat meat,Meat prices have went up,support
5fee709bfe55faf2,I generally don't eat meat,Storage of meat is complicated,support
5fee709bfe55faf2,Cooking with meat is complicated,I generally don't eat meat,support
5fee709bfe55faf2,I am skeptical about animal treatment,I have ethical concerns about meat production,support
5fee709bfe55faf2,I enjoy meat at family gatherings,I have ethical concerns about meat production,conflict
5fee709bfe55faf2,I have ethical concerns about meat production,Meat is part of family traditions,conflict
5fee709bfe55faf2,I am skeptical about animal treatment,I generally don't eat meat,support
5fee709bfe55faf2,I enjoy meat at family gatherings,Meat is part of family traditions,support
5fee709bfe55faf2,Cooking with meat is complicated,Meat prices have went up,support
5fee709bfe55faf2,Meat prices have went up,Storage of meat is complicated,support
d91dfb759b5c056c,Eating meat feels normal and comfortable,I enjoy the taste of meat,support
d91dfb759b5c056c,Eating meat feels normal and comfortable,Meat fits my daily routine,support
d91dfb759b5c056c,Eating meat feels normal and comfortable,My social group eats meat regularly,support
d91dfb759b5c056c,Eating meat feels normal and comfortable,Meat feels healthy and satisfying,support
d91dfb759b5c056c,Eating meat feels normal and comfortable,I am open to trying new foods,conflict
d91dfb759b5c056c,I eat beef four times a week,Meat fits my daily routine,support
d91dfb759b5c056c,I eat chicken three times a week,Meat fits my daily routine,support
d91dfb759b5c056c,I enjoy the taste of meat,Meat feels healthy and satisfying,support
d91dfb759b5c056c,I enjoy the taste of meat,Meat fits my daily routine,support
d91dfb759b5c056c,I enjoy the taste of meat,My social group eats meat regularly,support
d91dfb759b5c056c,I am open to trying new foods,I enjoy the taste of meat,conflict
d91dfb759b5c056c,I eat beef four times a week,I enjoy the taste of meat,support
d91dfb759b5c056c,I eat chicken three times a week,I enjoy the taste of meat,support
d91dfb759b5c056c,I eat beef four times a week,I eat chicken three times a week,support
d91dfb759b5c056c,I eat beef four times a week,My social group eats meat regularly,support
d91dfb759b5c056c,I eat chicken three times a week,My social group eats meat regularly,support
d91dfb759b5c056c,Meat fits my daily routine,My social group eats meat regularly,support
d91dfb759b5c056c,Meat feels healthy and satisfying,Meat fits my daily routine,support
25c3702e02bdfd45,I am concerned about my health,I want to lose or maintain weight,support
25c3702e02bdfd45,I am concerned about my health,I have tried plant-based meat alternatives,support
25c3702e02bdfd45,I am concerned about my health,I want to have energy for work,support
25c3702e02bdfd45,I am concerned about my health,I want to get enough protein,support
25c3702e02bdfd45,I am concerned about my health,My family is motivated by health and age,support
25c3702e02bdfd45,I am concerned about my health,My family now eats more plant-based foods,support
25c3702e02bdfd45,I am concerned about my health,Traditional family values include eating grilled meat,conflict
25c3702e02bdfd45,I am concerned about my health,I like eating different kinds of meat,conflict
25c3702e02bdfd45,I am concerned about my health,I enjoy cooking and buying meat,conflict
25c3702e02bdfd45,I have tried plant-based meat alternatives,I want to lose or maintain weight,support
25c3702e02bdfd45,I have tried plant-based meat alternatives,I want to get enough protein,support
25c3702e02bdfd45,I have tried plant-based meat alternatives,My family now eats more plant-based foods,support
25c3702e02bdfd45,I have tried plant-based meat alternatives,My family is motivated by health and age,support
25c3702e02bdfd45,I have tried plant-based meat alternatives,Traditional family values include eating grilled meat,conflict
25c3702e02bdfd45,I have tried plant-based meat alternatives,I like eating different kinds of meat,conflict
25c3702e02bdfd45,I enjoy cooking and buying meat,I have tried plant-based meat alternatives,conflict
25c3702e02bdfd45,I have tried plant-based meat alternatives,I want to have energy for work,support
25c3702e02bdfd45,I enjoy cooking and buying meat,I like eating different kinds of meat,support
25c3702e02bdfd45,I like eating different kinds of meat,Traditional family values include eating grilled meat,support
25c3702e02bdfd45,I like eating different kinds of meat,My family now eats more plant-based foods,conflict
25c3702e02bdfd45,I like eating different kinds of meat,My family is motivated by health and age,conflict
25c3702e02bdfd45,I like eating different kinds of meat,I want to lose or maintain weight,conflict
25c3702e02bdfd45,I like eating different kinds of meat,I want to get enough protein,support
25c3702e02bdfd45,I want to get enough protein,I want to have energy for work,support
25c3702e02bdfd45,I want to have energy for work,I want to lose or maintain weight,support
25c3702e02bdfd45,I want to lose or maintain weight,My family is motivated by health and age,support
25c3702e02bdfd45,I want to lose or maintain weight,My family now eats more plant-based foods,support
25c3702e02bdfd45,I want to lose or maintain weight,Traditional family values include eating grilled meat,conflict
25c3702e02bdfd45,I want to get enough protein,My family is motivated by health and age,support
25c3702e02bdfd45,I want to get enough protein,My family now eats more plant-based foods,support
25c3702e02bdfd45,My family is motivated by health and age,My family now eats more plant-based foods,support
25c3702e02bdfd45,My family is motivated by health and age,Traditional family values include eating grilled meat,conflict
25c3702e02bdfd45,My family now eats more plant-based foods,Traditional family values include eating grilled meat,conflict
b8eba67020022d75,A doctor advised me about cholesterol,I cut out red meat for cholesterol,support
b8eba67020022d75,I buy tofu as meat substitute,I want solid protein substitutes for meat,support
b8eba67020022d75,I buy tofu as meat substitute,I think tofu is cheaper than meat,support
b8eba67020022d75,I buy tofu as meat substitute,I want to reduce dietary fat,support
b8eba67020022d75,I have age-related health concerns,I want to reduce dietary fat,support
b8eba67020022d75,I have age-related health concerns,I want solid protein substitutes for meat,support
b8eba67020022d75,I buy tofu as meat substitute,I have age-related health concerns,support
b8eba67020022d75,I want solid protein substitutes for meat,I want to reduce dietary fat,support
b8eba67020022d75,I like the taste of meat,I want to reduce dietary fat,conflict
b8eba67020022d75,I buy tofu as meat substitute,I like the taste of meat,conflict
b8eba67020022d75,I eat a lot of meat,I want to reduce dietary fat,conflict
b8eba67020022d75,I eat a lot of meat,I like the taste of meat,support
b8eba67020022d75,I cut out red meat for cholesterol,I want to reduce dietary fat,support
b8eba67020022d75,I cut out red meat for cholesterol,I have age-related health concerns,support
b8eba67020022d75,I am influenced by Nikola Tesla's diet,I have age-related health concerns,support
b8eba67020022d75,I am influenced by Nikola Tesla's diet,I want solid protein substitutes for meat,support
b8eba67020022d75,I am influenced by Nikola Tesla's diet,I want to reduce dietary fat,support
b8eba67020022d75,I am influenced by Nikola Tesla's diet,I buy tofu as meat substitute,support
b8eba67020022d75,I think tofu is cheaper than meat,I want solid protein substitutes for meat,support
b8eba67020022d75,I think tofu is cheaper than meat,I want to reduce dietary fat,support
53cf43f573cc8f32,Environmental concerns about eating meat,I have thought about reducing meat,support
53cf43f573cc8f32,Environmental concerns about eating meat,I like to eat meat,conflict
53cf43f573cc8f32,Environmental concerns about eating meat,Most meals contain meat,conflict
53cf43f573cc8f32,Environmental concerns about eating meat,Meat provides protein and energy,conflict
53cf43f573cc8f32,Environmental concerns about eating meat,I want meat growing to be sustainable,support
53cf43f573cc8f32,Friends and family eat meat,I grew up eating meat,support
53cf43f573cc8f32,Friends and family eat meat,Most meals contain meat,support
53cf43f573cc8f32,I grew up eating meat,Most meals contain meat,support
53cf43f573cc8f32,I like to eat meat,Meat provides protein and energy,support
53cf43f573cc8f32,I like to eat meat,Most meals contain meat,support
53cf43f573cc8f32,I grew up eating meat,I like to eat meat,support
53cf43f573cc8f32,Friends and family eat meat,Social circle likes the taste of meat,support
53cf43f573cc8f32,Environmental concerns about eating meat,I want meat growing to be sustainable,support
53cf43f573cc8f32,I have thought about reducing meat,I like to eat meat,conflict
53cf43f573cc8f32,I have thought about reducing meat,Meat provides protein and energy,conflict
53cf43f573cc8f32,I want meat growing to be sustainable,Most meals contain meat,conflict
e0b47f3f6a91ab2e,Doctor recommended reducing red meat,I limit how much meat I eat,support
e0b47f3f6a91ab2e,I crave steak and chicken,I limit how much meat I eat,conflict
e0b47f3f6a91ab2e,I limit how much meat I eat,I still consume red meat,support
e0b47f3f6a91ab2e,I limit how much meat I eat,I want to improve my health,support
e0b47f3f6a91ab2e,I limit how much meat I eat,I want to reduce environmental impact,support
e0b47f3f6a91ab2e,I believe protein can come from alternatives,I limit how much meat I eat,support
e0b47f3f6a91ab2e,I believe protein can come from alternatives,I crave steak and chicken,conflict
e0b47f3f6a91ab2e,Doctor recommended reducing red meat,I want to improve my health,support
e0b47f3f6a91ab2e,I want to reduce environmental impact,Sister-in-law wants to help the environment,support
e0b47f3f6a91ab2e,I limit how much meat I eat,My family supports eating less meat,support
e0b47f3f6a91ab2e,My family supports eating less meat,Wife reduces meat in solidarity with me,support
e0b47f3f6a91ab2e,I limit how much meat I eat,Wife reduces meat in solidarity with me,support
e0b47f3f6a91ab2e,Sister-in-law wants to help the environment,Wife reduces meat in solidarity with me,support
e0b47f3f6a91ab2e,I crave steak and chicken,I still consume red meat,support
e04998f79adab146,Chicken is cheaper than other meats,I eat chicken regularly,support
e04998f79adab146,I eat beef sometimes,Meat is easy to get at the store,support
e04998f79adab146,I eat chicken regularly,Meat is easy to get at the store,support
e04998f79adab146,I eat fish sometimes,Meat is easy to get at the store,support
e04998f79adab146,I eat chicken regularly,I try to get enough protein,support
e04998f79adab146,I eat beef sometimes,I try to get enough protein,support
e04998f79adab146,I eat fish sometimes,I try to get enough protein,support
e04998f79adab146,Chicken is cheaper than other meats,Meat is easy to get at the store,support
e04998f79adab146,Chicken is cheaper than other meats,Meat is easy to get at the store,support
e04998f79adab146,I eat chicken regularly,My friends eat similar meats,support
e04998f79adab146,I eat beef sometimes,My friends eat similar meats,support
e04998f79adab146,I eat fish sometimes,My friends eat similar meats,support
fd51071022fe231c,I am more mindful about portion sizes,I try to balance meat with vegetables,support
fd51071022fe231c,I eat meat for convenience,I eat meat for protein,support
fd51071022fe231c,I eat meat for protein,I eat meat regularly,support
fd51071022fe231c,I eat meat for convenience,I eat meat regularly,support
fd51071022fe231c,I eat meat for protein,I try to balance meat with vegetables,support
fd51071022fe231c,I include vegetables for health,I try to balance meat with vegetables,support
fd51071022fe231c,I include vegetables for health,I want variety in my diet,support
fd51071022fe231c,I try to balance meat with vegetables,I want variety in my diet,support
fd51071022fe231c,I eat meat for protein,I include vegetables for health,support
fd51071022fe231c,I eat meat for convenience,I try to balance meat with vegetables,support
fd51071022fe231c,I am more mindful about portion sizes,I eat meat regularly,conflict
fd51071022fe231c,I am more mindful about portion sizes,I include vegetables for health,support
fd51071022fe231c,I am more mindful about portion sizes,I want variety in my diet,support
fd51071022fe231c,I eat meat regularly,I try to balance meat with vegetables,support
fd51071022fe231c,Some social contacts eat meat daily,Some social contacts focus on health,conflict
5152ad6df864fdab,I am on a low-carb diet,I eat multiple meat products daily,support
5152ad6df864fdab,I am on a low-carb diet,I want to have healthy muscle mass,support
5152ad6df864fdab,I eat multiple meat products daily,I want to feel full and fueled,support
5152ad6df864fdab,I eat multiple meat products daily,I want to have healthy muscle mass,support
5152ad6df864fdab,I have concerns about processed meats,I have considered reducing pork consumption,support
5152ad6df864fdab,I eat multiple meat products daily,I have concerns about processed meats,conflict
5152ad6df864fdab,I want to feel full and fueled,Meat provides me with protein,support
