key,stance_1,stance_2,pairwise
ca1edc15c837e28e,I eat salmon occasionally,I want to avoid hunger,support
ca1edc15c837e28e,I am concerned about digestion difficulties,I have access to meat alternatives,support
ca1edc15c837e28e,I have access to meat alternatives,My family stopped eating meat,support
c7383a60cb3d5477,I choose white meat over red meat sometimes,I eat meat regularly,
c7383a60cb3d5477,I choose white meat over red meat sometimes,I eat meat regularly,support
c7383a60cb3d5477,I eat meat regularly,My friends eat meat for convenience,support
c7383a60cb3d5477,I choose white meat over red meat sometimes,I was raised vegetarian,conflict
c7383a60cb3d5477,I was raised vegetarian,My friends eat meat for convenience,no connection
c7383a60cb3d5477,I choose white meat over red meat sometimes,White meat is high in protein,support
c7383a60cb3d5477,I eat meat regularly,White meat is high in protein,support
c7383a60cb3d5477,I choose white meat over red meat sometimes,My friends eat meat for convenience,no connection
c7383a60cb3d5477,My friends eat meat for convenience,White meat is high in protein,no connection
761f1ce0efbbce9e,Doctor recommended eating meat during pregnancy,I eat poultry or fish two to three times weekly,support
761f1ce0efbbce9e,Doctor recommended eating meat during pregnancy,I eat fish to feel physically and mentally better,support
761f1ce0efbbce9e,I eat fish to feel physically and mentally better,I eat red meat up to twice a week,no connection
761f1ce0efbbce9e,Doctor recommended eating meat during pregnancy,I eat red meat up to twice a week,support
761f1ce0efbbce9e,Doctor recommended eating meat during pregnancy,I was vegetarian for 19 years,support
761f1ce0efbbce9e,I eat poultry or fish two to three times weekly,I was vegetarian for 19 years,support
761f1ce0efbbce9e,I eat red meat up to twice a week,I was vegetarian for 19 years,support
761f1ce0efbbce9e,I often do not eat any meat,I was vegetarian for 19 years,support
6db699e0a33315d4,I have limited money for other foods,Most dinners I cook include meat,conflict
6db699e0a33315d4,I am concerned about food processing and pollution,Meat makes meals easier to eat and enjoyable,conflict
6db699e0a33315d4,Household shares same meat-eating habits,Most dinners I cook include meat,no connection
6db699e0a33315d4,Household shares same meat-eating habits,I have limited money for other foods,conflict
6db699e0a33315d4,I have limited money for other foods,Meat goes well with foods like pasta or rice,no connection
6db699e0a33315d4,I am concerned about food processing and pollution,I considered eating less meat after documentaries,support
6db699e0a33315d4,I am concerned about food processing and pollution,Most dinners I cook include meat,conflict
6db699e0a33315d4,I considered eating less meat after documentaries,Meat makes meals tastier,no connection
6db699e0a33315d4,Household shares same meat-eating habits,Meat makes meals easier to eat and enjoyable,support
05dc9cc1ea5a74bc,I do not trust negative media about meat,I enjoy shared meals with others,conflict
05dc9cc1ea5a74bc,I enjoy eating steak,Meat is usually included in dinners,support
05dc9cc1ea5a74bc,Community often eats meat together,Friends or family sometimes restrict meat for health,support
05dc9cc1ea5a74bc,I value variety in types of meat,Meat is usually included in dinners,support
05dc9cc1ea5a74bc,Friends or family sometimes restrict meat for health,I do not trust negative media about meat,no connection
05dc9cc1ea5a74bc,I enjoy eating steak,I value variety in types of meat,support
05dc9cc1ea5a74bc,Community often eats meat together,I do not trust negative media about meat,no connection
05dc9cc1ea5a74bc,I do not trust negative media about meat,I want to enjoy meals regardless of health advice,conflict
05dc9cc1ea5a74bc,Meat is usually included in dinners,Some people avoid meat for dietary reasons,conflict
7aa3b079e2dda8a1,Family traditions involve eating meat,Social gatherings often include meat,support
7aa3b079e2dda8a1,Friends reduce meat for ethical reasons,I eat meat occasionally,support
7aa3b079e2dda8a1,I balance meat with plant-based meals,I eat meat occasionally,support
7aa3b079e2dda8a1,Family traditions involve eating meat,I enjoy the taste of meat,support
7aa3b079e2dda8a1,Friends reduce meat for environmental reasons,I am concerned about animal welfare,support
7aa3b079e2dda8a1,I am concerned about environmental impacts,I enjoy the taste of meat,support
7aa3b079e2dda8a1,I eat meat occasionally,I enjoy the taste of meat,support
7aa3b079e2dda8a1,I am concerned about animal welfare,I enjoy the taste of meat,support
7aa3b079e2dda8a1,Friends reduce meat for ethical reasons,I am concerned about animal welfare,support
72148bfd1d0973af,I eat protein every day,I use dressings to enjoy white meat,no connection
72148bfd1d0973af,I eat protein every day,I enjoy eating beef and chicken,support
72148bfd1d0973af,I balance meals with vegetables and salad,I look for reduced price fresh meat,support
72148bfd1d0973af,I eat protein every day,I look for reduced price fresh meat,support
72148bfd1d0973af,I balance meals with vegetables and salad,I eat protein every day,support
72148bfd1d0973af,I balance meals with vegetables and salad,I enjoy eating beef and chicken,support
72148bfd1d0973af,I eat protein every day,I stock up on meat when discounted,support
72148bfd1d0973af,I look for reduced price fresh meat,I stock up on meat when discounted,support
72148bfd1d0973af,I balance meals with vegetables and salad,I use dressings to enjoy white meat,support
bd14752573c3fbed,I am concerned about the environment,I want to lose weight,no connection
bd14752573c3fbed,Changing family habits would be difficult,Meat is expensive,support
bd14752573c3fbed,I am concerned about animal welfare,My family likes to eat meat,conflict
bd14752573c3fbed,I am concerned about animal welfare,I am concerned about the environment,support
bd14752573c3fbed,I love the taste of meat,My family likes to eat meat,support
bd14752573c3fbed,I am concerned about the environment,My family likes to eat meat,conflict
bd14752573c3fbed,I want to lose weight,Non-meat alternatives are often expensive,conflict
bd14752573c3fbed,Changing family habits would be difficult,I am concerned about animal welfare,conflict
b8a1d8c350a12933,I eat meat three days a week,My sons are concerned about environment,support
b8a1d8c350a12933,I am concerned about animal welfare,I crave the taste of meat,conflict
b8a1d8c350a12933,I crave the taste of meat,I eat meat three days a week,support
b8a1d8c350a12933,I seek meat flavoring without chemicals,My sons are concerned about environment,support
b8a1d8c350a12933,I eat meat three days a week,I feel guilty eating animals,conflict
b8a1d8c350a12933,I am concerned about animal welfare,I eat meat three days a week,conflict
b8a1d8c350a12933,I am concerned about animal welfare,I feel guilty eating animals,support
5ae9064e5cbccf07,I eat fish and seafood twice a week,Pork does not agree with my stomach,no connection
5ae9064e5cbccf07,I eat chicken two times a week,I want to get enough protein,support
5ae9064e5cbccf07,I want to get enough protein,Pork does not agree with my stomach,no connection
5ae9064e5cbccf07,I eat meat four to five times weekly,I want to get enough protein,support
5ae9064e5cbccf07,I eat chicken two times a week,I eat fish and seafood twice a week,support
5ae9064e5cbccf07,I eat fish and seafood twice a week,I eat meat four to five times weekly,support
5ae9064e5cbccf07,I eat fish and seafood twice a week,I want to get enough protein,support
5ae9064e5cbccf07,I eat chicken two times a week,I eat red meat two times a week,support
405ae83ad699f77e,My family includes meat in their meals,My social contacts enjoy the taste of meat,support
405ae83ad699f77e,I enjoy the taste of meat,My social contacts enjoy the taste of meat,no connection
405ae83ad699f77e,I include meat in most meals,My friends include meat in their meals,support
405ae83ad699f77e,I enjoy the taste of meat,My family includes meat in their meals,support
405ae83ad699f77e,I enjoy the taste of meat,I include meat in most meals,support
405ae83ad699f77e,I include meat in most meals,I would eat less meat if it was expensive,conflict
405ae83ad699f77e,I enjoy the taste of meat,I would eat less meat if it was expensive,conflict
405ae83ad699f77e,I include meat in most meals,My family includes meat in their meals,support
405ae83ad699f77e,I would eat less meat if it was expensive,My friends include meat in their meals,no connection
ebffac6e5df1cc08,I choose meat as my protein source,"Meals usually include beef, chicken, or burgers",support
ebffac6e5df1cc08,I eat more beef in summer for grilling,I enjoy cooking with chicken,conflict
ebffac6e5df1cc08,I prefer easy-to-cook meats,My friends and family eat meat regularly,conflict
ebffac6e5df1cc08,I prefer easy-to-cook meats,Traditional meals are common in my community,no connection
ebffac6e5df1cc08,Eating meat is a traditional habit for me,Traditional meals are common in my community,support
ebffac6e5df1cc08,I eat more beef in summer for grilling,I prefer easy-to-cook meats,no connection
ebffac6e5df1cc08,I eat chicken regularly,I enjoy cooking with chicken,support
ebffac6e5df1cc08,I eat chicken regularly,My friends and family eat meat regularly,no connection
ebffac6e5df1cc08,I choose meat as my protein source,I eat chicken regularly,support
5d5930b9486b3aef,I have high ferritin levels,I was advised to limit protein,support
5d5930b9486b3aef,I was advised to limit protein,"Tender, soft meats are easier to eat",conflict
5d5930b9486b3aef,I choose leaner cuts of meat,I was advised to limit protein,conflict
5d5930b9486b3aef,I have dental problems,I was advised to limit protein,conflict
5d5930b9486b3aef,I was advised to limit protein,Meat is a staple in my culture,conflict
5d5930b9486b3aef,I choose leaner cuts of meat,My family eats meat frequently,support
5d5930b9486b3aef,I was advised to limit protein,My family eats meat frequently,conflict
5d5930b9486b3aef,Meat is a staple in my culture,My family eats meat frequently,support
5d5930b9486b3aef,I have dental problems,"Tender, soft meats are easier to eat",support
3adb7e8ae191bee6,I am motivated by cost considerations,I am motivated by health concerns,conflict
3adb7e8ae191bee6,I am motivated by cost considerations,I eat mostly chicken and fish when dining out,support
3adb7e8ae191bee6,I am motivated by health concerns,I eat more protein that is non-meat,support
3adb7e8ae191bee6,I choose meat dishes for special occasions,I eat mostly chicken and fish when dining out,conflict
3adb7e8ae191bee6,I am motivated by cost considerations,My friends are concerned about cholesterol,no connection
3adb7e8ae191bee6,I choose meat dishes for special occasions,I eat more protein that is non-meat,conflict
3adb7e8ae191bee6,I choose meat dishes for special occasions,I eat meat less than once a week,conflict
3adb7e8ae191bee6,I am motivated by cost considerations,My friends are concerned about weight,no connection
3adb7e8ae191bee6,My friends are concerned about cholesterol,My friends are concerned about weight,no connection
e16f233f154de5f7,I am concerned about cholesterol,Some days I eat vegetarian meals,support
e16f233f154de5f7,I am concerned about animal welfare,I want to eat less meat,support
e16f233f154de5f7,I think eating less meat helps the environment,My son and daughter-in-law eat mostly meat,conflict
e16f233f154de5f7,I eat beef about twice a week,My son and daughter-in-law eat mostly meat,support
e16f233f154de5f7,I cook separately if not wanting meat,I think eating less meat helps the environment,support
e16f233f154de5f7,I cook separately if not wanting meat,My son and daughter-in-law eat mostly meat,conflict
e16f233f154de5f7,I am concerned about cholesterol,I want to eat less meat,support
e16f233f154de5f7,I am concerned about animal welfare,I eat beef about twice a week,conflict
ec02d5c2a65d3fd2,I eat chicken and turkey,I have health concerns about beef and pork,support
ec02d5c2a65d3fd2,I avoid beef and pork,I have a hard time getting enough protein,conflict
ec02d5c2a65d3fd2,I eat chicken and turkey,I eat meat for protein,support
ec02d5c2a65d3fd2,I avoid beef and pork,I care about environmental impact,support
ec02d5c2a65d3fd2,I dislike the taste of beef and pork,I have health concerns about beef and pork,no connection
ec02d5c2a65d3fd2,I eat chicken and turkey,I have a hard time getting enough protein,conflict
ec02d5c2a65d3fd2,I avoid beef and pork,I dislike the taste of beef and pork,support
ec02d5c2a65d3fd2,I care about environmental impact,I dislike the taste of beef and pork,no connection
68eaac889f651fe0,I feel a meal is incomplete without meat,I have a deep desire for meat,support
68eaac889f651fe0,I buy meat most nights,I feel a meal is incomplete without meat,support
68eaac889f651fe0,I buy meat most nights,Social contacts enjoy my well-cooked meat,support
68eaac889f651fe0,Social contacts enjoy my well-cooked meat,Well-cooked meat increases enjoyment,support
68eaac889f651fe0,I feel a meal is incomplete without meat,Well-cooked meat increases enjoyment,support
68eaac889f651fe0,My daughter also loves meat,Social contacts enjoy my well-cooked meat,support
68eaac889f651fe0,I feel a meal is incomplete without meat,My daughter also loves meat,support
68eaac889f651fe0,My daughter also loves meat,Well-cooked meat increases enjoyment,support
68eaac889f651fe0,I have a deep desire for meat,Social contacts enjoy my well-cooked meat,support
04311d2ad745c4c6,I believe my body needs meat,I include plant-based meals for health,support
04311d2ad745c4c6,I find plant-based meals easy and light,I include plant-based meals for health,support
04311d2ad745c4c6,I balance meat and vegetarian products,I include plant-based meals for health,support
04311d2ad745c4c6,I balance meat and vegetarian products,I enjoy eating meat,support
04311d2ad745c4c6,I enjoy eating meat,I find plant-based meals easy and light,conflict
04311d2ad745c4c6,I believe my body needs meat,"I eat chicken, turkey, fish, or beef daily",support
04311d2ad745c4c6,"I eat chicken, turkey, fish, or beef daily",I include plant-based meals for health,support
04311d2ad745c4c6,I enjoy eating meat,I need nutrients like iron from meat,support
6d94ac5f05b3776e,I avoid eating red meats,I mostly eat chicken or turkey,support
6d94ac5f05b3776e,My family loves to eat meat,My family sometimes limits beef for health,conflict
6d94ac5f05b3776e,I am concerned about my health,I mostly eat chicken or turkey,support
6d94ac5f05b3776e,I am concerned about environmental impact,I avoid greasy meats,support
6d94ac5f05b3776e,I mostly eat chicken or turkey,My family loves to eat meat,conflict
6d94ac5f05b3776e,I am concerned about environmental impact,I mostly eat chicken or turkey,conflict
6d94ac5f05b3776e,I am concerned about my health,I avoid greasy meats,support
6d94ac5f05b3776e,My family loves to eat meat,Taste motivates my family to eat meat,support
6d94ac5f05b3776e,I am concerned about my health,I have acid reflux,support
3d1ddc23b606b8c8,I cook meat for my husband,I eat meat almost every day,support
3d1ddc23b606b8c8,All my family eats meat,God permits eating animals in Genesis,support
3d1ddc23b606b8c8,I am concerned about harming animals,I cook meat for my husband,conflict
3d1ddc23b606b8c8,God permits eating animals in Genesis,I cook meat for my husband,support
3d1ddc23b606b8c8,All my family eats meat,I am concerned about harming animals,conflict
3d1ddc23b606b8c8,All my friends eat meat,I am concerned about harming animals,conflict
3d1ddc23b606b8c8,All my family eats meat,All my friends eat meat,support
3d1ddc23b606b8c8,All my friends eat meat,My husband likes eating meat,no connection
3d1ddc23b606b8c8,I cook meat for my husband,My husband likes eating meat,support
25d9c5f16c668c52,I am open to reducing meat consumption,I like the taste of meat,conflict
25d9c5f16c668c52,I have doubts about meat's climate impact,I like the taste of meat,conflict
25d9c5f16c668c52,I am open to reducing meat consumption,I eat meat for most meals,support
25d9c5f16c668c52,Eating meat is a long-standing habit,Everyone around me eats meat regularly,support
25d9c5f16c668c52,Eating meat is a long-standing habit,I eat meat for most meals,support
25d9c5f16c668c52,Eating meat is a long-standing habit,I am open to reducing meat consumption,conflict
25d9c5f16c668c52,I eat meat for most meals,I have doubts about meat's climate impact,support
25d9c5f16c668c52,Eating meat is a long-standing habit,I have doubts about meat's climate impact,no connection
25d9c5f16c668c52,I eat meat for most meals,I like the taste of meat,support
87e1dbf2ddd33fb1,I have eaten meat for a long time,Meat versatility motivates my choices,support
87e1dbf2ddd33fb1,I avoid pork,Meat presentation is important to me,no connection
87e1dbf2ddd33fb1,I avoid pork,Suspicious smell or appearance discourages me,support
87e1dbf2ddd33fb1,I think about my meat consumption,Meat versatility motivates my choices,support
87e1dbf2ddd33fb1,I feel meat is essential to my meals,Meat versatility motivates my choices,support
87e1dbf2ddd33fb1,I avoid pork,Meat versatility motivates my choices,no connection
87e1dbf2ddd33fb1,I avoid pork,Social contacts influence me to limit meat,no connection
edc04ff5e481112b,Eating cheese or eggs reduces my meat intake,I eat meat almost every day,support
edc04ff5e481112b,Concern for nutrient density increases meat intake,I find meat healthy and nutritious,support
edc04ff5e481112b,I find meat healthy and nutritious,I like the taste of meat,support
edc04ff5e481112b,Concern for nutrient density increases meat intake,I eat meat almost every day,support
edc04ff5e481112b,Attempt to eat more seafood reduces meat intake,Eating cheese or eggs reduces my meat intake,no connection
edc04ff5e481112b,Family history of diabetes influences carb intake,I find meat healthy and nutritious,support
edc04ff5e481112b,I eat meat almost every day,Non-meat high protein meals reduce meat intake,support
edc04ff5e481112b,Eating cheese or eggs reduces my meat intake,I like the taste of meat,support
f59ad690cbd0e6c3,I have more energy after reducing meat,I have reduced white meat to twice a week,support
f59ad690cbd0e6c3,I am concerned about my health,I have reduced red meat to once every other week,support
f59ad690cbd0e6c3,I believe factory farming is cruel,I have reduced red meat to once every other week,conflict
f59ad690cbd0e6c3,I have reduced red meat to once every other week,I have reduced white meat to twice a week,support
f59ad690cbd0e6c3,I am concerned about animal welfare,I believe factory farming is cruel,support
f59ad690cbd0e6c3,I am concerned about my health,I am hoping to cut out red meat completely,support
f59ad690cbd0e6c3,I am concerned about animal welfare,I am hoping to cut out red meat completely,support
f59ad690cbd0e6c3,I am hoping to cut out red meat completely,I believe factory farming is cruel,support
b8eba67020022d75,I have general health concerns,I want to reduce cholesterol,support
b8eba67020022d75,Convenience influences what I eat,I eat beef three to four times weekly,support
b8eba67020022d75,I eat beef three to four times weekly,Reading about Tesla's diet influenced me,conflict
b8eba67020022d75,I eat beef three to four times weekly,I try to keep a balanced diet,no connection
b8eba67020022d75,I eat chicken and fish,I have general health concerns,support
b8eba67020022d75,Cost influences my food choices,Most people I know eat meat,no connection
b8eba67020022d75,I have general health concerns,Reading about Tesla's diet influenced me,support
b8eba67020022d75,Convenience influences what I eat,I want to reduce cholesterol,conflict
b8eba67020022d75,Cost influences my food choices,I try to keep a balanced diet,no connection
fe0757521e1d3e76,I am concerned about climate impact,I have reduced interest in eating meat,support
fe0757521e1d3e76,I have reduced interest in eating meat,My friends do not restrict meat,no connection
fe0757521e1d3e76,I am concerned about climate impact,My friends do not restrict meat,support
fe0757521e1d3e76,I dislike strong meaty flavors,My family eats all types of meat,conflict
fe0757521e1d3e76,My family eats all types of meat,My sibling is vegan,conflict
fe0757521e1d3e76,I dislike strong meaty flavors,"I prefer chicken, beef, and bacon",conflict
fe0757521e1d3e76,My family eats all types of meat,My friends do not restrict meat,support
fe0757521e1d3e76,I am concerned about climate impact,"I prefer chicken, beef, and bacon",support
673d057ee91b91d4,Eating meat makes me feel better,Most people I know eat meat,no connection
673d057ee91b91d4,Eating carbs makes me feel unwell,Most people I know eat meat,no connection
673d057ee91b91d4,Eating meat reduces my inflammation,I eat meat at every meal,support
673d057ee91b91d4,Eating carbs makes me feel unwell,Eating meat feels natural to me,no connection
673d057ee91b91d4,Eating meat reduces my inflammation,I try to eat low carb,support
673d057ee91b91d4,High stress increases my carb intake,I try to eat low carb,conflict
673d057ee91b91d4,I eat meat at every meal,I try to eat low carb,support
673d057ee91b91d4,High stress increases my carb intake,I eat meat at every meal,no connection
673d057ee91b91d4,Eating carbs makes me feel unwell,Eating meat reduces my inflammation,support
30f98abadffddf8e,I eat meat at every meal,I enjoy the taste of meat,support
30f98abadffddf8e,I eat meat at every meal,I want foods high in protein,support
30f98abadffddf8e,Everyone I know eats meat,I want foods high in protein,support
30f98abadffddf8e,Everyone I know eats meat,I enjoy the taste of meat,support
30f98abadffddf8e,I have never known vegetarians personally,I want foods high in protein,support
30f98abadffddf8e,I eat meat at every meal,I have never known vegetarians personally,support
30f98abadffddf8e,Everyone I know eats meat,I eat meat at every meal,support
30f98abadffddf8e,I enjoy the taste of meat,I want foods high in protein,support
8371a2887ae72076,I have financial limitations,I prefer beef and pork,conflict
8371a2887ae72076,I eat fried chicken and fried fish,I enjoy the texture of fried meat,support
8371a2887ae72076,I have thought about veganism or vegetarianism,Meat meals symbolize family and community,conflict
8371a2887ae72076,I eat fried chicken and fried fish,I prefer beef and pork,support
8371a2887ae72076,I enjoy the texture of fried meat,I have thought about veganism or vegetarianism,conflict
8371a2887ae72076,Meat meals symbolize family and community,My family shared traditional meat meals,support
8371a2887ae72076,I enjoy the texture of fried meat,I prefer beef and pork,support
8371a2887ae72076,I eat fried chicken and fried fish,I have thought about veganism or vegetarianism,conflict
8371a2887ae72076,I prefer beef and pork,Meat meals symbolize family and community,support
9fc1c0064ceb93cd,I started having meat-free nights,Most people around me eat meat daily,conflict
9fc1c0064ceb93cd,I prepare meat for my family most nights,Meat is expensive at every meal,conflict
9fc1c0064ceb93cd,I started having meat-free nights,Meat is expensive at every meal,support
9fc1c0064ceb93cd,I think we are meant to eat meat,Meat fills my family up faster,support
9fc1c0064ceb93cd,I prepare meat for my family most nights,Meat fills my family up faster,support
9fc1c0064ceb93cd,I think we are meant to eat meat,Meat is expensive at every meal,no connection
9fc1c0064ceb93cd,I prepare meat for my family most nights,I started having meat-free nights,conflict
9fc1c0064ceb93cd,I prepare meat for my family most nights,Most people around me eat meat daily,support
cb4fa8f65ecfa814,I am reducing meat consumption,I eat more fish instead of meat,support
cb4fa8f65ecfa814,I am used to eating meat at meals,I eat beans and potatoes,support
cb4fa8f65ecfa814,I am used to eating meat at meals,I feel fish is healthier than red meat,support
cb4fa8f65ecfa814,I am open to meat alternatives,I eat beans and potatoes,support
cb4fa8f65ecfa814,I am open to meat alternatives,I eat more fish instead of meat,support
cb4fa8f65ecfa814,I feel fish is healthier than red meat,Meat is the focal point of big meals,support
cb4fa8f65ecfa814,I am open to meat alternatives,I am reducing meat consumption,support
cb4fa8f65ecfa814,I am reducing meat consumption,I feel fish is healthier than red meat,support
ac2d736537b2aa39,I am concerned about animal welfare,Vegetarian and vegan friends prompt reflection,support
ac2d736537b2aa39,I want to get more protein,Vegetarian and vegan friends prompt reflection,conflict
ac2d736537b2aa39,Eating meat is a family tradition,I enjoy the taste of meat,support
ac2d736537b2aa39,I am concerned about animal welfare,I enjoy the taste of meat,conflict
ac2d736537b2aa39,Eating meat is a family tradition,I avoid meat raised with cruelty,conflict
ac2d736537b2aa39,I enjoy the taste of meat,I want to get more protein,support
ac2d736537b2aa39,I am concerned about animal welfare,I eat meat when it is available,conflict
ac2d736537b2aa39,I avoid meat raised with cruelty,I eat meat when it is available,conflict
ac2d736537b2aa39,I eat meat when it is available,I enjoy the taste of meat,support
b2db432aa5f7dbbc,I consume more plant-based foods,I want to reduce carbohydrates,no connection
b2db432aa5f7dbbc,I avoid animal antibiotics and hormones,I eat chicken and fish,conflict
b2db432aa5f7dbbc,I am concerned about animal cruelty,I eat chicken and fish,conflict
b2db432aa5f7dbbc,I want to be healthier,I want to reduce cholesterol,support
b2db432aa5f7dbbc,I am concerned about animal cruelty,I consume more plant-based foods,support
