key,stance_1,stance_2,canvas
c64e457f6d99d425,I eat meat when I feel like it,I sometimes choose to cut back on meat,support
c64e457f6d99d425,I eat meat when I feel like it,Meat consumption is a personal preference,support
c64e457f6d99d425,I eat meat when I feel like it,I sometimes choose to cut back on meat,conflict
0ec83457dd9ad9bb,I enjoy eating meat regularly,Meat tastes delicious to me,support
0ec83457dd9ad9bb,I crave meat,I enjoy eating meat regularly,support
cd254873c8c70b1f,I enjoy eating meat,My friends enjoy eating meat,support
cd254873c8c70b1f,I eat more meat at gatherings,I enjoy eating meat,support
cd254873c8c70b1f,I enjoy eating meat,My family are big meat eaters,support
cd254873c8c70b1f,I crave meat more during holidays,I enjoy eating meat,support
cd254873c8c70b1f,I crave meat more during holidays,My brother reduces meat for health reasons,conflict
cd254873c8c70b1f,I enjoy eating meat,My brother reduces meat for health reasons,conflict
cd254873c8c70b1f,My brother reduces meat for health reasons,My family are big meat eaters,conflict
cd254873c8c70b1f,I eat more meat at gatherings,My brother reduces meat for health reasons,conflict
cd254873c8c70b1f,I enjoy eating meat,I want to be healthier,conflict
cd254873c8c70b1f,I want to be healthier,My family are big meat eaters,conflict
cd254873c8c70b1f,I crave meat more during holidays,I want to be healthier,conflict
cd254873c8c70b1f,I eat more meat at gatherings,I want to be healthier,conflict
673d057ee91b91d4,I believe meat is essential for health,I eat predominantly meat with each meal,support
673d057ee91b91d4,I believe meat is essential for health,I feel better when I eat more meat,support
673d057ee91b91d4,I eat predominantly meat with each meal,I feel better when I eat more meat,support
673d057ee91b91d4,Family habits from childhood influence my eating,My family serves meat at meals,support
673d057ee91b91d4,Family habits from childhood influence my eating,I eat predominantly meat with each meal,support
673d057ee91b91d4,I eat predominantly meat with each meal,I follow a low-carb diet,support
673d057ee91b91d4,I believe meat is essential for health,I follow a low-carb diet,support
673d057ee91b91d4,Family habits from childhood influence my eating,I follow a low-carb diet,conflict
7cf1b08e24b10350,Chicken is cheap and convenient,I eat a lot of chicken,support
7cf1b08e24b10350,I love eating meat,I prefer real meat over substitutes,support
7cf1b08e24b10350,Chicken is cheap and convenient,Family eats more chicken for cost reasons,support
7cf1b08e24b10350,I enjoy cooking meat at home,I love eating meat,support
7cf1b08e24b10350,I avoid fast food bacon,I got food poisoning from fast food bacon,support
7cf1b08e24b10350,I got food poisoning from fast food bacon,I love eating meat,conflict
7cf1b08e24b10350,I love eating meat,Meat is expensive for me,conflict
7cf1b08e24b10350,I eat a lot of chicken,Meat is expensive for me,conflict
bd14752573c3fbed,I eat meat at most meals,I like the taste of meat,support
bd14752573c3fbed,My family eats similar meals as me,My family likes the taste of meat,support
bd14752573c3fbed,I like the taste of meat,My family eats similar meals as me,support
bd14752573c3fbed,Eating meat is mostly out of habit,I eat meat at most meals,support
bd14752573c3fbed,I eat meat at most meals,I realize meat is not always healthy,conflict
bd14752573c3fbed,I eat meat at most meals,I realize meat can impact the environment,conflict
2a27143cb3ff288a,I believe grilled chicken is healthier,I consciously eat more chicken,support
2a27143cb3ff288a,I believe grilled chicken is healthier,I eat less meat than I used to,support
2a27143cb3ff288a,I believe grilled chicken is healthier,My children eat more chicken and fish,support
2a27143cb3ff288a,I consciously eat more chicken,My children eat more chicken and fish,support
2a27143cb3ff288a,I eat less meat than I used to,I eat meat if I feel like it,support
2a27143cb3ff288a,I believe grilled chicken is healthier,I eat meat if I feel like it,conflict
2a27143cb3ff288a,I eat meat if I feel like it,My children eat more chicken and fish,conflict
2a27143cb3ff288a,I consciously eat more chicken,I eat meat if I feel like it,conflict
2a27143cb3ff288a,I eat less meat than I used to,I eat meat if I feel like it,conflict
99229f1b414f5809,I am picky about eating meat,My family likes to eat meat,support
99229f1b414f5809,I am picky about eating meat,I am sensitive to meat texture,support
99229f1b414f5809,I am picky about eating meat,My mood affects my meat eating,support
99229f1b414f5809,I believe meat provides necessary protein,"I want a balanced, healthy diet",support
99229f1b414f5809,I believe meat provides necessary protein,I eat more lean meats to be healthy,support
99229f1b414f5809,I prepare meat for my husband and son,My family likes to eat meat,support
99229f1b414f5809,"I want a balanced, healthy diet",My family likes to eat meat,support
99229f1b414f5809,I am picky about eating meat,My family likes to eat meat,conflict
99229f1b414f5809,My family likes to eat meat,My mood affects my meat eating,conflict
99229f1b414f5809,I prepare meat for my husband and son,"I want a balanced, healthy diet",conflict
99229f1b414f5809,I am sensitive to meat texture,I believe meat provides necessary protein,conflict
41f4d247212a91b7,I believe beef is high in protein,I eat beef four or five times weekly,support
41f4d247212a91b7,I believe beef is nutritious,I eat beef four or five times weekly,support
41f4d247212a91b7,I believe beef is high in protein,I believe beef is nutritious,support
41f4d247212a91b7,I am not interested in eating less beef,I eat beef four or five times weekly,support
41f4d247212a91b7,I always have a freezer full of beef,I eat beef four or five times weekly,support
41f4d247212a91b7,I eat beef four or five times weekly,I value convenience of having home-raised beef,support
41f4d247212a91b7,I eat chicken and fish with my sister,My sister prefers chicken and fish for health,support
41f4d247212a91b7,I eat beef four or five times weekly,Negative information on beef is viewed as political,conflict
41f4d247212a91b7,I value convenience of having home-raised beef,Negative information on beef is viewed as political,conflict
41f4d247212a91b7,I always have a freezer full of beef,Negative information on beef is viewed as political,conflict
41f4d247212a91b7,I am not interested in eating less beef,Negative information on beef is viewed as political,conflict
41f4d247212a91b7,I eat beef four or five times weekly,My sister prefers chicken and fish for health,conflict
41f4d247212a91b7,I eat beef four or five times weekly,I eat chicken and fish with my sister,conflict
5abe20da31c1510b,I am concerned about my health,I have food allergies,support
5abe20da31c1510b,Cooking less due to physical disability,I am concerned about my health,support
5abe20da31c1510b,I am concerned about my health,I eat meat for vitamins like B12,support
5abe20da31c1510b,I am concerned about my health,I avoid eating the same meat daily,support
5abe20da31c1510b,Financial concerns influence my friends' eating,I have food allergies,conflict
5abe20da31c1510b,I vary meat based on what is on sale,My friends value routine in eating habits,conflict
e0b75643b94ce352,I eat meat at every meal,I want meat with high protein,support
e0b75643b94ce352,I am trying to lose weight,I sometimes eat smaller portions of meat,support
e0b75643b94ce352,I add more vegetables to meals,I am trying to lose weight,support
e0b75643b94ce352,I cook meat by baking or grilling,It's hard to know what is healthiest,support
98326b74d660f5fd,I eat meat when I crave it,Most people around me are omnivores,support
98326b74d660f5fd,I care about animals,I struggle morally with eating animals,support
98326b74d660f5fd,I eat meat when I crave it,I struggle morally with eating animals,conflict
98326b74d660f5fd,I care about animals,I eat meat when I crave it,conflict
98326b74d660f5fd,I struggle morally with eating animals,Most people around me are omnivores,conflict
3e8a40a8a3361337,I am vegan,I do vegan activism,support
3e8a40a8a3361337,I am horrified by animal agriculture,I am vegan,support
3e8a40a8a3361337,I am vegan,Living among meat-eating loved ones feels isolating,conflict
3e8a40a8a3361337,I do vegan activism,Living among meat-eating loved ones feels isolating,conflict
3e8a40a8a3361337,I am horrified by animal agriculture,Living among meat-eating loved ones feels isolating,conflict
5fee709bfe55faf2,I generally don't eat meat,Meat prices have went up,support
5fee709bfe55faf2,I generally don't eat meat,Storage of meat is complicated,support
5fee709bfe55faf2,Cooking with meat is complicated,I generally don't eat meat,support
5fee709bfe55faf2,I generally don't eat meat,I have ethical concerns about meat production,support
5fee709bfe55faf2,I am skeptical about animal treatment,I have ethical concerns about meat production,support
5fee709bfe55faf2,I am skeptical about animal treatment,I generally don't eat meat,support
5fee709bfe55faf2,Cooking with meat is complicated,Storage of meat is complicated,support
5fee709bfe55faf2,Family enjoys eating meat,Meat is part of family traditions,support
5fee709bfe55faf2,I enjoy meat at family gatherings,Meat is part of family traditions,support
5fee709bfe55faf2,Family enjoys eating meat,I enjoy meat at family gatherings,support
5fee709bfe55faf2,I enjoy meat at family gatherings,I generally don't eat meat,conflict
5fee709bfe55faf2,Family enjoys eating meat,I generally don't eat meat,conflict
5fee709bfe55faf2,I generally don't eat meat,Meat is part of family traditions,conflict
5fee709bfe55faf2,I enjoy meat at family gatherings,I have ethical concerns about meat production,conflict
5fee709bfe55faf2,I am skeptical about animal treatment,I enjoy meat at family gatherings,conflict
5fee709bfe55faf2,I have ethical concerns about meat production,Meat is part of family traditions,conflict
5fee709bfe55faf2,I am skeptical about animal treatment,Meat is part of family traditions,conflict
d91dfb759b5c056c,I eat chicken three times a week,Meat feels healthy and satisfying,support
d91dfb759b5c056c,Eating meat feels normal and comfortable,Meat feels healthy and satisfying,support
d91dfb759b5c056c,I am open to trying new foods,My social group eats meat regularly,support
d91dfb759b5c056c,I am open to trying new foods,I enjoy the taste of meat,conflict
25c3702e02bdfd45,I have tried plant-based meat alternatives,Traditional family values include eating grilled meat,support
25c3702e02bdfd45,I want to get enough protein,I want to have energy for work,support
25c3702e02bdfd45,I want to lose or maintain weight,My family is motivated by health and age,support
25c3702e02bdfd45,I enjoy cooking and buying meat,I like eating different kinds of meat,support
25c3702e02bdfd45,I am concerned about my health,I want to lose or maintain weight,support
25c3702e02bdfd45,I enjoy cooking and buying meat,I want to lose or maintain weight,conflict
25c3702e02bdfd45,I like eating different kinds of meat,I want to get enough protein,conflict
25c3702e02bdfd45,I have tried plant-based meat alternatives,I want to get enough protein,conflict
b8eba67020022d75,I cut out red meat for cholesterol,I have age-related health concerns,support
b8eba67020022d75,I buy tofu as meat substitute,I cut out red meat for cholesterol,support
b8eba67020022d75,A doctor advised me about cholesterol,I have age-related health concerns,support
b8eba67020022d75,I have age-related health concerns,I want to reduce dietary fat,support
b8eba67020022d75,I buy tofu as meat substitute,I want solid protein substitutes for meat,support
b8eba67020022d75,I eat a lot of meat,I like the taste of meat,support
b8eba67020022d75,I buy tofu as meat substitute,I think tofu is cheaper than meat,support
b8eba67020022d75,I cut out red meat for cholesterol,I eat a lot of meat,conflict
b8eba67020022d75,A doctor advised me about cholesterol,I like the taste of meat,conflict
b8eba67020022d75,I like the taste of meat,I want solid protein substitutes for meat,conflict
b8eba67020022d75,I like the taste of meat,I want to reduce dietary fat,conflict
b8eba67020022d75,I eat a lot of meat,I have age-related health concerns,conflict
53cf43f573cc8f32,I grew up eating meat,I like to eat meat,support
53cf43f573cc8f32,Meat provides protein and energy,Most meals contain meat,support
53cf43f573cc8f32,I have thought about reducing meat,I want meat growing to be sustainable,support
53cf43f573cc8f32,Environmental concerns about eating meat,I want meat growing to be sustainable,support
53cf43f573cc8f32,I like to eat meat,Social circle likes the taste of meat,support
53cf43f573cc8f32,Friends and family eat meat,I like to eat meat,support
53cf43f573cc8f32,Friends and family eat meat,Social circle likes the taste of meat,support
53cf43f573cc8f32,Environmental concerns about eating meat,Most meals contain meat,conflict
53cf43f573cc8f32,I grew up eating meat,I have thought about reducing meat,conflict
53cf43f573cc8f32,I have thought about reducing meat,I like to eat meat,conflict
e0b47f3f6a91ab2e,I limit how much meat I eat,I want to improve my health,support
e0b47f3f6a91ab2e,My family supports eating less meat,Wife reduces meat in solidarity with me,support
e0b47f3f6a91ab2e,I want to reduce environmental impact,Sister-in-law wants to help the environment,support
e0b47f3f6a91ab2e,I want to improve my health,Wife reduces meat in solidarity with me,support
e0b47f3f6a91ab2e,Doctor recommended reducing red meat,I want to improve my health,support
e0b47f3f6a91ab2e,My family supports eating less meat,Sister-in-law wants to help the environment,support
e0b47f3f6a91ab2e,I want to reduce environmental impact,My family supports eating less meat,support
e0b47f3f6a91ab2e,I still consume red meat,I want to improve my health,conflict
e0b47f3f6a91ab2e,I crave steak and chicken,I want to improve my health,conflict
e0b47f3f6a91ab2e,Doctor recommended reducing red meat,I still consume red meat,conflict
e0b47f3f6a91ab2e,Doctor recommended reducing red meat,I crave steak and chicken,conflict
e0b47f3f6a91ab2e,I limit how much meat I eat,I still consume red meat,conflict
e0b47f3f6a91ab2e,I crave steak and chicken,I limit how much meat I eat,conflict
e04998f79adab146,Chicken is cheaper than other meats,I try to get enough protein,support
e04998f79adab146,Chicken is cheaper than other meats,I eat chicken regularly,support
e04998f79adab146,I try to get enough protein,Meat is easy to get at the store,conflict
fd51071022fe231c,I include vegetables for health,I try to balance meat with vegetables,support
fd51071022fe231c,I eat meat for protein,I eat meat regularly,support
fd51071022fe231c,I try to balance meat with vegetables,I want variety in my diet,support
fd51071022fe231c,I eat meat for convenience,I eat meat regularly,support
fd51071022fe231c,Some social contacts eat meat daily,Some social contacts focus on health,support
fd51071022fe231c,I am more mindful about portion sizes,I try to balance meat with vegetables,support
fd51071022fe231c,I eat meat for convenience,Some social contacts focus on health,conflict
fd51071022fe231c,I eat meat regularly,I try to balance meat with vegetables,conflict
fd51071022fe231c,I include vegetables for health,I want variety in my diet,conflict
fd51071022fe231c,I include vegetables for health,Some social contacts eat meat daily,conflict
fd51071022fe231c,I eat meat for convenience,I eat meat for protein,conflict
5152ad6df864fdab,I want to have healthy muscle mass,Meat provides me with protein,support
5152ad6df864fdab,I have concerns about processed meats,I have considered reducing pork consumption,support
5152ad6df864fdab,I am on a low-carb diet,Meat provides me with protein,support
5152ad6df864fdab,I eat multiple meat products daily,I want to feel full and fueled,support
5152ad6df864fdab,I have considered reducing pork consumption,My social contacts prefer taste and satiety,support
5152ad6df864fdab,I eat multiple meat products daily,I want to have healthy muscle mass,support
5152ad6df864fdab,I have considered reducing pork consumption,Meat provides me with protein,conflict
5152ad6df864fdab,I have concerns about processed meats,Meat provides me with protein,conflict
5152ad6df864fdab,I have concerns about processed meats,I want to have healthy muscle mass,conflict
5152ad6df864fdab,I am on a low-carb diet,My social contacts prefer taste and satiety,conflict
3adb7e8ae191bee6,I eat chicken and fish,I have cholesterol concerns,support
3adb7e8ae191bee6,I have cholesterol concerns,I work in the medical profession,support
3adb7e8ae191bee6,I hear doctors advise less meat,I work in the medical profession,support
3adb7e8ae191bee6,I hear doctors advise less meat,Meat expense is a concern for me,support
3adb7e8ae191bee6,I avoid beef,Meat expense is a concern for me,support
3adb7e8ae191bee6,Holiday traditions involve ham or turkey,Meat expense is a concern for me,conflict
79908652a256d33e,My family ate healthy overall,Red meat was expensive growing up,support
79908652a256d33e,I often choose chicken or fish instead,I try to reduce red meat,support
79908652a256d33e,Red meat was expensive growing up,We ate fish every Friday for religious reasons,support
79908652a256d33e,I have health concerns about red meat,We ate fish every Friday for religious reasons,conflict
79908652a256d33e,I often choose chicken or fish instead,Local meat is too expensive for me,conflict
405ae83ad699f77e,I eat meat every day,Meat is a source of protein for me,support
405ae83ad699f77e,I enjoy the taste of meat,Meat is a source of protein for me,support
405ae83ad699f77e,Meat is a source of protein for me,My family eats meat regularly,support
405ae83ad699f77e,I can afford to buy meat,My friends eat meat regularly,conflict
f1109e14be29a5d7,I eat chicken regularly,I have low iron,support
f1109e14be29a5d7,I value animal welfare,My son is vegetarian,support
f1109e14be29a5d7,I value animal welfare,Social contacts grew up eating meat,support
f1109e14be29a5d7,"I avoid beef, pork, and lamb",Vegan food is too expensive for me,support
f1109e14be29a5d7,I am frustrated with food labeling,"I avoid beef, pork, and lamb",support
f1109e14be29a5d7,I value animal welfare,Vegan food is too expensive for me,conflict
f1109e14be29a5d7,I eat chicken regularly,I value animal welfare,conflict
f1109e14be29a5d7,"I avoid beef, pork, and lamb",Social contacts grew up eating meat,conflict
f1109e14be29a5d7,I am frustrated with food labeling,I value animal welfare,conflict
e16f233f154de5f7,I am concerned about antibiotics in meat,I eat vegetarian meals several times a week,support
e16f233f154de5f7,I eat chicken regularly,I eat meat for extra protein,support
e16f233f154de5f7,I am concerned about animal welfare,Social contacts avoid beef for animal welfare,support
e16f233f154de5f7,I am concerned about factory farming practices,Social contacts avoid beef for animal welfare,support
e16f233f154de5f7,I eat ground beef once a week,I eat meat for extra protein,support
e16f233f154de5f7,I eat vegetarian meals several times a week,My daughter mainly eats vegetarian,support
e16f233f154de5f7,I am concerned about antibiotics in meat,I eat meat for extra protein,conflict
e16f233f154de5f7,I am concerned about animal welfare,I eat meat for extra protein,conflict
e16f233f154de5f7,I am concerned about factory farming practices,I eat meat for extra protein,conflict
e16f233f154de5f7,I am concerned about animal welfare,I eat ground beef once a week,conflict
e16f233f154de5f7,I eat chicken regularly,I eat vegetarian meals several times a week,conflict
e16f233f154de5f7,I eat meat for extra protein,I eat vegetarian meals several times a week,conflict
e16f233f154de5f7,I eat meat for extra protein,My daughter mainly eats vegetarian,conflict
e16f233f154de5f7,I eat meat for extra protein,Social contacts avoid beef for animal welfare,conflict
7965eb39cc1b7b97,Eating meat is a family habit,I was raised to eat meat with meals,support
7965eb39cc1b7b97,I want to reduce cholesterol,I was raised to eat meat with meals,support
7965eb39cc1b7b97,I reduced meat due to cholesterol concerns,I want to reduce cholesterol,support
7965eb39cc1b7b97,I reduced meat due to cholesterol concerns,My partner had high cholesterol levels,support
7965eb39cc1b7b97,I eat beef every day,My partner had high cholesterol levels,support
7965eb39cc1b7b97,I eat beef every day,I want a balanced diet,support
7965eb39cc1b7b97,I eat meat in moderation,I want a balanced diet,support
7965eb39cc1b7b97,I eat meat in moderation,I want dietary iron and protein,support
7965eb39cc1b7b97,Eating meat is a family habit,I want dietary iron and protein,support
7819704fed235622,I believe in ethical treatment of animals,I eat fish and poultry occasionally,support
7819704fed235622,I eat fish and poultry occasionally,I have health concerns,support
7819704fed235622,I have health concerns,I have high blood pressure,support
7819704fed235622,I have health concerns,I have high cholesterol,support
7819704fed235622,I am close to being vegetarian,I believe in ethical treatment of animals,support
7819704fed235622,I am close to being vegetarian,I have high cholesterol,support
7819704fed235622,I am close to being vegetarian,I have high blood pressure,support
7819704fed235622,I believe in ethical treatment of animals,I have not eaten red meat in 20 years,support
7819704fed235622,I have had pancreatitis,I have health concerns,support
7819704fed235622,I have health concerns,Vegetables are my primary protein source,support
7819704fed235622,I am close to being vegetarian,I eat fish and poultry occasionally,support
7819704fed235622,I am close to being vegetarian,I eat fish and poultry occasionally,conflict
c314920d84ff0215,I eat meat four times a week,My family are all meat eaters,support
c314920d84ff0215,I eat meat four times a week,Meat substitutes do not taste like real meat,support
c314920d84ff0215,Meat substitutes do not taste like real meat,My family are all meat eaters,support
c314920d84ff0215,I eat meat four times a week,I enjoy the taste of meat,support
c314920d84ff0215,I eat meat four times a week,My friends are mostly meat eaters,support
c314920d84ff0215,I enjoy the taste of meat,My friends are mostly meat eaters,support
c314920d84ff0215,I enjoy the taste of meat,My family are all meat eaters,support
c314920d84ff0215,I enjoy the taste of meat,I have cultural traditions of eating meat,support
c314920d84ff0215,I have cultural traditions of eating meat,My family are all meat eaters,support
c314920d84ff0215,I have cultural traditions of eating meat,My friends are mostly meat eaters,support
c314920d84ff0215,I eat meat four times a week,I have cultural traditions of eating meat,support
c314920d84ff0215,I eat meat four times a week,Meat substitutes do not taste like real meat,conflict
c314920d84ff0215,I enjoy the taste of meat,Meat substitutes do not taste like real meat,conflict
c314920d84ff0215,I have cultural traditions of eating meat,Meat substitutes do not taste like real meat,conflict
c314920d84ff0215,Meat substitutes do not taste like real meat,My friends are mostly meat eaters,conflict
520db7eff8e356ca,Meat fits my active lifestyle,Meat is an easy protein source,support
520db7eff8e356ca,I eat meat almost every day,Meat fits my active lifestyle,support
520db7eff8e356ca,I eat meat almost every day,Meat is an easy protein source,support
520db7eff8e356ca,I eat meat almost every day,Meat is familiar to me,support
520db7eff8e356ca,Eating meat is convenient,I eat meat almost every day,support
520db7eff8e356ca,I eat meat almost every day,I enjoy eating meat,support
520db7eff8e356ca,Eating meat is convenient,Meat fits my active lifestyle,support
aa0f860caa6662ef,Everyone I know eats meat,I eat meat daily,support
aa0f860caa6662ef,I believe animal protein is necessary,I eat meat daily,support
aa0f860caa6662ef,I eat meat daily,I want to meet protein requirements,support
aa0f860caa6662ef,I believe animal protein is necessary,I want to meet protein requirements,support
aa0f860caa6662ef,I eat meat daily,I enjoy the taste of meat,support
aa0f860caa6662ef,I believe animal protein is necessary,I try to avoid fried and greasy meats,conflict
aa0f860caa6662ef,I believe animal protein is necessary,I have a sensitivity to beef,conflict
aa0f860caa6662ef,I try to avoid fried and greasy meats,I want to meet protein requirements,conflict
aa0f860caa6662ef,I have a sensitivity to beef,I want to meet protein requirements,conflict
aa0f860caa6662ef,I enjoy the taste of meat,I try to avoid fried and greasy meats,conflict
b06ebcb759ca3ce4,I follow a mostly animal-based diet,Improved health motivates my meat-eating,support
b06ebcb759ca3ce4,I eat meat-based meals daily,Improved health motivates my meat-eating,support
b06ebcb759ca3ce4,I eat meat-based meals daily,I follow a mostly animal-based diet,support
b88f86ad894a422f,"I choose chicken, turkey, or fish",I eat meat,support
