key,stance_1,stance_2,llm
8f96fa223f234180,I am trying to cut processed meats,I think processed meats are more harmful,support
8f96fa223f234180,I am trying to cut processed meats,I want better blood work numbers,support
8f96fa223f234180,I am trying to cut processed meats,I want more longevity,support
8f96fa223f234180,I have tried vegetarian diets,I noticed health benefits from vegetarian diet,support
8f96fa223f234180,I have tried vegetarian diets,I missed variety in vegetarian menus,support
8f96fa223f234180,I missed variety in vegetarian menus,I noticed health benefits from vegetarian diet,conflict
8f96fa223f234180,I missed variety in vegetarian menus,I want better blood work numbers,conflict
8f96fa223f234180,I really like processed meats,I think processed meats are more harmful,conflict
8f96fa223f234180,I noticed health benefits from vegetarian diet,I want better blood work numbers,support
8f96fa223f234180,I think processed meats are more harmful,I want better blood work numbers,support
8f96fa223f234180,I think processed meats are more harmful,I want more longevity,support
8f96fa223f234180,I want better blood work numbers,I want more longevity,support
25c3702e02bdfd45,Family traditions involve eating meat,I enjoy eating meat,support
25c3702e02bdfd45,Family traditions involve eating meat,I balance meat intake for health,conflict
25c3702e02bdfd45,Family traditions involve eating meat,I want to regulate my weight,conflict
25c3702e02bdfd45,I am concerned about meat healthiness,I balance meat intake for health,support
25c3702e02bdfd45,I am concerned about meat healthiness,I want to regulate my weight,support
25c3702e02bdfd45,I am concerned about sustainability of meat,I balance meat intake for health,support
25c3702e02bdfd45,I am concerned about meat healthiness,I am concerned about sustainability of meat,support
25c3702e02bdfd45,I balance meat intake for health,I enjoy eating meat,conflict
25c3702e02bdfd45,I balance meat intake for health,I want to regulate my weight,support
25c3702e02bdfd45,I enjoy eating meat,I want to regulate my weight,conflict
b06ebcb759ca3ce4,I avoid foods that cause allergies,I experienced health benefits from eating meat,support
b06ebcb759ca3ce4,I avoid foods that cause allergies,I plan elimination and reintegration diets,support
b06ebcb759ca3ce4,I avoid foods that cause allergies,I restrict my diet to mostly meat,support
b06ebcb759ca3ce4,I experienced health benefits from eating meat,I follow a ketogenic diet,support
b06ebcb759ca3ce4,I experienced health benefits from eating meat,I lost over 100 pounds eating this way,support
b06ebcb759ca3ce4,I experienced health benefits from eating meat,I restrict my diet to mostly meat,support
b06ebcb759ca3ce4,I experienced health benefits from eating meat,I was pre-diabetic before changing my diet,support
b06ebcb759ca3ce4,I experienced health benefits from eating meat,I plan elimination and reintegration diets,support
b06ebcb759ca3ce4,I experienced health benefits from eating meat,I run out of the right foods sometimes,conflict
b06ebcb759ca3ce4,I eat 'cheat meals' when unprepared,I experienced health benefits from eating meat,conflict
b06ebcb759ca3ce4,I follow a ketogenic diet,I restrict my diet to mostly meat,support
b06ebcb759ca3ce4,I plan elimination and reintegration diets,I restrict my diet to mostly meat,support
b06ebcb759ca3ce4,I restrict my diet to mostly meat,I run out of the right foods sometimes,support
b06ebcb759ca3ce4,I eat 'cheat meals' when unprepared,I run out of the right foods sometimes,support
b06ebcb759ca3ce4,I avoid foods that cause allergies,I eat 'cheat meals' when unprepared,conflict
99229f1b414f5809,I avoid fatty meats,I choose leaner meat options,support
99229f1b414f5809,I cook meat for family preferences,My family eats more meat than I do,support
99229f1b414f5809,I cook meat for family preferences,I eat whatever I am craving,conflict
99229f1b414f5809,I eat whatever I am craving,Taste motivates me to eat meat,support
99229f1b414f5809,I choose leaner meat options,I eat whatever I am craving,support
99229f1b414f5809,I choose leaner meat options,Taste motivates me to eat meat,support
99229f1b414f5809,I avoid fatty meats,Taste motivates me to eat meat,support
99229f1b414f5809,I choose leaner meat options,My family eats more meat than I do,support
99229f1b414f5809,I avoid fatty meats,My family eats more meat than I do,support
bb43950de402cf68,Chicken is easy to cook,Chicken is familiar in my meals,support
bb43950de402cf68,Chicken is easy to cook,Family usually eats chicken together,support
bb43950de402cf68,Chicken is easy to cook,I eat meat four to five days weekly,support
bb43950de402cf68,Chicken is easy to cook,I like to try new meats,conflict
bb43950de402cf68,Chicken is easy to cook,I enjoy the taste of meat,support
bb43950de402cf68,Chicken is familiar in my meals,Family usually eats chicken together,support
bb43950de402cf68,Chicken is familiar in my meals,I eat meat four to five days weekly,support
bb43950de402cf68,Chicken is familiar in my meals,I like to try new meats,conflict
bb43950de402cf68,Chicken is familiar in my meals,I enjoy the taste of meat,support
bb43950de402cf68,Family usually eats chicken together,I eat meat four to five days weekly,support
bb43950de402cf68,Family usually eats chicken together,I like to try new meats,conflict
bb43950de402cf68,Family usually eats chicken together,I enjoy the taste of meat,support
bb43950de402cf68,I eat meat four to five days weekly,I enjoy the taste of meat,support
bb43950de402cf68,I enjoy the taste of meat,I like to try new meats,support
bb43950de402cf68,I like to try new meats,Limited fish options available,conflict
5152ad6df864fdab,I eat meat multiple times a day,I want to be healthy,support
5152ad6df864fdab,I eat meat multiple times a day,I want to keep muscle strong,support
5152ad6df864fdab,I eat meat multiple times a day,Meat has high protein and low carb,support
5152ad6df864fdab,I eat meat multiple times a day,Meat is satisfying and filling,support
5152ad6df864fdab,I eat meat multiple times a day,Meat can cause constipation,conflict
5152ad6df864fdab,Cost of meat is expensive,I eat meat multiple times a day,conflict
5152ad6df864fdab,I want to be healthy,I want to keep muscle strong,support
5152ad6df864fdab,I want to be healthy,Meat has high protein and low carb,support
5152ad6df864fdab,I want to be healthy,Meat is satisfying and filling,support
5152ad6df864fdab,I want to be healthy,Meat can cause constipation,conflict
5152ad6df864fdab,I want to keep muscle strong,Meat has high protein and low carb,support
5152ad6df864fdab,I want to keep muscle strong,Meat is satisfying and filling,support
5152ad6df864fdab,Meat has high protein and low carb,Meat is satisfying and filling,support
5152ad6df864fdab,I avoid too much processed meat,I want to be healthy,support
5152ad6df864fdab,I avoid too much processed meat,Meat can cause constipation,support
5152ad6df864fdab,I avoid too much processed meat,Some family members avoid pork,support
5e00cb1279c86d31,Eating meat is easier than vegetarian meals,I eat meat four or five times weekly,support
5e00cb1279c86d31,I am an animal lover,I believe humans should eat less meat,support
5e00cb1279c86d31,I am an animal lover,I eat meat four or five times weekly,conflict
5e00cb1279c86d31,I am an animal lover,My sister is vegetarian,support
5e00cb1279c86d31,I believe humans should eat less meat,I eat meat four or five times weekly,conflict
5e00cb1279c86d31,I believe humans should eat less meat,I tried a meat-free diet before,support
5e00cb1279c86d31,I believe humans should eat less meat,Most social contacts eat meat,conflict
5e00cb1279c86d31,Eating meat is easier than vegetarian meals,I tried a meat-free diet before,conflict
5e00cb1279c86d31,I eat meat four or five times weekly,Most social contacts eat meat,support
5e00cb1279c86d31,I eat meat four or five times weekly,I enjoy the taste of meat,support
5e00cb1279c86d31,I enjoy the taste of meat,I tried a meat-free diet before,conflict
5e00cb1279c86d31,I believe humans should eat less meat,I enjoy the taste of meat,conflict
5e00cb1279c86d31,I tried a meat-free diet before,Most social contacts eat meat,conflict
5e00cb1279c86d31,I tried a meat-free diet before,My sister is vegetarian,support
b3f7e055bf4647c4,I eat meat most meals,I grew up eating meat,support
b3f7e055bf4647c4,I eat meat most meals,I like meat,support
b3f7e055bf4647c4,I eat meat most meals,My family likes meat,support
b3f7e055bf4647c4,I eat meat most meals,Most close contacts eat meat,support
b3f7e055bf4647c4,I grew up eating meat,My family likes meat,support
b3f7e055bf4647c4,I grew up eating meat,Most close contacts eat meat,support
b3f7e055bf4647c4,I have considered eating less meat to save money,I try to find meat on sale,support
b3f7e055bf4647c4,I eat meat most meals,I have considered eating less meat to save money,conflict
b3f7e055bf4647c4,I like meat,My family likes meat,support
b3f7e055bf4647c4,I like meat,Most close contacts eat meat,support
b3f7e055bf4647c4,Most close contacts eat meat,My family likes meat,support
ca1edc15c837e28e,I am concerned about digestion difficulties,I stopped eating meat,support
ca1edc15c837e28e,I am concerned about meat fat content,I stopped eating meat,support
ca1edc15c837e28e,I eat salmon occasionally,I have financial limitations,support
ca1edc15c837e28e,I eat salmon occasionally,I stopped eating meat,conflict
ca1edc15c837e28e,I eat salmon occasionally,I want to avoid hunger,support
ca1edc15c837e28e,I have financial limitations,I want to avoid hunger,support
ca1edc15c837e28e,I have access to meat alternatives,I stopped eating meat,support
ca1edc15c837e28e,I stopped eating meat,My family stopped eating meat,support
c7383a60cb3d5477,I choose white meat over red meat sometimes,I eat meat regularly,support
c7383a60cb3d5477,I choose white meat over red meat sometimes,White meat is high in protein,support
c7383a60cb3d5477,I choose white meat over red meat sometimes,I was raised vegetarian,conflict
c7383a60cb3d5477,I eat meat regularly,I was raised vegetarian,conflict
761f1ce0efbbce9e,Doctor recommended eating meat during pregnancy,I was vegetarian for 19 years,conflict
761f1ce0efbbce9e,Doctor recommended eating meat during pregnancy,I often do not eat any meat,support
761f1ce0efbbce9e,Doctor recommended eating meat during pregnancy,I eat poultry or fish two to three times weekly,support
761f1ce0efbbce9e,Doctor recommended eating meat during pregnancy,I eat red meat up to twice a week,support
761f1ce0efbbce9e,Doctor recommended eating meat during pregnancy,I eat fish to feel physically and mentally better,support
761f1ce0efbbce9e,I crave chicken sometimes,I eat poultry or fish two to three times weekly,support
761f1ce0efbbce9e,I eat fish to feel physically and mentally better,I eat poultry or fish two to three times weekly,support
761f1ce0efbbce9e,I eat red meat up to twice a week,I feel energized after eating a burger,support
761f1ce0efbbce9e,I eat poultry or fish two to three times weekly,I often do not eat any meat,conflict
761f1ce0efbbce9e,I eat red meat up to twice a week,I often do not eat any meat,conflict
761f1ce0efbbce9e,I eat red meat up to twice a week,I was vegetarian for 19 years,conflict
761f1ce0efbbce9e,I eat poultry or fish two to three times weekly,I was vegetarian for 19 years,conflict
6db699e0a33315d4,Household shares same meat-eating habits,I have limited money for other foods,support
6db699e0a33315d4,Household shares same meat-eating habits,Most dinners I cook include meat,support
6db699e0a33315d4,Household shares same meat-eating habits,Meat goes well with foods like pasta or rice,support
6db699e0a33315d4,Household shares same meat-eating habits,Meat makes meals easier to eat and enjoyable,support
6db699e0a33315d4,Household shares same meat-eating habits,Meat makes meals tastier,support
6db699e0a33315d4,I am concerned about food processing and pollution,I considered eating less meat after documentaries,support
6db699e0a33315d4,I am concerned about food processing and pollution,Most dinners I cook include meat,conflict
6db699e0a33315d4,I am concerned about food processing and pollution,Meat goes well with foods like pasta or rice,conflict
6db699e0a33315d4,I am concerned about food processing and pollution,Meat makes meals easier to eat and enjoyable,conflict
6db699e0a33315d4,I am concerned about food processing and pollution,Meat makes meals tastier,conflict
6db699e0a33315d4,I am concerned about food processing and pollution,I have limited money for other foods,conflict
6db699e0a33315d4,I considered eating less meat after documentaries,I have limited money for other foods,conflict
6db699e0a33315d4,I considered eating less meat after documentaries,Most dinners I cook include meat,conflict
6db699e0a33315d4,Meat goes well with foods like pasta or rice,Most dinners I cook include meat,support
6db699e0a33315d4,Meat makes meals easier to eat and enjoyable,Most dinners I cook include meat,support
6db699e0a33315d4,Meat makes meals tastier,Most dinners I cook include meat,support
6db699e0a33315d4,Meat goes well with foods like pasta or rice,Meat makes meals easier to eat and enjoyable,support
6db699e0a33315d4,Meat goes well with foods like pasta or rice,Meat makes meals tastier,support
6db699e0a33315d4,Meat makes meals easier to eat and enjoyable,Meat makes meals tastier,support
05dc9cc1ea5a74bc,Community often eats meat together,I enjoy shared meals with others,support
05dc9cc1ea5a74bc,Community often eats meat together,I eat meat four to five days weekly,support
05dc9cc1ea5a74bc,Community often eats meat together,Meat is usually included in dinners,support
05dc9cc1ea5a74bc,I do not trust negative media about meat,I want to enjoy meals regardless of health advice,support
05dc9cc1ea5a74bc,I do not trust negative media about meat,I eat meat four to five days weekly,support
05dc9cc1ea5a74bc,I do not trust negative media about meat,Meat is usually included in dinners,support
05dc9cc1ea5a74bc,I eat meat four to five days weekly,I enjoy eating steak,support
05dc9cc1ea5a74bc,I enjoy eating steak,I want to enjoy meals regardless of health advice,support
05dc9cc1ea5a74bc,I enjoy eating steak,Meat is usually included in dinners,support
05dc9cc1ea5a74bc,I enjoy shared meals with others,Meat is usually included in dinners,support
05dc9cc1ea5a74bc,I eat meat four to five days weekly,Meat is usually included in dinners,support
05dc9cc1ea5a74bc,I eat meat four to five days weekly,I value variety in types of meat,support
05dc9cc1ea5a74bc,I value variety in types of meat,Meat is usually included in dinners,support
05dc9cc1ea5a74bc,Friends or family sometimes restrict meat for health,Some people avoid meat for dietary reasons,support
05dc9cc1ea5a74bc,Friends or family sometimes restrict meat for health,Meat is usually included in dinners,conflict
05dc9cc1ea5a74bc,Friends or family sometimes restrict meat for health,I want to enjoy meals regardless of health advice,conflict
05dc9cc1ea5a74bc,I want to enjoy meals regardless of health advice,Some people avoid meat for dietary reasons,conflict
05dc9cc1ea5a74bc,I enjoy eating steak,I value variety in types of meat,support
7aa3b079e2dda8a1,Family traditions involve eating meat,I balance meat with plant-based meals,conflict
7aa3b079e2dda8a1,Family traditions involve eating meat,I eat meat occasionally,support
7aa3b079e2dda8a1,Family traditions involve eating meat,I enjoy the taste of meat,support
7aa3b079e2dda8a1,Family traditions involve eating meat,Social gatherings often include meat,support
7aa3b079e2dda8a1,Friends reduce meat for environmental reasons,I am concerned about environmental impacts,support
7aa3b079e2dda8a1,Friends reduce meat for environmental reasons,I balance meat with plant-based meals,support
7aa3b079e2dda8a1,Friends reduce meat for environmental reasons,I eat meat occasionally,support
7aa3b079e2dda8a1,Friends reduce meat for ethical reasons,I am concerned about animal welfare,support
7aa3b079e2dda8a1,Friends reduce meat for ethical reasons,I balance meat with plant-based meals,support
7aa3b079e2dda8a1,Friends reduce meat for ethical reasons,I eat meat occasionally,support
7aa3b079e2dda8a1,I am concerned about animal welfare,I balance meat with plant-based meals,support
7aa3b079e2dda8a1,I am concerned about animal welfare,I eat meat occasionally,conflict
7aa3b079e2dda8a1,I am concerned about environmental impacts,I balance meat with plant-based meals,support
7aa3b079e2dda8a1,I am concerned about environmental impacts,I eat meat occasionally,conflict
7aa3b079e2dda8a1,I balance meat with plant-based meals,I eat meat occasionally,support
7aa3b079e2dda8a1,I balance meat with plant-based meals,I want enough protein and nutrients,support
7aa3b079e2dda8a1,I eat meat occasionally,I enjoy the taste of meat,support
7aa3b079e2dda8a1,I balance meat with plant-based meals,I enjoy the taste of meat,support
7aa3b079e2dda8a1,I balance meat with plant-based meals,Social gatherings often include meat,conflict
7aa3b079e2dda8a1,I am concerned about animal welfare,I enjoy the taste of meat,conflict
7aa3b079e2dda8a1,I am concerned about environmental impacts,I enjoy the taste of meat,conflict
7aa3b079e2dda8a1,I eat meat occasionally,I want enough protein and nutrients,support
7aa3b079e2dda8a1,I am concerned about environmental impacts,I want enough protein and nutrients,conflict
7aa3b079e2dda8a1,I am concerned about animal welfare,I want enough protein and nutrients,conflict
7aa3b079e2dda8a1,I enjoy the taste of meat,Social gatherings often include meat,support
7aa3b079e2dda8a1,I eat meat occasionally,Social gatherings often include meat,support
7aa3b079e2dda8a1,I am concerned about environmental impacts,Social gatherings often include meat,conflict
7aa3b079e2dda8a1,I am concerned about animal welfare,Social gatherings often include meat,conflict
72148bfd1d0973af,I balance meals with vegetables and salad,I eat protein every day,support
72148bfd1d0973af,I eat protein every day,I enjoy eating beef and chicken,support
72148bfd1d0973af,I enjoy eating beef and chicken,I use dressings to enjoy white meat,support
72148bfd1d0973af,I look for reduced price fresh meat,I stock up on meat when discounted,support
72148bfd1d0973af,I enjoy eating beef and chicken,I look for reduced price fresh meat,support
72148bfd1d0973af,I enjoy eating beef and chicken,I stock up on meat when discounted,support
72148bfd1d0973af,I eat protein every day,I stock up on meat when discounted,support
72148bfd1d0973af,I eat protein every day,I look for reduced price fresh meat,support
bd14752573c3fbed,Changing family habits would be difficult,I eat meat at most meals,support
bd14752573c3fbed,Changing family habits would be difficult,My family likes to eat meat,support
bd14752573c3fbed,I am concerned about animal welfare,I eat meat at most meals,conflict
bd14752573c3fbed,I am concerned about animal welfare,I love the taste of meat,conflict
bd14752573c3fbed,I am concerned about animal welfare,I want to lose weight,support
bd14752573c3fbed,I am concerned about animal welfare,I am concerned about the environment,support
bd14752573c3fbed,I am concerned about animal welfare,My family likes to eat meat,conflict
bd14752573c3fbed,I am concerned about animal welfare,Non-meat alternatives are often expensive,conflict
bd14752573c3fbed,I am concerned about animal welfare,Meat is expensive,support
bd14752573c3fbed,Changing family habits would be difficult,I am concerned about animal welfare,conflict
bd14752573c3fbed,I am concerned about the environment,I eat meat at most meals,conflict
bd14752573c3fbed,I am concerned about the environment,I love the taste of meat,conflict
bd14752573c3fbed,I am concerned about the environment,I want to lose weight,support
bd14752573c3fbed,I am concerned about the environment,My family likes to eat meat,conflict
bd14752573c3fbed,I am concerned about the environment,Non-meat alternatives are often expensive,conflict
bd14752573c3fbed,I am concerned about the environment,Meat is expensive,support
bd14752573c3fbed,Changing family habits would be difficult,I am concerned about the environment,conflict
bd14752573c3fbed,I eat meat at most meals,I love the taste of meat,support
bd14752573c3fbed,I eat meat at most meals,My family likes to eat meat,support
bd14752573c3fbed,Changing family habits would be difficult,I eat meat at most meals,support
bd14752573c3fbed,I eat meat at most meals,I want to lose weight,conflict
bd14752573c3fbed,I eat meat at most meals,Meat is expensive,conflict
bd14752573c3fbed,I eat meat at most meals,Non-meat alternatives are often expensive,support
bd14752573c3fbed,I love the taste of meat,I want to lose weight,conflict
bd14752573c3fbed,I love the taste of meat,Meat is expensive,conflict
bd14752573c3fbed,I love the taste of meat,My family likes to eat meat,support
bd14752573c3fbed,I love the taste of meat,Non-meat alternatives are often expensive,support
bd14752573c3fbed,Changing family habits would be difficult,I love the taste of meat,support
bd14752573c3fbed,I want to lose weight,Meat is expensive,support
bd14752573c3fbed,I want to lose weight,My family likes to eat meat,conflict
bd14752573c3fbed,I want to lose weight,Non-meat alternatives are often expensive,conflict
bd14752573c3fbed,Changing family habits would be difficult,I want to lose weight,conflict
bd14752573c3fbed,Meat is expensive,My family likes to eat meat,conflict
bd14752573c3fbed,Meat is expensive,Non-meat alternatives are often expensive,support
bd14752573c3fbed,Changing family habits would be difficult,Meat is expensive,support
bd14752573c3fbed,My family likes to eat meat,Non-meat alternatives are often expensive,support
bd14752573c3fbed,Changing family habits would be difficult,My family likes to eat meat,support
bd14752573c3fbed,Changing family habits would be difficult,Non-meat alternatives are often expensive,support
b8a1d8c350a12933,I am concerned about animal welfare,I avoid eating meat four days a week,support
b8a1d8c350a12933,I am concerned about animal welfare,I encourage family to eat organic meat,support
b8a1d8c350a12933,I am concerned about animal welfare,I feel guilty eating animals,support
b8a1d8c350a12933,I crave the taste of meat,I eat meat three days a week,support
b8a1d8c350a12933,I crave the taste of meat,I feel guilty eating animals,conflict
b8a1d8c350a12933,I crave the taste of meat,I seek meat flavoring without chemicals,support
b8a1d8c350a12933,I eat meat three days a week,I encourage family to eat organic meat,support
b8a1d8c350a12933,I avoid eating meat four days a week,I eat meat three days a week,support
b8a1d8c350a12933,I avoid eating meat four days a week,I feel guilty eating animals,support
b8a1d8c350a12933,I encourage family to eat organic meat,My sons are concerned about environment,support
b8a1d8c350a12933,I avoid eating meat four days a week,I seek meat flavoring without chemicals,support
b8a1d8c350a12933,I encourage family to eat organic meat,My sons are concerned about environment,support
5ae9064e5cbccf07,I eat meat four to five times weekly,I want to get enough protein,support
5ae9064e5cbccf07,I eat chicken two times a week,I eat meat four to five times weekly,support
5ae9064e5cbccf07,I eat fish and seafood twice a week,I eat meat four to five times weekly,support
5ae9064e5cbccf07,I eat meat four to five times weekly,I eat red meat two times a week,support
5ae9064e5cbccf07,I eat chicken two times a week,I want to get enough protein,support
5ae9064e5cbccf07,I eat fish and seafood twice a week,I want to get enough protein,support
5ae9064e5cbccf07,I eat red meat two times a week,I want to get enough protein,support
5ae9064e5cbccf07,I eat chicken two times a week,I eat fish and seafood twice a week,support
5ae9064e5cbccf07,I eat chicken two times a week,I eat red meat two times a week,support
5ae9064e5cbccf07,I eat fish and seafood twice a week,I eat red meat two times a week,support
5ae9064e5cbccf07,I eat meat four to five times weekly,Pork does not agree with my stomach,support
405ae83ad699f77e,I enjoy the taste of meat,I include meat in most meals,support
405ae83ad699f77e,I enjoy the taste of meat,My family includes meat in their meals,support
405ae83ad699f77e,I enjoy the taste of meat,My friends include meat in their meals,support
405ae83ad699f77e,I enjoy the taste of meat,My social contacts enjoy the taste of meat,support
405ae83ad699f77e,I include meat in most meals,I would eat less meat if it was expensive,conflict
405ae83ad699f77e,I include meat in most meals,My family includes meat in their meals,support
405ae83ad699f77e,I include meat in most meals,My friends include meat in their meals,support
405ae83ad699f77e,I include meat in most meals,My social contacts enjoy the taste of meat,support
405ae83ad699f77e,My family includes meat in their meals,My social contacts enjoy the taste of meat,support
405ae83ad699f77e,My family includes meat in their meals,My friends include meat in their meals,support
405ae83ad699f77e,My friends include meat in their meals,My social contacts enjoy the taste of meat,support
ebffac6e5df1cc08,Eating meat is a traditional habit for me,I choose meat as my protein source,support
ebffac6e5df1cc08,Eating meat is a traditional habit for me,My friends and family eat meat regularly,support
ebffac6e5df1cc08,Eating meat is a traditional habit for me,Traditional meals are common in my community,support
ebffac6e5df1cc08,Eating meat is a traditional habit for me,"Meals usually include beef, chicken, or burgers",support
ebffac6e5df1cc08,Eating meat is a traditional habit for me,I eat chicken regularly,support
ebffac6e5df1cc08,Eating meat is a traditional habit for me,I enjoy cooking with chicken,support
ebffac6e5df1cc08,I choose meat as my protein source,I eat chicken regularly,support
ebffac6e5df1cc08,I choose meat as my protein source,I prefer easy-to-cook meats,support
ebffac6e5df1cc08,I choose meat as my protein source,I enjoy cooking with chicken,support
ebffac6e5df1cc08,I choose meat as my protein source,"Meals usually include beef, chicken, or burgers",support
ebffac6e5df1cc08,I eat chicken regularly,I enjoy cooking with chicken,support
ebffac6e5df1cc08,I eat chicken regularly,I prefer easy-to-cook meats,support
ebffac6e5df1cc08,I eat chicken regularly,"Meals usually include beef, chicken, or burgers",support
ebffac6e5df1cc08,I enjoy cooking with chicken,I prefer easy-to-cook meats,support
ebffac6e5df1cc08,I enjoy cooking with chicken,"Meals usually include beef, chicken, or burgers",support
ebffac6e5df1cc08,I prefer easy-to-cook meats,"Meals usually include beef, chicken, or burgers",support
ebffac6e5df1cc08,My friends and family eat meat regularly,Traditional meals are common in my community,support
ebffac6e5df1cc08,"Meals usually include beef, chicken, or burgers",Traditional meals are common in my community,support
ebffac6e5df1cc08,"Meals usually include beef, chicken, or burgers",My friends and family eat meat regularly,support
ebffac6e5df1cc08,I choose meat as my protein source,My friends and family eat meat regularly,support
ebffac6e5df1cc08,Eating meat is a traditional habit for me,I eat more beef in summer for grilling,support
ebffac6e5df1cc08,I eat more beef in summer for grilling,"Meals usually include beef, chicken, or burgers",support
5d5930b9486b3aef,I choose leaner cuts of meat,I was advised to limit protein,support
5d5930b9486b3aef,I have dental problems,"Tender, soft meats are easier to eat",support
5d5930b9486b3aef,I choose leaner cuts of meat,I have high ferritin levels,support
5d5930b9486b3aef,I choose leaner cuts of meat,Meat is a staple in my culture,conflict
5d5930b9486b3aef,I choose leaner cuts of meat,I have dental problems,support
5d5930b9486b3aef,I have dental problems,Meat is a staple in my culture,conflict
5d5930b9486b3aef,I have dental problems,My family eats meat frequently,conflict
5d5930b9486b3aef,I choose leaner cuts of meat,"Tender, soft meats are easier to eat",support
5d5930b9486b3aef,I choose leaner cuts of meat,My family eats meat frequently,conflict
5d5930b9486b3aef,I have high ferritin levels,I was advised to limit protein,support
5d5930b9486b3aef,Meat is a staple in my culture,My family eats meat frequently,support
3adb7e8ae191bee6,I am motivated by cost considerations,I eat meat less than once a week,support
3adb7e8ae191bee6,I am motivated by health concerns,I eat meat less than once a week,support
3adb7e8ae191bee6,I am motivated by cost considerations,I eat more protein that is non-meat,support
3adb7e8ae191bee6,I am motivated by health concerns,I eat more protein that is non-meat,support
3adb7e8ae191bee6,I am motivated by health concerns,I eat mostly chicken and fish when dining out,support
3adb7e8ae191bee6,I am motivated by cost considerations,I eat mostly chicken and fish when dining out,support
3adb7e8ae191bee6,I am motivated by health concerns,I eat out often for entertainment,conflict
3adb7e8ae191bee6,I eat mostly chicken and fish when dining out,I eat out often for entertainment,support
3adb7e8ae191bee6,I eat meat less than once a week,I eat more protein that is non-meat,support
3adb7e8ae191bee6,I choose meat dishes for special occasions,I eat meat less than once a week,support
3adb7e8ae191bee6,I choose meat dishes for special occasions,I eat out often for entertainment,support
3adb7e8ae191bee6,My friends are concerned about cholesterol,My friends are concerned about weight,support
3adb7e8ae191bee6,I eat mostly chicken and fish when dining out,My friends are concerned about cholesterol,support
3adb7e8ae191bee6,I eat mostly chicken and fish when dining out,My friends are concerned about weight,support
e16f233f154de5f7,I am concerned about animal welfare,I want to eat less meat,support
e16f233f154de5f7,I am concerned about cholesterol,I want to eat less meat,support
e16f233f154de5f7,I cook separately if not wanting meat,I want to eat less meat,support
e16f233f154de5f7,I think eating less meat helps the environment,I want to eat less meat,support
e16f233f154de5f7,I eat beef about twice a week,I want to eat less meat,conflict
e16f233f154de5f7,I want to eat less meat,My son and daughter-in-law eat mostly meat,conflict
e16f233f154de5f7,I cook separately if not wanting meat,My son and daughter-in-law eat mostly meat,support
