key,wave,n_nodes,n_edges,n_pairs,pairs_support,pairs_conflict,pairs_both,density,mean_degree,centralization,transitivity
f7e046c06d20f5f6,1,10,8,8,7,1,0,0.18,1.6,0.33,0.0
153e1235a7bc0b55,1,7,5,5,3,2,0,0.24,1.43,0.37,0.0
b8a1d8c350a12933,1,8,6,6,3,3,0,0.21,1.5,0.1,0.0
78497a8102898b56,1,8,15,15,10,5,0,0.54,3.75,0.43,0.66
3a4931c85b6bb77d,1,7,11,11,7,4,0,0.52,3.14,0.67,0.55
fad13b189dc3f535,1,9,15,15,7,8,0,0.42,3.33,0.43,0.43
df0d758a5477b83c,1,7,9,9,7,2,0,0.43,2.57,0.57,0.45
1c2579f87fb55244,1,6,4,4,2,2,0,0.27,1.33,0.5,0.0
9faec1665116d796,1,8,7,7,4,3,0,0.25,1.75,0.43,0.33
fadf83bd9ea5f19b,1,8,20,18,7,9,2,0.64,4.5,0.48,0.68
eaa866102ec57941,1,7,7,7,6,1,0,0.33,2.0,0.7,0.4
e2905065a183e73e,1,8,7,7,3,4,0,0.25,1.75,1.0,0.0
8a09978d91039693,1,6,5,5,3,2,0,0.33,1.67,0.4,0.0
7d752fefddfca23e,1,5,2,2,2,0,0,0.2,0.8,0.5,0.0
2bfe07abba85396f,1,9,7,7,5,2,0,0.19,1.56,0.07,0.0
4c0618a1f49cf2e9,1,10,8,7,4,2,1,0.16,1.4,0.22,0.0
ed14bc3f70d6cec5,1,10,12,12,5,7,0,0.27,2.4,0.78,0.22
9dbce82bce25d24e,1,8,8,7,4,2,1,0.25,1.75,0.43,0.0
c038519ac4670f62,1,9,16,16,7,9,0,0.44,3.56,0.71,0.58
6db699e0a33315d4,1,8,8,8,5,3,0,0.29,2.0,0.19,0.27
bb10b3e293fa7488,1,10,14,12,6,4,2,0.27,2.4,0.22,0.29
7c0d0af95f8b1f08,1,8,13,13,11,2,0,0.46,3.25,0.52,0.32
ec02d5c2a65d3fd2,1,8,6,6,3,3,0,0.21,1.5,0.86,0.0
54cc4241bdbfff9e,1,7,10,10,5,5,0,0.48,2.86,0.27,0.3
97773a8839d3f6fe,1,10,25,22,19,0,3,0.49,4.4,0.5,0.26
ac2d736537b2aa39,1,9,13,12,11,0,1,0.33,2.67,0.7,0.35
87e1dbf2ddd33fb1,1,6,6,6,3,3,0,0.4,2.0,0.3,0.38
d4cec8da03bc12ab,1,5,3,3,2,1,0,0.3,1.2,0.33,0.0
c842caeb15405a78,1,8,7,7,4,3,0,0.25,1.75,0.43,0.33
740b157201268df1,1,9,21,21,14,7,0,0.58,4.67,0.38,0.63
b3f7e055bf4647c4,1,8,8,8,4,4,0,0.29,2.0,0.57,0.47
a7ac88105b8c14d3,1,8,12,11,7,3,1,0.39,2.75,0.24,0.41
f323942068c63066,1,8,13,13,6,7,0,0.46,3.25,0.52,0.57
a3557ae863ad9e1d,1,7,13,13,9,4,0,0.62,3.71,0.53,0.61
ad62d2edd2e18b97,1,10,14,14,9,5,0,0.31,2.8,0.58,0.3
3828779ad7644dd3,1,7,7,7,4,3,0,0.33,2.0,0.23,0.27
41c5996495e366da,1,9,8,7,3,3,1,0.19,1.56,0.39,0.0
54b98e8a7620dd67,1,8,9,9,4,5,0,0.32,2.25,0.52,0.0
4dc0b760b47b9e68,1,10,21,21,10,11,0,0.47,4.2,0.39,0.64
5d841d10765ae730,1,7,12,12,7,5,0,0.57,3.43,0.37,0.79
fabbe87caf2e1c00,1,8,12,11,5,5,1,0.39,2.75,0.62,0.32
c425ac83f24beef2,1,9,7,7,5,2,0,0.19,1.56,0.88,0.0
248480856d4a9c8c,1,10,6,6,6,0,0,0.13,1.2,0.11,0.0
36d1ca03b3d61873,1,10,5,5,3,2,0,0.11,1.0,0.14,0.0
5ae9064e5cbccf07,1,10,13,13,10,3,0,0.29,2.6,0.06,1.0
0266776e84599980,1,6,5,5,3,2,0,0.33,1.67,0.7,0.38
25d9c5f16c668c52,1,8,7,7,6,1,0,0.25,1.75,0.62,0.0
5e00cb1279c86d31,1,9,12,12,7,5,0,0.33,2.67,0.38,0.56
37899912f4a5a971,1,8,7,6,3,2,1,0.21,1.5,0.29,0.0
649f1789cf99857f,1,10,20,20,15,5,0,0.44,4.0,0.42,0.54
3715bc392d7a07ee,1,7,11,11,4,7,0,0.52,3.14,0.67,0.47
68eaac889f651fe0,1,8,9,9,4,5,0,0.32,2.25,0.52,0.32
5c9113c3b7df8e3e,1,6,4,4,4,0,0,0.27,1.33,0.2,0.0
f3cca123640d3386,1,9,9,9,4,5,0,0.25,2.0,0.64,0.39
2e7d088561cde19d,1,8,14,14,11,3,0,0.5,3.5,0.29,0.51
847c51b8edf36462,1,7,10,10,10,0,0,0.48,2.86,0.5,0.0
30f98abadffddf8e,1,8,5,5,4,1,0,0.18,1.25,0.14,0.0
9cb164abacf3625b,1,9,13,13,5,8,0,0.36,2.89,0.66,0.33
0abdb72dd1d9ebaf,1,8,7,7,7,0,0,0.25,1.75,1.0,0.0
95ad60153e77940d,1,7,10,9,5,3,1,0.43,2.57,0.33,0.53
57e921dbf3976ff9,1,6,4,4,4,0,0,0.27,1.33,0.2,0.0
6c13354781f251c4,1,8,7,7,4,3,0,0.25,1.75,1.0,0.0
5dac8afcada7c2a4,1,8,10,10,5,5,0,0.36,2.5,0.29,0.33
d59a7be61b6d34c0,1,6,11,11,4,7,0,0.73,3.67,0.4,0.68
a46c865723cc0c1e,1,7,6,6,4,2,0,0.29,1.71,0.3,0.0
5a6edee02aac678f,1,8,9,9,8,1,0,0.32,2.25,0.33,0.38
036858a3a8430897,1,7,6,6,5,1,0,0.29,1.71,0.07,0.6
086ecf273585a9a4,1,8,12,12,8,4,0,0.43,3.0,0.57,0.48
4911e6bef9ac963c,1,5,6,6,4,2,0,0.6,2.4,0.25,0.33
f003c96b131253d6,1,6,5,5,4,1,0,0.33,1.67,0.1,0.0
e510d4025a1f07f7,1,10,9,9,5,4,0,0.2,1.8,0.44,0.45
addff8dc6e11e669,1,9,8,8,5,3,0,0.22,1.78,0.2,0.6
ba0ae2459e448093,1,7,10,8,4,2,2,0.38,2.29,0.17,0.46
a134d663306eaf79,1,9,17,17,10,7,0,0.47,3.78,0.68,0.53
ab0d4cea5548f80a,1,5,3,3,2,1,0,0.3,1.2,0.33,0.0
6e8cf4836e13dd9d,1,10,15,15,8,7,0,0.33,3.0,0.56,0.35
d8e85ef0973f5cae,1,5,4,4,3,1,0,0.4,1.6,1.0,0.0
ebffac6e5df1cc08,1,9,10,10,5,5,0,0.28,2.22,0.12,0.43
436f8fdfd9f19736,1,9,7,7,5,2,0,0.19,1.56,0.23,0.0
9cfb62646c810049,1,7,7,7,5,2,0,0.33,2.0,0.47,0.27
84ca074474b9b6ad,1,6,4,4,2,2,0,0.27,1.33,0.5,0.0
337e9146d26fc3eb,1,6,5,5,3,2,0,0.33,1.67,0.4,0.0
c7383a60cb3d5477,1,9,5,5,3,2,0,0.14,1.11,0.14,0.0
9c82fc4c36156f08,1,7,7,7,4,3,0,0.33,2.0,0.23,0.5
24905a929f5aaec2,1,10,8,8,5,3,0,0.18,1.6,0.19,0.0
298335236c158975,1,8,9,9,6,3,0,0.32,2.25,0.14,0.0
24ea44f928c011ba,1,8,8,7,5,1,1,0.25,1.75,0.24,0.0
8371a2887ae72076,1,6,7,5,2,1,2,0.33,1.67,0.4,0.0
8de500ff0f84f538,1,10,12,12,9,3,0,0.27,2.4,0.5,0.11
cdc1fd8a83edc5a9,1,8,10,10,5,5,0,0.36,2.5,0.67,0.32
76b6976d3c95342a,1,8,8,7,3,3,1,0.25,1.75,0.24,0.38
0d3cc90a72fbaf72,1,8,6,6,4,2,0,0.21,1.5,0.29,0.0
9306e20a3c8202a6,1,9,15,15,10,5,0,0.42,3.33,0.59,0.55
c32a7e5368c4de97,1,10,9,9,7,2,0,0.2,1.8,0.31,0.21
a499c9666324fe8a,1,9,6,6,5,1,0,0.17,1.33,0.27,0.0
1940655aa6fd764b,1,7,10,10,7,3,0,0.48,2.86,0.27,0.52
1fcd68a516b33f04,1,8,5,5,4,1,0,0.18,1.25,0.14,0.0
e4829fb39326588e,1,7,6,6,4,2,0,0.29,1.71,0.53,0.0
234e7d4c1559a3d0,1,9,7,7,7,0,0,0.19,1.56,0.23,0.0
dad40041f6cb7ef4,1,10,8,8,5,3,0,0.18,1.6,0.19,0.0
0ef0a9479b25eda6,1,9,14,14,8,6,0,0.39,3.11,0.46,0.33
8b73e21092f24bd1,1,9,8,8,6,2,0,0.22,1.78,0.36,0.0
338e11072f0a9a3c,1,8,7,7,5,2,0,0.25,1.75,0.24,0.0
bba08ffaa6b4972e,1,8,8,7,3,3,1,0.25,1.75,0.43,0.0
01d6c865ad629e1f,1,8,6,6,4,2,0,0.21,1.5,0.29,0.0
e15dc1ccfc02dea4,1,6,7,7,3,4,0,0.47,2.33,0.8,0.4
1c8a868b5e0ce4ef,1,9,14,14,10,4,0,0.39,3.11,0.3,0.3
2c779c0028c91422,1,7,11,11,4,7,0,0.52,3.14,0.67,0.55
9d41a316406ab604,1,8,6,6,3,3,0,0.21,1.5,0.48,0.0
7a28a7b7738bc656,1,8,7,7,6,1,0,0.25,1.75,0.24,0.0
ea0c4e9dce422f7c,1,7,8,8,4,4,0,0.38,2.29,0.4,0.0
2b66cc6ef7bd17ea,1,10,10,10,6,4,0,0.22,2.0,0.42,0.39
92dabeb709641989,1,9,16,16,11,5,0,0.44,3.56,0.39,0.48
f3ccb99647a78111,1,6,12,12,12,0,0,0.8,4.0,0.3,0.79
5ed80b15ba44099f,1,9,5,5,4,1,0,0.14,1.11,0.62,0.0
3307a1b25ba01794,1,10,11,11,7,4,0,0.24,2.2,0.25,0.5
f98f0b882797728b,1,8,7,7,6,1,0,0.25,1.75,0.43,0.0
ef09b0942ba51b5e,1,10,13,12,5,6,1,0.27,2.4,0.22,0.0
cde5af9c10e5d7af,1,6,6,6,4,2,0,0.4,2.0,0.3,0.6
7142ee58205c21de,1,9,10,9,6,2,1,0.25,2.0,0.48,0.0
4c0618a1f49cf2e9,2,10,12,12,10,2,0,0.27,2.4,0.64,0.36
7965eb39cc1b7b97,2,7,2,2,1,1,0,0.1,0.57,0.1,
8f96fa223f234180,2,10,9,9,4,5,0,0.2,1.8,0.31,0.43
25c3702e02bdfd45,2,6,4,4,2,2,0,0.27,1.33,0.2,0.0
b06ebcb759ca3ce4,2,9,8,8,4,4,0,0.22,1.78,0.52,0.21
99229f1b414f5809,2,6,5,4,2,1,1,0.27,1.33,0.8,0.0
bb43950de402cf68,2,7,14,14,8,6,0,0.67,4.0,0.47,0.65
5152ad6df864fdab,2,9,11,11,5,6,0,0.31,2.44,0.25,0.17
5e00cb1279c86d31,2,8,12,12,6,6,0,0.43,3.0,0.38,0.79
b3f7e055bf4647c4,2,7,6,6,3,3,0,0.29,1.71,0.53,0.55
ca1edc15c837e28e,2,8,7,7,5,2,0,0.25,1.75,0.43,0.33
c7383a60cb3d5477,2,5,7,7,3,4,0,0.7,2.8,0.5,0.6
761f1ce0efbbce9e,2,8,13,7,1,0,6,0.25,1.75,0.43,0.0
6db699e0a33315d4,2,8,8,8,5,3,0,0.29,2.0,0.19,0.0
05dc9cc1ea5a74bc,2,10,14,14,11,3,0,0.31,2.8,0.44,0.39
7aa3b079e2dda8a1,2,10,6,6,4,2,0,0.13,1.2,0.25,0.0
72148bfd1d0973af,2,6,3,3,3,0,0,0.2,1.0,0.3,0.0
bd14752573c3fbed,2,9,16,16,7,9,0,0.44,3.56,0.23,0.86
b8a1d8c350a12933,2,8,8,8,6,2,0,0.29,2.0,0.19,0.0
5ae9064e5cbccf07,2,6,5,5,4,1,0,0.33,1.67,1.0,0.0
405ae83ad699f77e,2,6,3,3,2,1,0,0.2,1.0,0.6,0.0
ebffac6e5df1cc08,2,9,8,8,4,4,0,0.22,1.78,0.2,0.38
5d5930b9486b3aef,2,7,10,9,3,5,1,0.43,2.57,0.33,0.35
3adb7e8ae191bee6,2,9,6,6,4,2,0,0.17,1.33,0.27,0.0
e16f233f154de5f7,2,8,11,11,5,6,0,0.39,2.75,0.24,0.39
ec02d5c2a65d3fd2,2,9,9,7,4,1,2,0.19,1.56,0.23,0.0
68eaac889f651fe0,2,6,5,4,3,0,1,0.27,1.33,0.2,0.0
04311d2ad745c4c6,2,8,11,10,6,3,1,0.36,2.5,0.48,0.27
6d94ac5f05b3776e,2,9,9,8,5,2,1,0.22,1.78,0.36,0.0
3d1ddc23b606b8c8,2,7,13,13,8,5,0,0.62,3.71,0.53,0.6
25d9c5f16c668c52,2,6,8,7,3,3,1,0.47,2.33,0.5,0.46
87e1dbf2ddd33fb1,2,9,10,10,5,5,0,0.28,2.22,0.29,0.33
edc04ff5e481112b,2,10,19,14,6,3,5,0.31,2.8,0.58,0.35
f59ad690cbd0e6c3,2,7,4,4,3,1,0,0.19,1.14,0.2,0.0
b8eba67020022d75,2,9,12,11,5,5,1,0.31,2.44,0.25,0.71
fe0757521e1d3e76,2,8,9,8,4,3,1,0.29,2.0,0.19,0.3
673d057ee91b91d4,2,9,8,8,6,2,0,0.22,1.78,0.52,0.5
30f98abadffddf8e,2,5,3,3,3,0,0,0.3,1.2,0.33,0.0
8371a2887ae72076,2,7,10,10,4,6,0,0.48,2.86,0.27,0.41
9fc1c0064ceb93cd,2,6,8,8,6,2,0,0.53,2.67,0.4,0.4
cb4fa8f65ecfa814,2,8,14,14,6,8,0,0.5,3.5,0.29,0.22
ac2d736537b2aa39,2,7,20,20,9,11,0,0.95,5.71,0.07,0.95
b2db432aa5f7dbbc,2,10,6,6,5,1,0,0.13,1.2,0.11,0.0
9cb164abacf3625b,2,10,8,8,4,4,0,0.18,1.6,0.47,0.0
97f6aaf7d17e1706,2,8,9,9,7,2,0,0.32,2.25,0.52,0.57
153e1235a7bc0b55,2,7,10,9,6,2,1,0.43,2.57,0.33,0.17
24e9f4a8dba444ba,2,6,13,13,8,5,0,0.87,4.33,0.2,0.87
c32a7e5368c4de97,2,8,8,8,4,4,0,0.29,2.0,0.38,0.43
4dc0b760b47b9e68,2,7,13,13,8,5,0,0.62,3.71,0.3,0.55
2c779c0028c91422,2,10,16,16,8,8,0,0.36,3.2,0.39,0.19
7cf1b08e24b10350,2,8,10,10,7,3,0,0.36,2.5,0.29,0.57
54b98e8a7620dd67,2,6,6,6,5,1,0,0.4,2.0,0.3,0.75
62db37d23852862b,2,10,12,12,9,3,0,0.27,2.4,0.36,0.22
44bb0706ca255d7e,2,7,4,4,4,0,0,0.19,1.14,0.67,0.0
abe8e3027db90040,2,8,8,8,5,3,0,0.29,2.0,0.19,0.3
6e8cf4836e13dd9d,2,10,11,11,5,6,0,0.24,2.2,0.39,0.29
41f4d247212a91b7,2,8,8,8,8,0,0,0.29,2.0,0.76,0.17
f7e046c06d20f5f6,2,10,2,2,2,0,0,0.04,0.4,0.22,0.0
ad62d2edd2e18b97,2,9,12,11,7,3,1,0.31,2.44,0.57,0.33
7c0d0af95f8b1f08,2,10,14,14,9,5,0,0.31,2.8,0.31,0.19
436f8fdfd9f19736,2,9,8,8,5,3,0,0.22,1.78,0.2,0.0
79908652a256d33e,2,8,8,8,5,3,0,0.29,2.0,0.19,0.0
ba0ae2459e448093,2,9,6,6,6,0,0,0.17,1.33,0.27,0.0
5d841d10765ae730,2,7,13,13,6,7,0,0.62,3.71,0.53,0.66
97773a8839d3f6fe,2,8,15,13,7,4,2,0.46,3.25,0.52,0.49
74ee6a013b1d50b3,2,7,11,9,5,2,2,0.43,2.57,0.8,0.5
d4cec8da03bc12ab,2,10,8,7,6,0,1,0.16,1.4,0.22,0.0
f9ac4b8a3e8bbb4e,2,10,14,14,9,5,0,0.31,2.8,0.58,0.33
a134d663306eaf79,2,10,15,15,8,7,0,0.33,3.0,0.56,0.41
520db7eff8e356ca,2,10,14,13,6,6,1,0.29,2.6,0.61,0.42
6c13354781f251c4,2,4,4,4,2,2,0,0.67,2.0,0.67,0.6
e510d4025a1f07f7,2,6,5,5,3,2,0,0.33,1.67,0.7,0.0
7d752fefddfca23e,2,7,9,9,6,3,0,0.43,2.57,0.33,0.32
ed14bc3f70d6cec5,2,9,12,12,8,4,0,0.33,2.67,0.38,0.43
e0b75643b94ce352,2,8,5,5,4,1,0,0.18,1.25,0.33,0.0
0abdb72dd1d9ebaf,2,8,13,13,6,7,0,0.46,3.25,0.71,0.52
fd51071022fe231c,2,9,9,8,6,1,1,0.22,1.78,0.36,0.55
06a4dd916c731ccf,2,7,3,3,2,1,0,0.14,0.86,0.03,
a46c865723cc0c1e,2,7,8,8,5,3,0,0.38,2.29,0.4,0.46
248480856d4a9c8c,2,9,5,5,4,1,0,0.14,1.11,0.14,0.0
f3cca123640d3386,2,9,7,7,4,3,0,0.19,1.56,0.55,0.4
5abe20da31c1510b,2,10,9,9,6,3,0,0.2,1.8,0.17,0.0
e2905065a183e73e,2,6,7,7,4,3,0,0.47,2.33,0.5,0.64
cd254873c8c70b1f,2,7,8,8,6,2,0,0.38,2.29,0.4,0.21
5a6edee02aac678f,2,8,13,13,6,7,0,0.46,3.25,0.71,0.38
e04998f79adab146,2,6,5,5,3,2,0,0.33,1.67,0.4,0.0
ccae674b4ff562be,2,6,6,5,3,1,1,0.33,1.67,0.4,0.0
24ea44f928c011ba,2,7,10,10,7,3,0,0.48,2.86,0.5,0.38
11e5443a9c9c5d6e,2,10,16,13,5,5,3,0.29,2.6,0.33,0.2
cdc1fd8a83edc5a9,2,8,7,7,2,5,0,0.25,1.75,0.43,0.5
7a28a7b7738bc656,2,8,8,8,6,2,0,0.29,2.0,0.57,0.0
847c51b8edf36462,2,5,4,4,4,0,0,0.4,1.6,1.0,0.0
901b1e68b9a21d2e,2,10,29,29,19,10,0,0.64,5.8,0.44,0.63
d626dfd972cd0a7d,2,5,9,9,9,0,0,0.9,3.6,0.17,0.88
54cc4241bdbfff9e,2,10,9,9,5,4,0,0.2,1.8,0.17,0.0
53cf43f573cc8f32,2,8,10,10,6,4,0,0.36,2.5,0.29,0.75
3828779ad7644dd3,2,10,8,8,5,3,0,0.18,1.6,0.33,0.55
0ec83457dd9ad9bb,2,7,9,9,5,4,0,0.43,2.57,0.8,0.5
d8e85ef0973f5cae,2,9,5,5,3,2,0,0.14,1.11,0.14,0.0
1fcd68a516b33f04,2,10,6,5,3,1,1,0.11,1.0,0.14,1.0
36d1ca03b3d61873,2,9,4,4,2,2,0,0.11,0.89,0.18,0.0
0d3cc90a72fbaf72,2,8,5,5,5,0,0,0.18,1.25,0.14,0.0
9faec1665116d796,2,6,4,4,1,3,0,0.27,1.33,0.2,0.0
fabbe87caf2e1c00,2,10,14,14,8,6,0,0.31,2.8,0.44,0.43
2e7d088561cde19d,2,7,9,9,7,2,0,0.43,2.57,0.8,0.41
df3aa70f59b84ff1,2,6,5,5,3,2,0,0.33,1.67,0.4,0.6
337e9146d26fc3eb,2,9,8,6,4,0,2,0.17,1.33,0.11,0.0
c0ac91fae56c6ec3,2,10,5,5,2,3,0,0.11,1.0,0.28,0.75
aa0f860caa6662ef,2,6,6,6,6,0,0,0.4,2.0,0.6,0.55
98326b74d660f5fd,2,6,10,10,6,4,0,0.67,3.33,0.2,0.69
7142ee58205c21de,2,9,12,12,7,5,0,0.33,2.67,0.38,0.39
8b73e21092f24bd1,2,10,6,6,4,2,0,0.13,1.2,0.39,0.0
ab0d4cea5548f80a,2,8,7,7,3,4,0,0.25,1.75,0.24,0.0
61766c21a780a6d9,2,7,2,2,2,0,0,0.1,0.57,0.1,
3307a1b25ba01794,2,10,11,10,6,3,1,0.22,2.0,0.14,0.5
5ed80b15ba44099f,2,6,3,3,1,2,0,0.2,1.0,0.3,0.0
37899912f4a5a971,2,6,8,7,3,3,1,0.47,2.33,0.5,0.25
f98f0b882797728b,2,7,7,7,5,2,0,0.33,2.0,0.47,0.0
95ad60153e77940d,2,10,13,10,4,3,3,0.22,2.0,0.14,0.0
cde5af9c10e5d7af,2,8,7,7,3,4,0,0.25,1.75,0.43,0.33
8bcf4a8ef4be7cba,2,7,4,4,3,1,0,0.19,1.14,0.2,0.0
