key,real_w1,real_w2,training
5a6edee02aac678f,2.25,3.25,2.857
5abe20da31c1510b,1.5,1.8,2.381
5ae9064e5cbccf07,2.6,1.667,1.429
5c9113c3b7df8e3e,1.333,1.111,2.667
5cac8fe98f0a075d,1.6,2.222,1.81
5d5930b9486b3aef,2.0,2.571,2.571
5d841d10765ae730,3.429,3.714,3.238
5dac8afcada7c2a4,2.5,3.429,2.095
5e00cb1279c86d31,2.667,3.0,2.571
5ed80b15ba44099f,1.111,1.0,1.524
5f03a63347991312,1.8,1.2,2.571
5fee709bfe55faf2,3.778,2.0,1.905
61766c21a780a6d9,0.5,0.571,1.238
62db37d23852862b,3.5,2.4,2.571
649f1789cf99857f,4.0,4.667,4.0
673d057ee91b91d4,2.667,1.778,2.476
68eaac889f651fe0,2.25,1.333,2.095
6c13354781f251c4,1.75,2.0,2.667
6d94ac5f05b3776e,2.571,1.778,2.286
6db699e0a33315d4,2.0,2.0,1.619
6e8cf4836e13dd9d,3.0,2.2,2.571
7142ee58205c21de,2.0,2.667,2.19
72148bfd1d0973af,1.143,1.0,2.095
721f6be7c6c2c5e8,2.6,1.333,2.381
740b157201268df1,4.667,4.6,3.714
74ee6a013b1d50b3,2.286,2.571,2.476
761f1ce0efbbce9e,1.75,1.75,2.762
76b6976d3c95342a,1.75,1.778,2.667
7819704fed235622,2.444,2.5,2.19
78497a8102898b56,3.75,4.667,4.19
7965eb39cc1b7b97,2.0,0.571,1.429
79908652a256d33e,1.111,2.0,1.238
7a28a7b7738bc656,1.75,2.0,2.571
7aa3b079e2dda8a1,1.333,1.2,1.429
7c0d0af95f8b1f08,3.25,2.8,2.476
7cf1b08e24b10350,1.6,2.5,2.381
7d752fefddfca23e,0.8,2.571,1.714
7eefc6f2e7826814,2.5,2.5,2.667
82db7bf9aab23ea9,2.75,2.286,3.143
8371a2887ae72076,1.667,2.857,2.571
847c51b8edf36462,2.857,1.6,2.19
84ca074474b9b6ad,1.333,1.143,1.429
87e1dbf2ddd33fb1,2.0,2.222,2.19
8a09978d91039693,1.667,1.0,2.381
8b73e21092f24bd1,1.778,1.2,2.381
8bcf4a8ef4be7cba,1.429,1.143,2.095
8c30dfbb7ee2fbe8,5.0,4.25,3.238
8de500ff0f84f538,2.4,3.2,2.762
8f96fa223f234180,2.75,1.8,2.762
901b1e68b9a21d2e,4.222,5.8,3.81
90a26c5862848d7f,2.222,2.4,2.476
92dabeb709641989,3.556,2.75,3.238
9306e20a3c8202a6,3.333,2.5,2.667
95ad60153e77940d,2.571,2.0,2.286
971e17af6c60aec7,4.571,4.222,2.667
97773a8839d3f6fe,4.4,3.25,3.333
97f6aaf7d17e1706,3.556,2.25,2.095
98326b74d660f5fd,2.5,3.333,2.952
99229f1b414f5809,2.5,1.333,2.571
9c82fc4c36156f08,2.0,3.667,3.143
9cb164abacf3625b,2.889,1.6,3.238
9cfb62646c810049,2.0,1.667,1.619
9d41a316406ab604,1.5,1.75,2.0
9dbce82bce25d24e,1.75,2.0,3.238
9faec1665116d796,1.75,1.333,2.095
9fc1c0064ceb93cd,2.222,2.667,2.286
a134d663306eaf79,3.778,3.0,2.476
a22e24bd1aef3c96,2.8,2.75,2.095
a3557ae863ad9e1d,3.714,2.8,2.571
a46c865723cc0c1e,1.714,2.286,2.19
a499c9666324fe8a,1.333,1.333,1.524
a7ac88105b8c14d3,2.75,3.333,2.762
a7f9aa7ea5df8acf,2.857,2.0,2.0
a92d69730b8c4ae0,1.111,1.111,2.381
aa0f860caa6662ef,2.857,2.0,2.952
ab0d4cea5548f80a,1.2,1.75,2.19
abe8e3027db90040,2.0,2.0,3.048
ac2d736537b2aa39,2.667,5.714,3.238
ad62d2edd2e18b97,2.8,2.444,2.19
addff8dc6e11e669,1.778,2.889,2.0
b06ebcb759ca3ce4,0.857,1.778,2.0
b2db432aa5f7dbbc,1.5,1.2,2.0
b382256ca5a24f97,1.111,1.667,1.238
b3f7e055bf4647c4,2.0,1.714,2.0
b88f86ad894a422f,1.429,3.333,2.095
b8a1d8c350a12933,1.5,2.0,2.095
b8eba67020022d75,2.4,2.444,2.286
b96bd44f593949b7,1.556,2.667,1.81
ba0ae2459e448093,2.286,1.333,2.19
bb10b3e293fa7488,2.4,2.889,2.381
bb43950de402cf68,3.556,4.0,3.714
bba08ffaa6b4972e,1.75,1.429,1.81
bcaf50d01f330313,0.667,0.889,1.714
bd14752573c3fbed,1.714,3.556,4.19
bdb2c3e399606ce4,2.222,1.714,2.762
c038519ac4670f62,3.556,1.778,2.857
c0ac91fae56c6ec3,1.111,1.0,1.143
c314920d84ff0215,4.667,2.2,2.571
c32a7e5368c4de97,1.8,2.0,2.19
c425ac83f24beef2,1.556,2.75,1.81
c64e457f6d99d425,1.333,1.5,1.619
c7383a60cb3d5477,1.111,2.8,1.905
c842caeb15405a78,1.75,1.75,2.19
ca1edc15c837e28e,1.778,1.75,1.905
cac06cf49267cb04,2.8,2.5,2.762
cb4fa8f65ecfa814,1.429,3.5,2.571
cb76d03be5d6b3ac,2.4,2.0,2.381
ccae674b4ff562be,1.5,1.667,2.095
cd254873c8c70b1f,3.429,2.286,3.429
cdc1fd8a83edc5a9,2.5,1.75,2.381
cde5af9c10e5d7af,2.0,1.75,2.19
d0948831f2fd6c9a,2.0,2.667,3.429
d4cec8da03bc12ab,1.2,1.4,1.714
d59a7be61b6d34c0,3.667,3.333,2.381
d626dfd972cd0a7d,2.222,3.6,3.048
d8e85ef0973f5cae,1.6,1.111,1.905
d91dfb759b5c056c,1.0,0.857,1.333
dad40041f6cb7ef4,1.6,2.0,2.286
df0d758a5477b83c,2.571,3.5,4.381
df3aa70f59b84ff1,1.667,1.667,1.143
e04998f79adab146,0.857,1.667,1.81
e0b47f3f6a91ab2e,2.6,2.5,1.905
e0b75643b94ce352,0.8,1.25,1.905
e15dc1ccfc02dea4,2.333,0.8,2.286
e16f233f154de5f7,3.111,2.75,2.0
e2905065a183e73e,1.75,2.333,2.667
e4829fb39326588e,1.714,1.714,2.19
e510d4025a1f07f7,1.8,1.667,1.714
ea0c4e9dce422f7c,2.286,1.333,2.19
eaa866102ec57941,2.0,2.2,3.238
ebffac6e5df1cc08,2.222,1.778,1.81
ec02d5c2a65d3fd2,1.5,1.556,2.952
ed14bc3f70d6cec5,2.4,2.667,2.476
edc04ff5e481112b,4.444,2.8,3.238
ef09b0942ba51b5e,2.4,2.667,2.667
f003c96b131253d6,1.667,2.333,2.381
f1109e14be29a5d7,2.25,1.75,2.286
f323942068c63066,3.25,3.429,3.429
f3cca123640d3386,2.0,1.556,1.619
f3ccb99647a78111,4.0,2.0,2.667
f59ad690cbd0e6c3,0.889,1.143,1.905
f7e046c06d20f5f6,1.6,0.4,2.0
f8610fec106ff80d,1.778,2.2,2.667
f98f0b882797728b,1.75,2.0,2.286
f9ac4b8a3e8bbb4e,6.222,2.8,4.667
fabbe87caf2e1c00,2.75,2.8,3.238
fad13b189dc3f535,3.333,3.75,2.476
fadf83bd9ea5f19b,4.5,5.25,2.762
fd51071022fe231c,2.444,1.778,2.571
fe0757521e1d3e76,2.857,2.0,3.048
